digram,frequency
के,69328
ये,4147
भी,13880
हो,6535
कई,2693
को,33096
की,43138
आई,775
इस,11443
और,24467
ने,29455
कि,19967
का,21603
जब,2257
बह,16
तो,6294
ले,1011
यह,4606
पर,20352
एक,11311
से,28844
उन,668
मत,70
जो,2664
इन,1689
ही,8369
दी,2483
या,1511
आम,667
है,13168
हम,1415
कर,11008
वह,3038
तक,3756
आए,717
गए,2180
दो,1993
जा,3884
गई,3129
ओर,987
शव,396
पद,430
नौ,126
तट,29
दे,1058
वो,2399
नए,635
अब,3248
डर,203
उस,1202
थे,760
ली,496
वन,134
पन,1
चल,817
था,2488
दस,114
वे,1539
आप,1339
हर,1129
लग,363
छू,26
पा,183
घर,1739
छह,239
एस,76
सा,90
सी,159
कब,110
आज,974
रख,195
शो,807
दल,406
उप,60
ठप,18
अप,20
शक,168
मच,80
मई,385
कम,1080
रह,426
तब,655
ना,509
सो,62
सब,441
पल,38
सच,149
खो,60
कल,169
बस,362
मन,156
नई,511
बन,557
यस,15
भर,297
जी,474
गत,20
एच,15
एन,28
धन,101
जन,55
थी,1130
रन,102
एम,50
एल,17
छा,18
ता,1
टी,28
नव,6
उठ,54
बम,162
गा,17
कह,364
लव,146
ठन,5
तय,478
आय,78
रे,15
ऐप,174
हद,79
ला,60
इज,13
प्,1
बल,165
कट,43
लत,19
आग,294
फल,29
खा,53
पी,74
धक,1
सौ,74
हल,54
दर,157
औप,3
हक,87
बच,83
धर,24
लो,27
गो,15
..,34
दम,130
रच,29
गन,22
खस,2
टल,27
टू,35
ईद,44
थम,16
जय,38
आठ,182
जज,133
न.,6
भट,15
एड,8
मर,34
मे,131
डी,44
छत,26
सर,56
जल,120
सह,31
ओम,63
एट,2
जग,4
ठग,12
बज,13
डे,112
हट,26
घई,16
गे,5
पे,13
अल,35
ऐन,11
मद,5
टच,29
गम,12
ऐज,4
वर,3
दु,1
घट,12
थक,8
डब,6
नो,21
ऐश,8
आफ,5
हब,5
पथ,7
नी,3
तह,11
ओ.,8
आर,52
डा,4
नल,4
छप,2
शी,24
हग,1
ओड,3
बी,80
जे,26
यू,28
भय,17
सन,14
जद,5
आस,21
खल,3
नन,22
रु,2
एव,1
रण,13
तू,11
बा,5
गल,1
धो,13
घी,15
एज,8
उद,3
कप,112
वी,26
नय,1
डच,6
ईज,2
एप,42
भो,1
कस,11
खत,28
उर,2
टन,32
जच,1
झा,37
रो,11
मठ,10
यक,1
उल,13
दि,5
रस,22
टु,3
पो,6
चे,3
ऋण,20
द.,23
चक,4
कद,20
भू,3
रग,3
हए,2
शह,6
लय,4
कण,4
डो,2
ऐड,35
भा,5
जस,5
तस,5
लू,46
मऊ,16
डग,3
लि,1
तल,4
गप,1
ए.,19
नम,5
बू,3
गौ,7
जप,1
वि,1
लए,1
आल,5
शत,1
यद,1
यश,25
हफ,2
वध,5
फर,1
मा,1
डट,3
गण,13
फन,5
इल,3
एफ,7
सम,4
टब,1
ई.,3
तन,7
कफ,1
हे,5
पब,30
रथ,21
बढ,1
सई,6
मग,1
बे,2
मी,7
बग,2
डन,1
शू,1
झट,3
लक,3
गज,7
यी,1
ढक,7
सज,3
इव,2
लौ,4
रा,1
छठ,2
बट,4
ठा,2
त।,1
आन,1
दौ,1
घन,2
उग,1
शट,1
फट,10
आओ,3
जौ,4
ब्,1
धम,1
वू,3
जम,10
कश,1
रब,1
रल,1
रफ,1
वश,2
टफ,2
ढा,5
नस,7
ते,1
पच,1
मै,2
पक,1
भई,1
डू,2
डु,5
ओट,2
गं,1
मय,1
दब,1
डि,2
नं,1
दा,4
ईट,2
दह,1
नच,5
फी,3
ढो,1
शा,1
आध,1
गढ,1
जै,1
।।,1
तर,1
लद,2
सथ,1
छे,1
हज,4
मध,1
छग,1
रट,3
पग,3
हू,1
तप,2
ड्,1
अन,1
मं,1
यो,3
मल,1
ढल,1
थ.,2
इट,1
जह,1
यु,3
हा,1
खम,1
ऊब,1
डल,1
मड,1
पट,1
