triagram,frequency
में,52666
सेन,21
ठीक,378
साथ,6197
रहे,4800
जगह,643
कहा,6598
सही,348
है.,28629
गलत,351
बार,2277
लोग,1686
हैं,4588
रूप,932
जला,43
कुछ,3008
लिए,9089
तरह,1991
कवि,23
सभी,1593
से.,33
हाथ,526
लाभ,123
की.,1192
गया,5079
थी.,3663
रहा,4110
बाद,6770
लगे,405
बाज,15
ऐसा,1165
सटे,82
था.,5460
पंख,7
थे.,2637
पार,186
हाल,751
बीच,1870
आगे,786
सात,238
अंक,107
भाग,198
चयन,55
कोई,2566
चार,701
जिल,8
वोट,557
ऐसे,1348
देश,2084
मिल,693
केस,771
समन,51
इसे,947
रही,4914
बजे,562
पेश,466
चेक,75
अहम,376
किए,1130
दिए,753
खुद,875
हुए,4294
उठा,151
इसी,999
वजह,1217
हाई,246
हुई,1998
जिस,592
पास,1471
एवं,265
शाम,399
फैन,106
कपल,56
दी.,963
खबर,597
दिन,1791
समय,1353
आई.,105
राज,255
खुश,179
अभी,1051
जाए,238
कभी,544
उसी,320
साल,2947
तीन,1147
बात,2900
कही,198
माई,23
पोल,132
जीत,561
अगर,1402
फिर,1749
तरफ,665
अलग,534
नजर,1333
दिख,238
लाल,231
कुल,419
रखा,491
सीट,686
कोी,1
काट,123
भरे,67
डाल,136
जिन,190
देख,347
राय,299
लीच,8
लंग,3
आए.,177
रोग,28
रेट,28
लीज,5
आभा,6
आने,970
ईडी,70
मनी,40
मना,165
रेड,86
लोन,107
चले,154
गए.,1008
कौन,303
रकम,98
तहत,649
खान,1232
खास,508
वें,9
कदम,406
रखी,238
केक,25
राव,105
टीम,925
भाई,434
शाह,694
भवन,93
दूर,358
किन,27
बहस,153
सदन,148
नोट,253
बंद,672
लगी,326
रैम,45
तौर,739
लैस,33
नही,84
बटन,23
इंच,29
फुल,19
नाम,1761
जूम,3
यूज,59
बता,1170
दें,955
फोन,498
आपक,1
काम,2004
कलर,46
भले,170
लाश,180
ली.,300
बनी,357
गई.,1401
मौत,1086
सकी,34
पता,832
लगा,854
तथा,175
शेल,2
गठन,112
इंक,4
उसे,1553
रात,761
चला,436
हुआ,1798
मूल,96
कैब,74
समझ,174
शोज,42
मिस,52
गोद,47
मार,393
शोर,56
फैल,81
नगर,301
दया,29
आयी,20
चली,162
आया,681
रुक,33
देर,383
आंख,60
सफल,172
सीओ,9
एसओ,4
शलभ,4
ऋषि,123
याद,258
रंग,197
सीन,135
रोज,142
आते,270
यही,535
दिल,259
पाई,155
बना,724
यंग,20
रोल,369
सिर,176
रौफ,2
छवि,70
अमर,75
ढंग,68
हो.,303
एंड,181
संस,9
अली,306
दशक,111
मैं,1515
भूल,85
जहर,61
असल,77
अरे,9
काश,10
सजा,393
असर,286
खूब,219
बहा,11
फंड,82
तेज,330
आधी,44
दाम,90
लाख,917
दास,116
मदद,674
कमी,182
साफ,575
हूं,415
महज,199
लिख,66
ऐसी,554
वेब,65
छूट,99
चैट,41
वहम,1
बदल,233
सोच,170
आइए,73
खून,158
भरी,89
दौर,191
सहज,21
दे.,31
बंध,14
मगर,291
सदा,7
शूट,106
मंच,166
अंत,115
एयर,104
जेट,50
गिर,104
होम,118
आदि,75
भाव,63
छपी,35
रतन,16
अरब,109
यूं,68
पवन,52
बरत,6
गली,58
बने,337
बिल,148
कैद,88
इतर,28
गौर,59
गृह,401
चरण,170
भरत,21
रोड,175
मदन,25
हरक,1
पाल,43
पंत,26
राम,537
अजय,186
भगत,45
उठे,26
वार,84
जमा,142
शेष,17
लेन,22
देन,19
देह,30
शहर,316
कोट,20
जाल,40
तभी,251
हिट,116
गयी,72
घूस,8
फीस,59
सनी,85
गईं,86
लुक,237
छाई,16
शोक,40
लहर,53
मचा,91
हटा,95
लिप,5
किस,221
पति,403
जेल,650
टशन,1
आता,203
चंद,51
निक,86
लौट,112
जंग,140
बाल,148
करा,184
डाई,2
हार,231
दोष,20
बरी,40
कलम,35
भीख,10
लोध,2
के.,43
भेज,294
आती,240
रोक,289
बोल,175
कैश,100
आना,108
सौर,9
मचे,9
यदि,215
असम,212
फसल,68
शोध,71
शशि,46
आईं,64
फेक,23
रूम,70
भरा,66
शरद,119
जून,287
खरे,14
सपा,284
जरा,38
हित,55
बाग,142
उधम,12
सभा,149
उभर,17
पी.,54
दुख,81
एअर,19
सेल,117
ठोस,42
उरी,72
राग,13
शरण,29
गीत,34
लो.,4
आदर,4
चेन,10
दीन,6
गले,93
कौर,81
नें,18
गैर,99
ऊपर,237
जैन,73
ढोल,4
अमल,39
माँ,4
वही,174
रोम,4
लीग,21
मैच,231
पदक,60
कोच,79
नील,13
दीप,9
टिक,41
करण,209
फनी,32
साध,16
घूम,31
नमन,9
धूप,22
आपस,58
चाह,33
उमर,102
थीं,161
कार,478
सफर,108
नवी,4
होश,62
आधे,38
कलह,24
टूट,78
गुट,64
बहू,36
खपत,25
ही.,22
जान,377
बाइ,2
छाप,16
हां,41
बिग,343
आकर,178
संग,190
बहन,226
सेट,138
बुक,86
बटर,2
शटर,5
पाए,155
वी.,9
सी.,3
फेल,47
जता,28
सबब,17
सके,65
रास,16
आलम,49
युग,23
कोर,30
बी.,5
एस.,16
रुख,120
मची,18
का.,58
हरी,36
लीक,80
नशे,88
बचा,86
टूथ,1
पीक,3
चीज,101
दही,5
सेब,16
पाय,1
पहन,47
मेट,3
फैस,1
मोह,5
मेल,64
रेस,43
जगत,63
कैफ,82
घेर,61
नया,368
हेड,46
जहा,1
ऋचा,11
इधर,23
एटा,23
उमस,8
रेल,188
पेट,77
मलय,4
पाक,110
कला,31
मटन,6
उछल,7
फौज,52
चाट,2
तली,1
जीभ,11
तवा,1
गंध,3
भूख,52
कसम,13
मजा,39
जूस,14
खेल,254
जेब,34
ढाई,52
सवा,26
कटी,3
वेज,1
चीन,581
सैर,13
रनर,4
हों,75
मां,575
गेम,51
रजत,21
दूं,12
एली,12
नदी,94
ताज,33
डंप,1
कोख,13
रेप,490
आशा,42
माफ,80
झेल,37
डेथ,22
तले,48
करम,2
धरम,2
जोन,57
...,21
खाप,5
संघ,230
बैठ,42
उधर,57
लूट,127
बैग,61
तान,4
जुट,55
रची,40
सीज,14
बंब,4
सीए,7
गबन,4
डूब,29
माल,30
हीं,14
खोल,83
रखे,87
चिट,18
आउट,65
जूझ,53
मूड,37
चोट,117
डेड,15
चमक,19
आरा,22
एरर,1
वजन,92
छाए,17
लता,30
बचे,42
डोज,7
आदत,41
अदा,69
खेर,65
राह,62
सिख,70
देव,67
खडी,3
जोर,157
अटल,81
सईद,122
जंप,5
सूट,20
चटक,2
कान,41
दाग,22
ढेर,110
सबक,35
बोट,7
औसत,68
धूल,44
घना,3
रूस,139
पेज,72
पलट,32
माह,99
एके,28
कवर,35
यौन,184
बगल,29
सका,38
मुक,1
डोर,7
सुन,46
संत,37
मूक,10
खाक,11
छान,5
लीड,105
पोट,3
हवा,102
पूछ,38
कहर,59
थमा,12
जाम,55
लहन,3
भाप,7
अंग,13
कतई,17
चरम,20
खनन,22
लौह,6
ढील,7
तेल,202
बेच,41
शेफ,5
डिश,5
ओवर,38
बजट,323
डटे,9
चोर,82
सब.,2
लाई,33
अबू,96
तूल,30
जली,17
जाट,101
जले,7
ईयर,24
वीक,16
गनी,19
हंस,30
वो.,1
नबी,25
टोक,2
घोष,22
नेम,7
गला,82
गैस,77
जिम,41
खां,26
लोक,79
वां,4
तपा,1
ताऊ,14
पदम,1
उलट,26
कसा,26
महा,7
साख,20
अमन,21
चैन,27
खलल,8
है।,42
सुख,14
बहल,21
टूर,21
मधु,47
भी.,60
बेल,31
अजब,4
तीस,31
रईस,10
औरत,19
झटक,2
धुत,16
मुझ,25
जया,46
शपथ,189
पैठ,14
कसर,21
चाय,72
कूल,24
पैर,89
माय,17
ये.,5
बीस,23
घने,14
आधा,57
छोर,10
आजम,55
पेस,12
लिव,12
वेस,1
दंग,21
खेत,60
नोक,12
चुप,41
ओछी,7
छठी,26
चौ.,1
नये,33
गति,43
नवा,1
सना,20
धूम,28
शेख,63
तुम,84
मिड,29
चूक,43
घाट,76
बेस,50
चीफ,170
आंच,10
खरी,4
दखल,45
खैर,16
भीम,39
साए,5
ईंट,12
बीत,31
बैच,17
गये,74
टहल,4
जय.,1
दाल,15
बिक,22
वैट,32
घटा,18
चुभ,2
बाप,15
हवस,43
सास,32
टैग,27
मैन,16
गुल,25
लंच,34
डेट,100
शौच,29
चलन,25
कमर,31
पहल,51
बची,22
ललक,4
हीथ,13
डीन,8
आनन,5
डमी,10
आबे,11
कमल,45
फूल,20
उपज,12
पिक,6
रु.,39
छठे,16
आयु,24
देय,2
वैध,22
मृत,73
कदर,38
सदर,25
बसा,14
कहे,33
बीए,3
छिन,4
अचल,16
डबल,34
दूध,63
अति,29
ऊना,19
करो,23
दमन,8
मरे,12
खाल,9
झूठ,60
करे,51
ओके,3
कैट,9
झलक,40
रैप,22
पाठ,20
दुआ,14
मो.,19
भोष,2
सिम,17
जेड,10
आहत,43
ने.,22
सुर,19
सूद,52
सैत,1
आर.,18
छुआ,3
टली,3
दो.,24
ओपन,35
एआर,4
दवे,5
छवी,1
ना.,2
खोई,6
शान,11
जनक,9
महल,19
फेस,18
बकर,12
उपर,12
गिल,50
आनी,15
फंस,45
इमं,1
मैम,4
ऋषभ,7
धूव,2
गेट,77
खाट,2
बैक,25
बसे,16
धार,16
पुल,73
अपर,26
आला,43
नूर,2
चिप,10
बंप,10
जैक,5
तार,42
पीर,13
हाफ,16
कमा,16
एमए,8
मान,108
ऐपल,34
उनप,1
रूख,26
मेक,12
बैन,109
दलो,2
जलन,17
टनल,1
दवा,45
जैश,63
उठी,13
लचर,8
रवि,39
सैफ,132
विश,19
रूल,12
लें,53
हटे,2
मौज,4
बेड,13
सेफ,9
तीर,8
छीन,33
फेम,41
भुज,5
भेद,10
उलझ,12
उबल,3
सदी,13
ढाक,5
शिव,53
भला,30
सरल,12
मणि,6
उदय,23
डाक,5
कथक,7
धवन,58
ओरन,1
टाल,31
गैप,5
उतर,78
चौक,21
मोल,6
आबू,1
डीप,3
रोष,13
मात,49
यहा,9
कीं,7
नाथ,39
आशु,11
खपा,4
फील,11
गुड,35
बोझ,39
अटक,13
बडे,1
किम,77
डील,88
शेन,2
बशर,7
असद,8
वाम,13
रजा,24
सखी,2
जकर,1
जफर,24
शतक,15
सीख,39
फोर,7
कोड,60
शेड,8
हरे,12
शीट,8
घोर,17
पर.,22
नकल,14
नाक,26
शिप,7
अणे,3
एफे,1
बीट,5
टिन,1
लेट,15
वटी,2
घात,16
मनु,21
लाए,35
सील,41
नेक,5
सेव,7
देम,1
मंथ,1
नईम,9
बेग,10
नशा,13
धुन,10
गाय,50
खौफ,39
पशु,23
जबर,3
भूप,5
घिर,8
डरे,13
काऊ,1
पटक,3
करन,21
चाक,9
रदृ,1
रूट,35
कूच,9
भूत,27
हम.,1
ढोए,1
चलो,8
कतल,2
नाश,3
ठेस,11
लार,1
टपक,1
चुए,1
आएं,17
बोध,4
पौध,1
लाद,1
नाच,12
फूट,12
कीच,5
कूद,28
