word,frequency
नंदी,10
के,77915
कान,45
में,59471
क्या,1538
कह,400
रही,5508
हैं,5105
महाकाल,6
मंदिर,415
पहुंचीं,26
साध्वी,116
प्रज्ञा,75
ठाकुर,172
भोपाल,128
कांग्रेस,2812
चाणक्य,3
दिग्विजय,110
सिंह,2836
को,37483
टक्कर,99
देने,1520
लिए,10356
बीजेपी,2902
ने,33518
मैदान,269
उतारा,61
है.,32500
बुधवार,564
शामिल,1524
होने,3126
वाली,1708
का,24247
दर्शन,81
करने,6547
उज्जैन,26
पहुंचीं.,26
वह,3319
गर्भगृह,11
तक,4141
और,27534
उन्होंने,4811
भगवान,154
शंकर,74
की,48807
सवारी,16
कुछ,3329
कहा.,123
चुनावी,294
रण,13
उतरते,12
ही,9295
मध्य,401
प्रदेश,1647
सीट,771
पर,22998
रोचक,22
हो,7388
गई,3507
उनका,1065
मुकाबला,122
यानी,494
से,32345
दामन,26
थामने,3
बाद,7499
जाकर,291
मनोकामना,5
पूर्ति,4
पंचामृत,5
पूजन,24
किया.,1710
दौरान,2349
मुट्ठी,6
नोट,251
लेकर,3247
थीं.,517
परिसर,102
बैग,73
ले,1131
जाने,1846
पाबंदी,49
पुजारियों,9
रखे,92
बतौर,139
दक्षिणा,5
रूप,1060
दिए.,151
इसके,3240
नंदीगृह,1
आकर,198
पहले,4284
साथ,6958
लोग,1856
नजर,1493
जो,2955
मदद,735
तौर,852
हाथ,602
अंदर,397
जाते,528
आए.,188
बता,1313
दें,1068
कि,22427
लोकसभा,844
चुनाव,2369
अपने,4743
उम्मीदवार,424
ऐलान,341
किया,7743
था.,6233
पार्टी,3102
यहां,1543
प्रत्याशी,131
बनाया,514
इससे,1518
हुईं.,46
पूर्व,1025
मुख्यमंत्री,1438
शिवराज,104
चौहान,104
मौजूदगी,81
सदस्यता,56
दिलाई,27
थी.,4063
दिग्गज,84
नेता,1484
होगा.,983
अक्सर,186
विरोधी,230
दल,468
आरएसएस,124
हमला,649
बोलते,87
रहे,5363
हैं.,13482
मालेगांव,24
ब्लास्ट,52
असीमानंद,4
