ending,frequency
लिया,297
है,15539
थे,1499
ली,138
दिया,801
पहुंची,35
था,3001
हैं,6308
गई,727
हुई,244
लगे,78
दी,466
रखी,18
की,583
गया,1096
खटखटाया,2
गए,525
दिए,80
सुनी,8
थी,1967
जाए,185
किया,746
होगा,415
जाएगा,429
,148
करेगा,89
जाएगी,219
पर,12
होगी,344
मिलेगी,52
करेंगे,291
सकेगी,12
चाहिेए,1
रखेगी,4
रहेंगे,57
रहेगा,54
करेगी,96
परेशानी..,1
करें,205
कही,26
सकते,46
डाला,40
आया,73
बताई,18
देखेंगे,9
आएंगे,76
थीं,242
दिखुंगी,1
होती,17
पीटा,13
जायेगी,1
होंगे..,1
चाहिए,429
है..,30
मिली,88
आदि,2
खबर,2
चलें,1
लें,51
बचें,8
दें,63
आई,67
सकी,16
सके,117
रहे,166
सकता,67
भेजा,13
मिलेगा,87
जाएं,51
मिलेंगे,27
सकेगा,27
लगाया,34
लगाए,31
पता,6
देखा,15
बताया,86
बताइए,2
मांगिए,1
आऐ,1
खाऐंगे,1
कराई,26
एस,11
ए,16
खोला,3
रहा,165
उठाया,26
हुए,123
करवाया,7
पाएगा,16
देगी,38
जाएंगे,117
महामंच,2
रहीं,41
मिला,89
बनेंगे,13
सकें,42
हूं,230
हेडली,1
सबब,1
तौलेगा,1
बनाएंगे,8
लाएंगे,7
बदलता,1
कहते,4
महीने,1
नहीं,155
लीजिए,8
मजबूरी,1
उगली,1
हुआ,246
आए,114
डा,4
को,11
रही,108
करे,44
बनाएगी,8
होंगे,164
पहुंचेंगी,2
देंगे,100
बनेंगी,3
बदलाव,2
कहा,46
बैठे,7
पाए,32
पाई,26
उभरी,2
बनाई,17
लिए,42
डाली,17
सुनाई,18
मानें,1
गईं,44
पहुंचे,90
पास,3
में,47
वर्णन,1
होंगी,40
आएंगी,49
चलाएगी,1
आएगा,33
पिलाई,2
लेगी,11
उठाएगी,6
कहानी,6
लोचा,1
पाती,6
आएगी,24
चुनें,3
लगाएं,13
हो,155
रहेगी,17
रहेंगी,14
पहुंचेगी,6
लगा,66
मिले,51
सौंपा,9
अहमद,1
सुतारिया,1
लौटे,4
चटकाया,1
बेवकूफ,1
चैनल,2
भी,29
लगाएंगे,5
लगेंगे,9
चाहती,4
डालें,3
तभी,2
पाया,21
लगी,48
मानी,1
निकले,26
खुला,8
आपको..,1
निकालें,3
पहुंचाएगी,2
देखें,7
सहारा,1
दिखे,22
सफर,1
मिलीं,11
रखा,26
आएं,7
डरे,1
चाहूंगीं,1
आईं,34
शेड्यूल,1
एन.एन,1
हराया,8
रनोट,1
वन,1
चलेगा,13
हैं..,16
से..,2
करते,19
कराएगी,5
जाते,10
जीतेंगी,1
बख्शेगी,1
जीती,2
सकेंगे,40
करूंगा,12
जानते,5
कहूंगा,3
का,32
लेंगे,42
हों,30
जायेगा,7
मिठास,1
सिमटी,1
चखा,1
नैया,1
वोटिंग,1
मतदान,3
जीतीं,6
पूछे,4
तोहफा...,1
निकाला,10
तस्वीरें....,1
बनाया,31
सांसद,1
दिखेंगे,15
बुलाया,13
करेंगी,45
बंधेंगी,1
रचाएंगी,1
सौंपेंगे,5
पेंशन,2
मारा,16
ले,8
महिमा..,1
डमरूधर,1
त्रयंबकेश्वर,1
शक्ति,1
निकलें,1
लगेगा,26
हुईं,17
जताएगा,1
दीजिए,11
सका,27
पहुंचाया,9
दोहराया,3
देखेगी,2
देंगी,15
चाहेंगे,8
मनाया,9
खेलेगी,4
लिखेंगे,4
कमान,1
भेजेंगे,1
पाएगी,11
दूंगा,7
लपेटें,1
जताई,14
मांगा,7
कार्य,1
कर्मी,1
गये,8
बदले,5
चुना,6
लेगा,14
पाते,5
कारण,1
हाहाहाहा..,1
लूं,1
शुक्रिया,7
.,15
..,6
करतीं,2
साधा,25
दिखाती,1
मिलता,7
रहूंगी,1
खुशखबरी,1
रिपोर्ट,2
दिखेगा,9
डाले,12
रोटियां,1
पहुंचाए,5
लाया,4
डाडा,2
हीरू,1
कौशिक,1
जनप्रतिनि..,1
पहुंचाएंगे,2
फीसदी,1
होता,30
चलेंगे,3
दिखाए,4
चूक,1
दीं,16
बरसाईं,1
पटेल,1
बने,32
किए,73
चला,16
सुनें,2
मैगी,1
लो,6
मिलती,4
समझी,2
खुश,2
मानेंगे,2
लाओगे,1
पहुंचा,18
बचाई,2
बुझाया,1
खाती,1
एक्टिंग,1
साथ,12
देओल,1
जाता,14
रिसेप्शन,1
लीग,1
गयीं,2
गयी,5
सोचा,1
क्या,19
वहां,2
दोगुना,1
दिलाएगा,2
तक,1
बनेगा,14
कांग्रेसी,1
करो,7
बनाएं,7
रखूंगी,2
लागू,1
से,17
सौंपी,2
गिरीं,1
बचाया,3
गिरे,2
गुजारी,1
कीं,13
लीं,5
ठहराया,8
लगवाएंगे,1
देगा,40
मिलें,3
सकतीं,5
अलर्ट,1
अपनाए,1
