digram,frequency,probability
ैं,236647,0.021819247669441537
िय,531556,0.04901034880720088
ुल,150463,0.013872939281238224
ेक,148697,0.01371011113896626
ों,94988,0.008758051856245432
ंन,75280,0.006940941421423297
िल,325641,0.03002464273928937
ोग,105987,0.009772177981301686
ोन,112076,0.010333593925975524
ार,542846,0.05005130561708224
ाल,236406,0.02179702706791971
ीज,63620,0.005865869995097637
ेप,47548,0.004384004818090262
ोद,42881,0.003953699642561801
ाम,172931,0.015944526314401596
िं,144247,0.013299813724974047
ां,231995,0.02139032551890406
ंग,178414,0.016450068049439638
ाय,226448,0.020878882877237815
ुन,97444,0.008984499148102707
ौर,50560,0.0046617162362800465
िस,179501,0.01655029126045302
ोर,95936,0.008845459035675683
ान,375220,0.034595909141159
ुर,122321,0.011278199994818267
ाद,105888,0.009763050016361186
ंत,114254,0.010534409154666543
ाक,114209,0.010530260079693588
ेन,74282,0.006848924158689763
ेत,81199,0.007486683082865971
ुप,49073,0.004524612358840402
ाफ,31505,0.0029048134893987906
ुख,38747,0.00357253795504634
ाज,133835,0.012339809977898339
ुत,25919,0.0023897749827559833
ाब,66159,0.006099970025238362
िछ,20093,0.0018526080762574163
िर,126436,0.01165760985067848
ोप,39410,0.0036336676596478764
ुम,36313,0.0033481190998425102
ात,153033,0.014109897563026984
ीड,41375,0.003814843933466909
ाव,90185,0.00831520725413204
ंक,100306,0.009248380316382641
ंध,42533,0.003921613462770949
ूर,92849,0.008560832492530973
िव,86184,0.007946308388203312
ोत,41455,0.0038222200667521623
ीस,31704,0.002923161620945858
िन,76693,0.0070712223755740825
ुझ,17633,0.0016257919777358794
िह,28618,0.0026386272794672147
ोश,31623,0.0029156932859945393
ीए,46770,0.004312271921891174
ाह,121097,0.011165345155553891
ाए,61319,0.005653713961480541
िध,39940,0.003682534542662679
िप,42582,0.003926131344408167
िए,23430,0.002160285035918542
ोक,34597,0.0031899010408738284
ैस,62886,0.005798193972205439
ूस,29718,0.0027400491121394466
ेज,35901,0.0033101320134234563
ीव,32548,0.0030009798271052796
ें,161986,0.014935379079312888
ंद,128830,0.011878340639239683
ीन,42975,0.0039623665991719735
ेय,21670,0.0019980101036429707
ूप,16070,0.001481680773675244
ुक,77165,0.007114741561957076
ुं,53442,0.004927441437881294
ंब,60255,0.005555611388786673
ैठ,18104,0.0016692189624528076
ंप,36053,0.0033241466666654373
ाओ,44658,0.0041175420031604884
ैय,23013,0.0021218369411691597
ुब,15586,0.001437055167299462
ेम,25680,0.0023677387845662894
ेर,58969,0.0054370400462262275
िक,172740,0.015926915796183053
ौक,20178,0.001860445217872998
ौज,14664,0.0013520452311869184
ंस,79059,0.007289371517485447
ित,78146,0.007205191396367494
ंड,52537,0.004843998930091867
ोम,18435,0.001699737713920543
ाष,34886,0.0032165473223668057
ुज,20187,0.001861275032867589
ुध,12052,0.0011112144794234002
ोल,44210,0.00407623565676307
ीछ,8356,0.0007704371216447007
ूं,15016,0.0013845002176420327
िख,36979,0.0034095254094422436
ीब,18695,0.001723710147097616
ीआ,18629,0.001717624837137282
ूछ,16002,0.001475411060382779
ूत,13066,0.001204706968813985
ंज,43510,0.004011694490517105
ीत,48594,0.004480447760794948
िभ,17718,0.001633629119351461
ीं,21826,0.0020123935635492146
ुआ,17497,0.0016132525511509488
ुई,8362,0.0007709903316410947
ेख,37745,0.003480151885648543
ुव,30264,0.0027903912218113
ीट,30678,0.0028285627115624853
ेह,29432,0.0027136794356446663
ेट,45394,0.004185402429384819
ूच,12019,0.0011081718244432333
ुद,30455,0.002808001740029842
ीम,27979,0.0025797104148512543
ास,82857,0.0076395534452028445
ाण,16169,0.001490808738615745
ंख,10843,0.0009997426651500107
ेश,68295,0.0062969127839546234
ाप,42096,0.0038813213347002537
ोज,28379,0.0026165910812775204
ंट,49365,0.004551535245331576
ंभ,16596,0.0015301788500257842
ाग,41067,0.003786445820318684
ीद,18060,0.0016651620891459185
ोट,42141,0.003885470409673209
ीक,38819,0.003579176475003068
ाच,18625,0.0017172560304730194
ुस,33627,0.003100465424790133
िश,64022,0.005902935064856035
ूट,14754,0.0013603433811328284
ोस,29896,0.002756461008699135
ेस,33315,0.003071698504977645
िष,18586,0.0017136601654964584
ंच,42336,0.0039034497345560135
िट,35683,0.003290032050221141
ेल,44478,0.004100945703268669
ोष,18630,0.0017177170388033478
िद,29494,0.0027193959389407375
ूम,11845,0.0010921287345478075
ीप,22674,0.002090580576372899
ोब,14562,0.0013426406612482207
ाइ,83588,0.007706952863096845
िज,39704,0.003660774949471182
ाश,19554,0.0018029113782480227
ेव,29125,0.002685373524162507
ैल,16545,0.0015254765650564352
ैक,15730,0.001450332207212918
ाई,14972,0.0013804433443351434
ैद,12865,0.0011861744339347862
ैन,20097,0.001852976882921679
ृत,15729,0.0014502400055468522
ून,14258,0.0013146113547642584
ुश,18925,0.001744916530292719
ूद,5734,0.0005286843532205258
ेड,19400,0.0017887123216739102
िच,9264,0.0008541562344323249
ोध,15759,0.0014530060555288222
ौत,10893,0.001004352748453294
ाउ,20842,0.0019216671241405999
िम,31483,0.002902785052745346
ैब,3855,0.0003554374226831404
ुए,4554,0.00041988638726304055
ूज,10659,0.0009827775585939283
ौस,4702,0.0004335322338407591
ेद,19621,0.0018090888898744223
ंय,4381,0.00040393549903368044
ीर,32330,0.002980879863902965
ाट,18014,0.001660920812506898
ाख,11552,0.0010651136463905675
ेब,14504,0.001337292964616412
ेग,35614,0.00328367013526261
ूब,10882,0.0010033385301265717
ुफ,5424,0.0005001018367401695
ीच,7098,0.0006544474257340935
िग,19307,0.0017801375667298033
ोए,3123,0.00028794580312307326
ोह,23140,0.0021335465527594993
ीफ,4931,0.00045464641536979646
ेए,3591,0.0003310961828418047
ुष,12313,0.001135279114266539
ंश,8230,0.0007588197117204268
ीध,4211,0.0003882612158025173
ौध,2541,0.00023428443347285597
ंव,9910,0.0009137185107107448
ुड,5150,0.00047483858023817716
ाऊ,3016,0.00027808022485404705
ाथ,10761,0.0009921821285326263
ूष,4159,0.0003834667291671027
ाझ,3120,0.00028766919812487626
ैम,10547,0.0009724509719945737
ीय,6901,0.0006362836975191574
ीख,4983,0.00045944090200521106
ौह,4127,0.0003805162758530014
ुट,12273,0.0011315910476239123
ैर,11593,0.00106889391469926
ाध,31796,0.0029316441742238994
ोच,8715,0.0008035375197622746
ंघ,5286,0.0004873780068231077
िब,8294,0.0007647206183486294
ाड,4736,0.00043666709048699166
ूग,1731,0.00015960108395966693
ुग,6830,0.0006297373792284952
ूव,2797,0.00025788805998566634
ैश,4862,0.0004482845004112655
ुह,5972,0.0005506283497441542
ूल,10852,0.0010005724801446017
ृष,6280,0.0005790264628923792
ुभ,5418,0.0004995486267437755
ुण,3738,0.00034464982775345756
ौं,6607,0.0006091764076958518
ील,13374,0.00123310508196221
ोड,6485,0.0005979278044358406
िण,4347,0.0004008006423874478
ोव,6469,0.0005964525777787899
ृह,1839,0.0001695588638947588
ोफ,3271,0.0003015916497007918
ाभ,3786,0.0003490755077246095
ूह,2065,0.00019039644042559921
ूक,3365,0.0003102586063109643
ृद,2209,0.00020367348033905504
ोय,3056,0.0002817682914966737
ृण,1265,0.00011663510757306683
ंर,1876,0.00017297032553918843
ैत,2712,0.00025005091837008477
ृज,1331,0.00012272041753340075
ेठ,1241,0.00011442226758749086
ौद,2985,0.0002752219732060114
ैप,4328,0.00039904881073220017
ेच,4888,0.0004506817437289728
ौथ,2305,0.0002125248402813589
िफ,8831,0.0008142329130258918
ेण,1362,0.0001255786691814364
ूड,3127,0.00028831460978733593
ौट,4650,0.00042873774720534447
ीश,4052,0.0003736011508980765
ीण,1426,0.00013147957580963898
ीई,936,8.630075943746288e-05
