digram,frequency,probability
अप,153634,0.07067459985224181
उन,195713,0.09003175052971218
इस,161841,0.07444997796507717
उस,105907,0.04871926036262399
ऐस,47105,0.021669207506410368
आर,77681,0.03573475657160522
अग,39644,0.01823700376571771
अभ,31343,0.0144183838419153
अल,37680,0.017333525928065866
आन,20160,0.009273988394633967
उत,31709,0.014586750893127404
अध,50106,0.023049725322496505
आप,35505,0.01633298402537098
आत,48401,0.02226539247463684
एग,31365,0.01442850426575865
आग,16301,0.007498774048657158
इल,26245,0.01207320562585161
अन,49587,0.022810975323646555
आय,30794,0.014165833265097143
अस,33653,0.015481028345467109
अम,36229,0.016666037973670337
इं,56987,0.026215117889137197
आद,25542,0.011749812082129999
आध,14642,0.006735602087015404
एक,36397,0.016743321210292286
अख,10717,0.004930026469508543
अद,9166,0.004216536588552328
अह,11135,0.0051223145225322035
उम,23355,0.010743749948247833
अं,43826,0.020160804334485527
इत,14316,0.006585635806427573
अच,17232,0.00792705198493713
अर,22091,0.010162285596520782
ऐल,4727,0.0021745110685235497
आम,6328,0.0029110019127601065
एव,4888,0.0022485741702862514
इन,27513,0.012656510054641088
एज,10416,0.004791560670560883
ऊप,3855,0.0017733742689143822
आख,8149,0.0037486969954301686
अक,17922,0.008244465278205852
ईक,4095,0.0018837788926600247
एं,29870,0.013740775463676419
आं,11718,0.005390505754380994
आज,10201,0.004692656528455411
आस,13111,0.0060313125913713265
अव,10733,0.004937386777758252
आव,11996,0.005518391110219696
आश,10137,0.004663215295456573
अज,9786,0.004501748533228571
उप,19028,0.00875324658596702
आए,10722,0.004932326565836577
उं,11705,0.005384525503928104
आल,8069,0.003711895454181621
इव,7546,0.003471305378269242
आक,7107,0.0032693569206678377
एड,7803,0.003589530329530201
एन,20459,0.009411534155050413
एस,30594,0.014073829411975774
उठ,15092,0.006942610756538484
अश,5467,0.002514925325072614
एम,12844,0.0059084874474543
एफ,4218,0.0019403612623296663
आई,27330,0.012572326529035036
ईआ,3103,0.0014274397811780356
अय,2967,0.001364877161055505
एय,7275,0.003346640157289787
ओव,4598,0.002115168583260267
ऋष,2088,0.0009605202265870894
आब,2442,0.0011233670466119121
उच,3917,0.0018018954633820063
इज,6670,0.003068328501597647
इम,10334,0.0047538390907811215
अफ,10118,0.004654474929410043
ऐश,1819,0.0008367750441388485
ईए,9079,0.004176514912444533
उल,4854,0.002232933515255619
उर,4074,0.001874118488082281
ईं,4261,0.0019601420907507604
इब,4024,0.0018511175248019387
इग,1635,0.0007521314992671893
अत,5288,0.002432581876528989
ईर,2752,0.0012659730189500337
एश,3795,0.0017457731129779715
आड,1338,0.0006155057773819568
अब,6513,0.0029961054768973725
ऐत,1552,0.0007139499002218213
एट,3394,0.0015613053874696272
अट,4285,0.0019711825531253248
आउ,2589,0.001190989878656118
उद,7932,0.0036488728147934836
ईट,2720,0.0012512524024506147
आइ,4068,0.0018713583724886398
एप,2493,0.0011468280291578611
इश,3474,0.0015981069287181748
इर,4346,0.0019992437283273424
ओब,1855,0.0008533357377006949
ओड,1101,0.0005064812114331348
ईड,2619,0.0012047904566243235
औस,1156,0.0005317822710415112
इच,1572,0.0007231502855339581
ईप,3335,0.0015341642507988235
उध,1495,0.0006877288020822312
इट,6178,0.00284199902291908
ओल,2092,0.0009623603036495169
इक,7361,0.003386201814131976
एए,2220,0.0010212427696471929
ईज,1712,0.0007875529827189163
उज,1720,0.000791233136843771
ईश,1702,0.0007829527900628478
एर,1343,0.000617805873709991
अड,1459,0.0006711681085203848
एह,1201,0.0005524831379938192
इय,2426,0.0011160067383622027
ईस,2941,0.001352916660149727
ऊर,665,0.000305912811628551
ओप,2106,0.0009688005733680127
ईव,1380,0.0006348265865374442
आह,2046,0.0009411994174316021
ऊं,2509,0.0011541883374075706
औप,642,0.0002953323685195936
एल,6971,0.0032067943005453067
आच,955,0.00043931839865453566
ऋत,836,0.0003845761060473213
ओक,580,0.0002668111740519693
ईय,1102,0.0005069412306987417
ऐप,823,0.0003785958555944323
ईम,1462,0.0006725481663172054
औद,442,0.00020332851539822487
इध,437,0.00020102841907019067
उब,942,0.00043333814820164666
एच,2772,0.0012751734042621705
ऊद,457,0.00021022880438232753
इड,2055,0.0009453395908220636
आभ,781,0.00035927504643894486
एब,938,0.0004314980711392193
ओस,680,0.0003128131006126537
इफ,1527,0.0007024494185816502
उग,1769,0.0008137740808585064
ओम,928,0.0004268978784831509
उछ,754,0.0003468545262675601
एअ,370,0.00017020712827453213
ओख,362,0.00016652697414967738
ऊन,440,0.0002024084768670112
ऐं,529,0.00024335019150602028
उभ,1445,0.000664727838801889
और,1494,0.0006872687828166243
अथ,471,0.00021666907410082333
उक,816,0.0003753757207351844
ईफ,451,0.00020746868878868647
एआ,1162,0.0005345423866351523
ईब,581,0.00026727119331757616
अठ,242,0.00011132466227685615
ऐक,826,0.00037997591339125283
ओझ,238,0.00010948458521442878
उड,671,0.00030867292722219205
उट,672,0.0003091329464877989
ऋच,223,0.00010258429623032612
आट,334,0.00015364643471268576
इए,874,0.00040205683814038135
ईई,230,0.00010580443108957404
ओज,295,0.00013570568335401887
अघ,162,7.452312102830866e-05
औच,173,7.958333294998395e-05
आठ,377,0.00017342726313378004
ईअ,189,8.694364119969345e-05
एथ,359,0.00016514691635285687
ओय,184,8.464354487165922e-05
ईओ,258,0.00011868497052656565
ए.,526,0.00024197013370919973
उष,122,5.612235040403492e-05
एत,205,9.430394944940294e-05
ओए,372,0.00017112716680574581
ओर,494,0.00022724951720978073
ईन,336,0.00015456647324389944
ईल,238,0.00010948458521442878
इप,483,0.00022218930528810547
ईच,139,6.394267791935126e-05
ओछ,79,3.6341521982940646e-05
ओट,207,9.522398798061662e-05
औज,111,5.106213848235964e-05
एद,93,4.2781791701436454e-05
औं,101,4.6461945826291204e-05
ऊष,66,3.0361271530051677e-05
अछ,188,8.648362193408659e-05
ऊट,72,3.312138712369274e-05
औक,62,2.8521194467624306e-05
औष,153,7.038294763784708e-05
आओ,90,4.1401733904615925e-05
ईद,133,6.11825623257102e-05
ऊध,124,5.704238893524861e-05
आण,56,2.576107887398324e-05
अष,116,5.336223481039386e-05
आ.,86,3.956165684218855e-05
इख,116,5.336223481039386e-05
ऐन,71,3.2661367858085896e-05
इथ,83,3.818159904536802e-05
अण,87,4.0021676107795396e-05
आफ,237,0.00010902456594882194
उफ,97,4.462186876386383e-05
ई.,176,8.096339074680448e-05
ओश,81,3.726156051415433e-05
ऐष,35,1.6100674296239526e-05
ओं,73,3.358140638929958e-05
आँ,88,4.048169537340224e-05
आघ,31,1.4260597233812153e-05
उथ,99,4.554190729507752e-05
इओ,39,1.79407513586669e-05
ओ.,40,1.8400770624273744e-05
इआ,76,3.496146418612012e-05
ईग,144,6.624277424738548e-05
आऊ,78,3.58815027173338e-05
ओग,207,9.522398798061662e-05
ऐब,49,2.2540944014735338e-05
आछ,35,1.6100674296239526e-05
ओह,73,3.358140638929958e-05
ऊम,24,1.1040462374564247e-05
अौ,24,1.1040462374564247e-05
ऐड,84,3.864161831097486e-05
आष,22,1.012042384335056e-05
अा,188,8.648362193408659e-05
ओआ,68,3.128131006126537e-05
ओन,71,3.2661367858085896e-05
उह,22,1.012042384335056e-05
एण,32,1.4720616499418996e-05
ऐज,40,1.8400770624273744e-05
ऊत,21,9.660404577743715e-06
ऐह,37,1.7020712827453212e-05
उव,50,2.300096328034218e-05
ऐव,19,8.74036604653003e-06
ऋद,27,1.2420520171384778e-05
ऊफ,18,8.280346780923185e-06
औल,17,7.820327515316342e-06
