digram,frequency,probability
मे,957444,0.03373993121303081
है,712185,0.025097105325170295
नह,159123,0.005607428815065008
ही,212949,0.0075042348292784725
लि,371859,0.013104157612295261
कि,349566,0.012318561497502024
बा,341681,0.012040697353369576
कह,149895,0.005282237905482988
सा,326696,0.01151263214096314
कर,324941,0.01145078666563626
रन,136814,0.004821268866878478
पु,143319,0.005050502380839363
था,116574,0.004108019624362212
गय,114547,0.004036588981349343
रह,273401,0.009634538347489605
हु,216829,0.0076409644271521445
ले,188443,0.00664065350827533
पन,154217,0.005434543400846392
न्,185920,0.006551744030070363
हो,224726,0.007919251446329562
सर,133177,0.004693102488665451
रक,142224,0.005011915032985839
का,447510,0.015770067614548126
दि,276935,0.009759075048233304
पह,123217,0.0043421162013402535
हल,84364,0.0029729525244882532
फि,116963,0.00412172782373666
ल्,193820,0.006830136768009023
थी,64481,0.0022722838145598488
लो,154083,0.005429821296177559
गो,84163,0.0029658693674850037
कु,100070,0.003526425479179976
सक,210531,0.0074190255077169935
पा,212880,0.007501803297769894
र्,566682,0.01996963968614637
थे,41352,0.0014572274049670269
वा,441123,0.015544992371862782
बी,111823,0.003940596346141126
जे,95785,0.0033754238485385634
मो,81593,0.002875303628687237
को,155567,0.00548211684340553
नक,137709,0.004852808297315833
मा,374851,0.013209594456841145
मल,92409,0.0032564550025536367
सि,142924,0.00503658274394243
ग्,98435,0.0034688087543027976
रे,211726,0.007461136814278601
बत,74903,0.002639550791116396
ता,260316,0.00917342835053677
रत,127821,0.004504359260260455
भा,133437,0.00470226478130647
हे,67575,0.0023813150969879773
चु,84435,0.0029754545351709932
ना,228674,0.00805837733612473
या,327803,0.011551642363861634
दे,234277,0.008255824742538696
दौ,41435,0.0014601522906947369
रा,443972,0.015645389955456106
तर,77530,0.002732125186377771
खि,56827,0.002002560015043075
ला,288506,0.01016683231034574
दो,69183,0.0024379803530139733
नो,110071,0.0038788565895754887
जा,280836,0.009896544677435674
शु,49187,0.0017333295697454332
सभ,56433,0.0019886756177332227
मन,58640,0.0020664493864206435
मै,52546,0.0018516993427499853
प्,285509,0.010061219267864453
रद,65682,0.0023146065586439413
ज्,74985,0.002642440437257025
दर,60282,0.002124312788407388
सम,131155,0.004621848043587986
सब,39178,0.0013806165426532738
बस,32968,0.0011617787068812376
गई,24077,0.0008484635381454611
मं,106753,0.003761931639641251
त्,297639,0.010488675459155081
यह,29918,0.001054297966284666
हा,234368,0.008259031544963052
रो,213596,0.007527034842119779
क्,363403,0.012806171663939651
स्,402121,0.014170577996535738
सस,35547,0.0012526616019627322
ने,87676,0.003089666036900006
रु,69287,0.0024416452700703807
पय,24320,0.0008570267578061059
शा,115874,0.004083351913405622
मि,171102,0.006029563828706428
नज,29566,0.0010418936316322093
मह,82348,0.0029019095169332734
हि,123841,0.0043641057036787
कत,70252,0.0024756514716033945
मु,166334,0.005861541477504968
ख्,53292,0.0018779880747122942
यम,26824,0.0009452666838565372
खा,71982,0.002536615957253253
बह,35876,0.0012642554261123296
वज,31187,0.001099017002290256
हत,76798,0.002706329808634594
ती,72642,0.0025598740847266096
बि,82710,0.0029146662474565386
वह,38413,0.0013536582585364288
की,38348,0.001351367685376174
रध,20536,0.0007236801602921954
धा,94810,0.0033410652511347413
नम,32818,0.0011564927688191113
जह,23875,0.0008413451415551308
पि,64268,0.0022647777825116288
छल,20699,0.0007294242129863728
गि,43745,0.0015415557368514846
रफ,26771,0.0009433989857412525
फ्,58714,0.002069057115864626
मौ,50613,0.0017835812209227155
घट,25610,0.0009024858251403936
टन,36720,0.0012939976376085613
वी,59721,0.002104543380055035
डि,78660,0.002771945919779124
गा,160939,0.005671423905203819
गए,15342,0.0005406457449942959
मी,70068,0.0024691673875805193
री,137434,0.0048431174108686005
पू,96675,0.003406787081040514
सव,23863,0.0008409222665101606
पर,88871,0.0031317773434616134
रि,265316,0.009349626285940988
दी,46655,0.001644102935256738
टी,43920,0.0015477226645906322
सन,31095,0.0010957749602788184
रू,49103,0.0017303694444306423
जब,27806,0.0009798719583699253
बक,21422,0.0007549024344458224
जि,146070,0.005147446484898762
फी,20425,0.0007197685661262218
सद,33174,0.0011690380618198913
खु,40015,0.0014101120770399396
ध्,42541,0.0014991272740061494
यक,49225,0.0017346686740545051
शि,66459,0.0023419877178057565
यो,173847,0.006126296495243343
पक,41843,0.0014745300422237208
हन,43276,0.0015250283705105692
लग,92801,0.003270268920689327
पी,57320,0.0020199331314739305
बय,14715,0.0005185505238946073
सु,106359,0.003748047242331399
तं,41924,0.0014773844487772692
पत,68862,0.0024266684455610224
के,97392,0.003432053864977478
वि,222802,0.00785145048078602
नस,31789,0.0011202312337129235
द्,128269,0.004520146595272673
पो,45920,0.0016182018387523184
हम,73111,0.002576401451067525
कप,22254,0.000784221770897084
चा,121096,0.004267373037141785
वक,24477,0.0008625593729777983
तौ,15313,0.0005396237969689515
जन,71925,0.0025346073007896453
नत,30249,0.0010659622696084252
कस,24820,0.0008746465513465275
फै,36005,0.0012688013328457585
सल,64097,0.002258751813120805
ली,49245,0.001735373465796122
दू,41835,0.001474248125527074
जर,61148,0.002154830270819398
बन,74892,0.002639163155658507
जै,24094,0.0008490626111258354
नर,25187,0.000887579479805197
जव,26385,0.0009297965051280471
शे,27101,0.0009550280494779308
लम,17053,0.0006009406784896187
यू,50920,0.0017943997741565344
गी,42980,0.0015145974527346396
से,67959,0.002394847098427021
बं,53995,0.001902761504430127
तह,12860,0.0004531810898596432
सो,51949,0.001830661309262722
दु,38418,0.001353834456471833
नि,178238,0.006281033522115325
बै,43327,0.0015268255894516922
मद,22524,0.0007937364594089116
कं,28841,0.0010163449309985978
सी,101353,0.003571637869404698
षे,15450,0.000544451620399027
लन,33487,0.0011800680525761954
नू,14366,0.0005062519080033931
जग,20361,0.0007175132325530478
ची,31789,0.0011202312337129235
रव,70240,0.0024752285965584245
तै,20136,0.0007095843254598581
खब,16699,0.0005884658646630001
ट्,132148,0.004656840953559263
ते,42688,0.0015043074933070333
चर,17842,0.0006287447126964038
जू,30324,0.0010686052386394884
बज,19398,0.0006835775101941958
कभ,8600,0.0003030604488952513
कश,10772,0.0003796008320348427
श्,85732,0.0030211602796148466
जी,49325,0.0017381926327625895
चल,39020,0.0013750486878945005
लत,30175,0.0010633545401644428
मव,9849,0.0003470746931592244
बल,28543,0.0010058435340485066
तच,8417,0.000296611604459457
वो,23931,0.0008433185584316579
दा,118555,0.0041778292463693625
ष्,65745,0.0023168266526300343
रप,25053,0.0008828573751363639
फो,25564,0.0009008648041346749
धि,52007,0.0018327052053134108
गु,50581,0.0017824535541361285
हज,11430,0.00040278848033403747
रख,34467,0.0012146028479154216
रम,31126,0.0010968673874783247
बु,37604,0.0013251494325880267
धव,9452,0.00033308457708812965
गे,49103,0.0017303694444306423
बच,36966,0.0013026665760304487
च्,50702,0.0017867175441729105
चो,17216,0.000606684731183796
हू,18951,0.000667825414769059
पे,41447,0.0014605751657397069
छत,9049,0.00031888302349454984
दम,20189,0.0007114520235751428
जल,19866,0.0007000696369480304
सू,41006,0.0014450345078370552
पं,19374,0.0006827317601042556
नी,60734,0.002140241081767929
मर,38577,0.001359437550817687
तस,14017,0.0004939532921121787
कू,14455,0.000509388231253588
घा,16178,0.0005701060397938809
खत,24718,0.0008710521134642816
गत,16814,0.000592518417177297
गल,34002,0.0011982164399228295
लव,21661,0.0007633246957581439
खन,26518,0.0009344833702097992
नव,30200,0.0010642355298414639
शर,27450,0.0009673266653691451
टो,22575,0.0007955336783500346
सज,9075,0.0003197992527586518
सं,137068,0.004830219721997012
गठ,17302,0.0006097153356727485
बे,56908,0.002005414421596623
लह,9873,0.00034792044324916463
गौ,10552,0.00037184812287705714
तल,20869,0.0007354149427901161
चन,17735,0.0006249740768787536
कै,42033,0.001481225563769081
कद,12613,0.0004444769118506749
ति,69229,0.002439601374019692
थि,30829,0.0010864012301153143
गृ,7909,0.00027870989422238866
यु,32881,0.0011587128628052043
नय,9794,0.000345136515869778
हर,46879,0.001651996602762847
शन,19823,0.0006985543347035541
शो,28719,0.001012045701374735
पस,14340,0.0005053356787392911
शख,6291,0.0002216922423255844
घं,7576,0.00026697511172446786
म्,58673,0.0020676122927943113
गं,12327,0.0004343983899455538
भी,12883,0.0004539916003625026
बर,35544,0.0012525558832014896
जप,11246,0.0003963043963111623
ठी,6196,0.0002183444815529043
नं,14410,0.0005078024498349501
दव,10292,0.0003626858302360379
जम,26619,0.0009380425685049644
तम,11385,0.00040120269891539954
तन,29646,0.0010447127985986767
मध,9247,0.0003258604617365568
बो,31381,0.0011058534821839397
जध,5407,0.00019054044734611903
जस,13398,0.0004721399877091368
सह,24819,0.0008746113117594467
शह,18317,0.0006454835165598043
यर,33755,0.0011895122619138613
चि,42542,0.0014991625135932303
यं,13676,0.0004819365929176112
छा,22114,0.0007792882287057659
शू,7969,0.00028082426944723925
टि,54297,0.0019134038597285418
व्,33646,0.0011856711469220493
फे,20781,0.0007323138591270019
फर,22987,0.000810052388227342
वर,69565,0.0024514418752788554
घो,13824,0.000487152051805576
षण,6259,0.00022056457553899743
हच,5382,0.00018965945766909794
भर,17093,0.0006023502619728524
भि,18060,0.0006364269426800277
ठब,6148,0.00021665298137302382
दग,9135,0.0003219136279835024
वं,10341,0.0003644125700029992
नन,15848,0.0005584769760572026
रै,20390,0.0007185351805783923
सत,15677,0.0005524510066663784
गभ,4611,0.00016248973602976788
भू,16168,0.0005697536439230724
लक,21492,0.0007573692055414814
दस,20739,0.0007308337964696066
भे,15053,0.0005304615043279323
