trigram,frequency,probability
ुलि,89088,0.013661144786390501
ेकि,65888,0.010103554998267976
ोंन,67872,0.010407790262907418
िल्,121821,0.018680566619779064
ोगो,50269,0.0077084690111694516
ार्,139423,0.02137973452712961
ीजे,42299,0.006486314243439428
ामल,57306,0.008787553465437479
ांग,49740,0.007627349830224762
ंग्,46366,0.007109965867072804
ुना,48845,0.00749010660348469
ौरा,32170,0.0049330889432716235
िला,55328,0.00848423826712255
ोनो,29647,0.004546201053813299
ोर्,63141,0.009682317966027778
िया,106021,0.01625772529855769
ामन,27687,0.004245646054471914
ंत्,81389,0.012480546347651047
ाकि,27612,0.004234145225415483
िस्,67019,0.010276987500438949
ुपय,21785,0.003340607479924536
ामि,24607,0.003773345341221164
ुख्,30522,0.004680377392804989
ाज्,32533,0.004988752955904748
ुता,18430,0.0028261370601335416
ाबि,23698,0.0036339552930572255
ानम,17851,0.0027373506598178973
ारत,21963,0.0033679027808851316
िछल,19339,0.0029655271082974803
िरफ,21454,0.0032898504876888225
ुमा,24144,0.0037023468898461326
ानक,20701,0.0031743821639622595
ीडि,32627,0.005003167328322141
ाला,25190,0.0038627451190864845
ांक,18473,0.0028327308687925616
ांध,17456,0.002676779626787363
िवा,54227,0.008315406096574149
ूर्,30201,0.004631153844443466
िसम,14577,0.0022353011354078476
ीसद,13851,0.0021239731101415998
िनो,15209,0.002332214788256703
िहा,25594,0.003924696251603791
िर्,38179,0.0058545353672728425
ोशि,14833,0.0022745572985871307
ोंक,13388,0.002052974658766568
ोगा,13033,0.001998537401232797
ाहु,14174,0.002173503347277961
ुरक,17997,0.0027597389403810823
ाएग,26177,0.004014096029469111
िधा,28751,0.0044088044826858085
ानस,15079,0.002312280017892223
िपो,14405,0.002208925900771767
ाहि,31339,0.004805659757326373
ोकस,11615,0.0017810950598725493
ैसल,19044,0.002920290514008853
िली,16462,0.002524355305692803
ूसर,25226,0.0038682655170335714
ेजर,11357,0.0017415322079184282
ीवा,15361,0.002355523135144402
ेंद,42983,0.006591201804434075
ंद्,47696,0.007313913902340173
िसक,20442,0.0031346659676207192
ुंब,10897,0.001670993789705654
िरो,17908,0.002746091289900785
ोगी,10596,0.0016248371290925126
ाता,13745,0.0021077186050751776
ुनि,15648,0.0023995329743336765
ंपन,14325,0.002196658349778241
ेत्,14470,0.002218893285954007
िलन,12647,0.0019393464676890342
ानू,12597,0.0019316792483180805
ुप्,15884,0.002435722249764578
ेता,13659,0.0020945309877571376
ैया,14634,0.002244041765490735
ेमा,11147,0.0017093298865604226
ेरि,17926,0.002748851488874328
ौजू,13403,0.0020552748245778545
िका,58106,0.008910228975372738
ांस,21795,0.0033421409237987267
ंडि,15445,0.0023684040636876044
ोमव,8382,0.0012853326553466818
ातच,8247,0.0012646311630451067
ाष्,28671,0.004396536931692283
ुजर,9859,0.0015118223155646546
ोरो,9063,0.0013897601831790714
ुधव,7559,0.0011591302245007836
ाहत,16893,0.002590446736670424
ेंग,33235,0.005096400715872938
ंगे,33655,0.005160805358588949
ंकि,9940,0.0015242432109455997
ियो,86475,0.01326045590206446
ीबी,8776,0.001345750343989797
ूछत,7823,0.0011996131427794191
ूत्,8324,0.0012764386808763754
ोपि,8985,0.0013777993209603836
ंजा,14495,0.0022227268956394835
ीती,7286,0.0011172672067353761
िभा,13204,0.0020247592914814584
ुक्,20790,0.003188029814442557
ुला,29444,0.004515072143167227
ाका,14890,0.002283297928670018
ंगल,10734,0.0016459986545563448
ारद,9575,0.0014682725095376376
ेखन,9896,0.0015174960578991604
ारि,35591,0.005457680092632277
ुरु,19628,0.003009843636261593
ुवा,10810,0.0016576528280001944
ुनव,7132,0.0010936521710728387
ैंन,6757,0.0010361480257906857
ीटो,6811,0.001044428622711316
ंगठ,8637,0.0013244354741385458
ालो,15828,0.0024271349640691098
िलह,6542,0.0010031789824955849
ौरत,6414,0.0009835509009059433
ूचन,6863,0.0010524025308571076
िले,18137,0.0027812071546197527
ाजन,17654,0.00270714181549634
ीति,8024,0.0012304353646506532
ुद्,20819,0.0031924768016777104
ंदि,11440,0.0017542597920742113
ासि,11632,0.0017837019144586737
ंख्,7852,0.0012040601300145723
ेशो,7227,0.0011082198878776509
िंस,7757,0.0011894924132097604
ोजन,9595,0.001471339397286019
ंभी,6760,0.001036608058952943
िसस,5871,0.0009002848985373859
िसा,14432,0.002213066199232082
ानो,19578,0.003002176416890639
ात्,36970,0.005669142002883181
ंबं,10133,0.001553838677717481
ाजप,9684,0.0014849870477663166
ारा,24151,0.003703420300558066
ीदव,8156,0.001250676823789971
िसं,5395,0.0008272929701259065
ेखत,6021,0.0009232865566502471
ाजध,5292,0.0008114984982217418
ाजस,6368,0.0009764970590846659
ायर,21278,0.0032628618755030656
ाचि,6579,0.0010088527248300907
ुस्,13918,0.002134247184098678
िशा,10660,0.0016346511698873334
ियं,7902,0.001211727349385526
ावज,5027,0.0007708622355556871
ूटि,5472,0.0008391004879571752
ोस्,21057,0.00322897276588345
िरद,5467,0.0008383337660200799
ेसब,5516,0.0008458476410036145
िष्,11708,0.0017953560879025233
ुंच,24241,0.003717221295425783
ेलव,5003,0.0007671819702576293
ोषण,5302,0.0008130319420959326
ोंग,9005,0.001380866208708765
ाजा,6048,0.0009274268551105621
िंद,24367,0.0037365426882405863
ंदग,5830,0.0008939977786532039
िदे,10150,0.0015564455323036053
िपक,8386,0.001285946032896358
ूमि,5245,0.0008042913120130453
िलक,5332,0.0008176322737185048
ीपि,4550,0.0006977169627567886
ीटे,4844,0.0007428002126579965
ुसा,6286,0.0009639228193163017
ोबा,11314,0.001734938399259408
ोटब,4595,0.0007046174601906469
िरा,17164,0.002632003065660993
िशे,7375,0.0011309148572156739
ेस्,15880,0.002435108872214902
ानी,5279,0.0008095050211852938
ेहत,6960,0.001067276936436758
िजन,7149,0.001096259025658963
ीक्,12973,0.0019893367379876523
ाशो,4208,0.0006452731822594651
ेंस,12173,0.0018666612280523929
ाजि,10332,0.0015843542108138768
ुकस,4097,0.0006282519552559479
ावो,5393,0.0008269862813510684
