trigram,frequency,probability
अपन,127396,0.07091178497357702
उन्,102255,0.056917678517952826
इसक,64863,0.036104360488093235
उनक,84158,0.04684443781442349
उसक,53031,0.029518374744370017
आरो,48856,0.027194465812655645
इसस,20482,0.011400791075299102
अला,16197,0.009015653405264112
उसन,14104,0.007850637502490897
उत्,22270,0.01239603638545606
अध्,17451,0.00971366102211916
इसम,13414,0.007466566325752474
आपक,23971,0.013342855329850346
आतं,30726,0.017102856487630123
एगा,14613,0.008133959573447211
इला,21677,0.012065957823418546
इसल,11469,0.006383930907265179
अन्,13096,0.007289559609516504
अस्,12546,0.0069834159179134134
इस्,15455,0.008602637734046853
अमे,15556,0.008658856848323055
इंड,15615,0.00869169771705866
अमि,11288,0.006283181801483071
अधि,30219,0.016820647666461457
आदम,7491,0.004169677079634097
आधा,9598,0.0053424857309208465
आदे,7236,0.0040277377317090276
अगल,9080,0.0050541540359201175
एगी,8289,0.004613863744905491
आयो,12034,0.006698423972275627
एक्,29246,0.0162790516447709
अखि,6963,0.00387577913569513
अदा,7094,0.003948696996786048
उनस,5729,0.003188904016716559
उम्,20683,0.011512672678957687
अंद,10407,0.005792795270024302
अंज,6291,0.0035017272070455353
इतन,10550,0.005872392629841106
उसस,5358,0.0029823961811079286
अच्,13603,0.007571768430685172
अरव,5108,0.002843239957651978
अभि,13561,0.007548390185144572
ऐला,4707,0.0026200333752286337
अप्,6341,0.003529558451736725
अनु,21163,0.011779852627993111
अपी,4416,0.0024580555311259074
आमि,4119,0.0022927379376602385
इनम,4138,0.0023033138106428905
एजे,9279,0.005164922389791054
अगस,4167,0.0023194559325637808
आर्,8134,0.004527586886362802
आखि,8010,0.00445856539952865
अक्,9735,0.005418743341374707
ईको,3543,0.001972121998817729
एंग,15942,0.008873714057339043
इंट,11290,0.006284295051270719
आंद,3835,0.0021346564678142786
अंत,10105,0.005624694552089514
इंत,4589,0.0025543516377574253
उसम,3261,0.0018151537787594167
इनक,10244,0.005702065412331023
आजत,3002,0.0016709879312590522
अचा,3061,0.0017038287999946564
आसा,7580,0.004219216695184416
अवै,3015,0.0016782240548787616
आवा,5623,0.0031299017779712356
आशं,3079,0.001713848048083485
आरक,4324,0.0024068460408941178
उपल,3797,0.0021135047218489742
अपर,5992,0.0033352963637922188
अरु,3667,0.0020411434856518803
अनि,5488,0.0030547574173050225
अका,4254,0.0023678822983264516
आदि,7123,0.003964839118706938
आलि,2691,0.0014978775892798498
आएं,4837,0.002692394611425728
इति,2599,0.00144666809904806
आवे,2777,0.0015457473301486967
आपन,2462,0.0013704104885941992
इंस,8972,0.004994038547387147
एनय,2528,0.0014071477315865703
उनम,2374,0.0013214274979377048
अहम,3985,0.0022181502018878488
आसप,2329,0.0012963793777156338
आरज,2504,0.001393788734134799
एसट,3308,0.0018413151487691353
एसप,6242,0.003474452587248169
अशो,2276,0.0012668782583429722
एमस,3760,0.0020929096007774937
एफआ,2253,0.0012540758857850249
आईआ,3040,0.0016921396772243565
आत्,4119,0.0022927379376602385
इन्,4931,0.0027447173514451653
एनक,2180,0.0012134422685358872
उंट,3162,0.0017600479142708605
अयो,2207,0.0012284711406691299
एयर,5488,0.0030547574173050225
आया,3028,0.001685460178498471
एंट,4773,0.0026567706182210045
एनड,2766,0.001539624456316635
आनं,2751,0.0015312750829092779
आजा,3308,0.0018413151487691353
ओवै,1916,0.0010664932965664038
अज्,1970,0.001096551040832889
आबा,1891,0.0010525776742208086
उच्,3045,0.0016949228016934757
अर्,7556,0.004205857697732645
इजा,2966,0.0016509494350813953
इमर,2730,0.001519585960138978
एनआ,3189,0.001775076786404103
उठा,10249,0.005704848536800142
अफस,3600,0.002003849617765685
इवे,3343,0.0018607970200529684
आरए,3473,0.0019331582562500625
एसए,6023,0.0033525517355007563
ऐश्,1766,0.0009829995624928334
आलो,2685,0.001494537839916907
अफग,2026,0.001127722034887022
आईए,8327,0.0046350154908707955
ईएस,3426,0.001906996886240344
एसआ,5133,0.002857155579997573
उल्,3146,0.0017511419159696796
उर्,2831,0.0015758050744151821
अखब,1865,0.0010381054269813898
आधि,1627,0.000905628702251325
अलर,1608,0.0008950528292686728
अंग,3155,0.0017561515400140938
अपह,1785,0.0009935754354754858
उपा,3972,0.0022109140782681394
असल,2052,0.0011421942821264407
अगव,1624,0.0009039588275698536
अजह,1548,0.0008616553356392447
आंध,2058,0.0011455340314893835
एकज,1763,0.000981329687811362
अके,2333,0.001298605877290929
आश्,3274,0.001822389902379126
अति,2104,0.0011711387766052783
ईरा,2710,0.001508453462262502
अगु,1718,0.000956281567589291
इमा,3356,0.0018680331436726778
इसी,1336,0.0007436508581485988
अधी,1722,0.0009585080671645862
एशि,2217,0.001234037389607368
आडव,1282,0.0007135931138821135
अश्,2448,0.001362617740080666
आगा,2058,0.0011455340314893835
ऐति,1294,0.0007202726126079992
एटी,2221,0.001236263889182663
अंब,2330,0.0012969360026094574
आपर,1405,0.0007820579758224411
उता,3630,0.0020205483645803993
उद्,5254,0.002924507192150253
इब्,1820,0.0010130573067593188
अवस,1973,0.0010982209155143603
इसे,1358,0.0007558966058127224
इंद,4209,0.0023428341781043804
उपम,1300,0.0007236123619709419
आंख,1810,0.0010074910578210807
आरप,2408,0.001340352744327714
एग्,2334,0.0012991625021847527
अख्,1489,0.0008288144669036404
आईट,2391,0.0013308901211327095
एकत,1803,0.001003594683564314
एपि,1268,0.0007058003653685804
अपड,1319,0.0007341882349535942
अब्,3240,0.0018034646559891168
इंक,1261,0.0007019039911118137
इशा,2098,0.0011677990272423355
आयु,2617,0.0014566873471368886
अग्,2043,0.0011371846580820264
इंज,2922,0.001626457939753148
इरा,2525,0.0014054778569050988
अफव,1637,0.000911194951189563
ओबा,1004,0.0005588513933990967
इंग,1377,0.0007664724787953747
अवध,1193,0.0006640534983317952
आपत,1925,0.0010715029206108178
आदर,1041,0.0005794465144705773
ओडि,992,0.0005521718946732111
उपय,1468,0.0008171253441333406
आजक,957,0.000532690023389378
अंस,1029,0.0005727670157446918
एडम,1583,0.0008811372069230778
आएग,2611,0.0014533475977739458
इच्,1547,0.0008610987107454209
आईप,2754,0.0015329449575907494
ईपी,2563,0.0014266296028704033
उदा,1397,0.0007776049766718507
अमृ,1509,0.0008399469647801164
आगर,903,0.0005026322791228928
एम्,1187,0.0006607137489688524
अटै,1081,0.0006017115102235294
आरस,1596,0.0008883733305427872
अपम,1422,0.0007915205990174458
आरब,1028,0.0005722103908508679
इटल,936,0.0005210009006190782
आईं,867,0.0004825937829452359
उपच,1692,0.0009418093203498721
अल्,3241,0.0018040212808829407
इसन,823,0.00045810228761698866
अनश,840,0.0004675649108119933
ओलं,840,0.0004675649108119933
एसो,1169,0.0006506945008800239
आशी,1513,0.0008421734643554116
आपस,1554,0.0008649950850021875
उंस,1184,0.000659043874287381
उचि,785,0.0004369505416516842
अवि,1189,0.0006618269987564999
अपल,781,0.00043472404207638897
इना,1221,0.0006796389953588616
अफ्,1194,0.000664610123225619
उपर,1065,0.0005928055119223485
अबत,775,0.0004313842927134462
इरफ,763,0.00042470479398756057
ईएए,950,0.0005287936491326114
अनं,1408,0.0007837278505039125
एनस,1544,0.0008594288360639495
इमे,1091,0.0006072777591617674
इकि,1364,0.0007592363551756653
आईज,1172,0.0006523643755614953
आग्,746,0.0004152421707925559
अलग,1264,0.0007035738657932851
इकट,890,0.0004953961555031833
अंड,1796,0.0009996983093075475
उजा,794,0.0004419601656960984
इम्,1622,0.0009028455777822061
अंक,2307,0.0012841336300515101
अकब,904,0.0005031889040167165
इका,1007,0.0005605212680805681
आवश,1239,0.0006896582434476901
ओबी,678,0.0003773916780125374
अमी,1120,0.0006234198810826577
अवत,715,0.00039798679908401805
एरि,920,0.0005120949023178974
अड्,1233,0.0006863184940847473
उतर,3229,0.001797341782157055
आरत,719,0.0004002132986593133
एहस,776,0.00043194091760726997
अमर,2135,0.0011883941483138163
एकद,765,0.00042581804377520813
असद,701,0.0003901940505704849
आसि,1192,0.0006634968734379714
इयो,1445,0.0008043229715753932
आरा,1219,0.0006785257455712141
इसप,639,0.0003556833071534092
अलव,1134,0.0006312126295961909
आवज,900,0.0005009624044414213
आधु,805,0.0004480830395281602
ईस्,790,0.0004397336661208032
ऊर्,659,0.0003668158050298852
आपद,697,0.00038796755099518965
आवं,1039,0.0005783332646829298
उतन,1270,0.0007069136151562279
आरट,723,0.0004024397982346085
आमत,608,0.00033842793544487133
अपो,834,0.00046422516144905044
असफ,717,0.00039910004887166566
इनस,848,0.00047201790996258367
आपब,594,0.0003306351869313381
इटे,916,0.0005098684027426022
आमं,703,0.00039130730035813243
उंड,1001,0.0005571815187176253
आह्,600,0.0003339749362942809
आशु,593,0.0003300785620375143
आक्,1293,0.0007197159877141753
आसम,660,0.00036737242992370897
अपक,607,0.0003378713105510475
अत्,1349,0.0007508869817683082
एसि,594,0.0003306351869313381
आपू,631,0.00035123030800281874
अतु,622,0.0003462206839584045
अफे,639,0.0003556833071534092
ऊंच,1709,0.0009512719435448767
आयक,531,0.0002955678186204386
इज्,722,0.00040188317334078467
एनज,1343,0.0007475472324053655
इमो,881,0.0004903865314587691
एजु,535,0.0002977943181957338
एनए,2441,0.0013587213658238994
एसज,680,0.00037850492780018503
आंस,697,0.00038796755099518965
असी,570,0.00031727618947956687
उमे,542,0.0003016906924525004
अजी,1498,0.0008338240909480547
औपच,615,0.00034232430970163795
आस्,721,0.0004013265484469609
अजि,621,0.00034566405906458073
अने,582,0.0003239556882054525
एलज,894,0.0004976226550784785
अरह,514,0.00028610519542543396
आचा,786,0.00043750716654550797
ऋति,482,0.00026829319882307233
इनप,658,0.0003662591801360614
आंत,924,0.0005143214018931925
असह,1025,0.0005705405161693965
आईस,1408,0.0007837278505039125
ईसी,1303,0.0007252822366524133
इश्,848,0.00047201790996258367
असि,739,0.0004113457965357893
आकर,899,0.0005004057795475976
उनप,451,0.0002510378271145345
उपस,914,0.0005087551529549545
ईमा,894,0.0004976226550784785
आपा,781,0.00043472404207638897
औद्,442,0.00024602820307012026
इसर,460,0.0002560474511589487
ईश्,509,0.00028332207095631496
उठन,553,0.00030781356628456225
आकल,428,0.00023823545455658703
उपे,826,0.00045977216229846005
इल्,1053,0.000586126013196463
एकम,539,0.000300020817771029
अनव,443,0.0002465848279639441
एचड,975,0.0005427092714782065
अरम,462,0.00025716070094659627
एमप,425,0.00023656557987511564
अहस,498,0.0002771991971242532
आशि,585,0.0003256255628869239
इलो,539,0.000300020817771029
आइड,545,0.0003033605671339718
इडि,557,0.0003100400658598574
ईमे,512,0.00028499194563778635
ईंध,390,0.0002170837085912826
आईड,1019,0.0005672007668064537
आगज,396,0.0002204234579542254
ईसा,433,0.00024101857902570606
अनज,504,0.00028053894648719595
आका,1373,0.0007642459792200795
उनल,435,0.00024213182881335364
आभा,578,0.00032172918863015727
उठत,729,0.0004057795475975513
एंब,699,0.00038908080078283727
अटक,923,0.0005137647769993688
उज्,606,0.0003373146856572237
आहू,394,0.0002193102081665778
एबी,515,0.0002866618203192578
इकब,377,0.00020984758497157317
एनप,968,0.0005388128972214399
उंग,626,0.00034844718353369973
ईवी,438,0.00024380170349482506
ओपन,597,0.0003323050616128095
ओला,442,0.00024602820307012026
उसप,355,0.00019760183730744952
अपा,495,0.00027552932244278173
अरे,490,0.0002727461979736627
अरस,386,0.00021485720901598737
एलओ,397,0.0002209800828480492
उपभ,588,0.00032729543756839527
इवि,383,0.00021318733433451598
इजह,345,0.00019203558836921152
उग्,1072,0.0005967018861791152
ओमप,359,0.00019982833688274475
एसब,620,0.00034510743417075695
अनी,604,0.0003362014358695761
अनद,378,0.00021040420986539698
ईआई,587,0.0003267388126745715
अरश,372,0.00020706446050245417
इंच,408,0.00022710295668011102
उछा,572,0.0003183894392672145
अभा,344,0.00019147896347538771
आंब,346,0.00019259221326303533
एनब,419,0.00023322583051217283
एमए,2293,0.0012763408815379769
एलस,391,0.00021764033348510637
एनर,360,0.00020038496177656855
अती,465,0.0002588305756280677
असं,1196,0.0006657233730132666
अरब,726,0.0004041096729160799
एडि,967,0.0005382562723276161
अभ्,525,0.0002922280692574958
ओखल,316,0.00017589346644832128
एमक,810,0.0004508661639972792
एडव,1204,0.000670176372163857
इजर,1134,0.0006312126295961909
अफज,390,0.0002170837085912826
