ngram,Frequency,Probability
पुलिस,88414,0.005535351521805331
लेकिन,65017,0.004070531249499142
उन्हो,64970,0.00406758871187473
न्हों,67963,0.004254972012084689
्होंन,67910,0.004251653831359287
होंने,67872,0.004249274758386357
सरकार,71701,0.004488997664000769
फिल्म,65989,0.004131385431859343
लोगों,49427,0.0030944852587630025
दिल्ल,47986,0.00300426830734217
िल्ली,48372,0.0030284346801724552
पार्ट,48739,0.003051411516516276
ार्टी,41981,0.002628312170435786
बीजेप,39582,0.002478117537223727
ीजेपी,39583,0.0024781801444072253
मामले,38414,0.002404992346897889
कांग्,38599,0.002416574675845047
ांग्र,38599,0.002416574675845047
ंग्रे,40592,0.0025413507925568573
ग्रेस,38699,0.0024228353941948616
बताया,39439,0.0024691647099834915
उन्हे,34846,0.002181609916176494
न्हें,39027,0.0024433705503822544
चुनाव,41467,0.0025961320781177377
दौरान,31595,0.0019780739626240125
खिलाफ,29891,0.0018713913219431666
दोनों,29193,0.0018276915078614588
कोर्ट,29724,0.0018609359222989759
दिया.,23665,0.001481598997483692
किया.,22732,0.0014231864952799192
सामने,22586,0.0014140458464891896
प्रदे,23518,0.0014723957415094641
्रदेश,23518,0.0014723957415094641
ज्याद,24744,0.0015491521484781946
्यादा,24785,0.0015517190430016188
मंत्र,73091,0.004576021649063196
ंत्री,61855,0.003872567335277996
पाकिस,26251,0.001643501174009905
ाकिस्,26264,0.0016443150673953809
किस्त,26476,0.0016575877902969885
िस्ता,30957,0.0019381305795521933
स्तान,32744,0.0020500096164633853
रुपये,20417,0.0012782508654817046
शामिल,20051,0.0012553366363213822
महिला,29897,0.0018717669650441557
मुख्य,28278,0.0017704059349606526
ुख्यम,20540,0.001285951549051977
ख्यमं,20532,0.0012854506915839917
्यमंत,21230,0.0013291505056656997
यमंत्,21230,0.0013291505056656997
राज्य,32366,0.002026344101101085
हत्या,23642,0.0014801590322632346
मुताब,18210,0.0011400768115012903
ुताबि,18210,0.0011400768115012903
ताबिक,18158,0.0011368212379593865
प्रधा,19208,0.0012025587806324426
्रधान,19182,0.001200930993861491
रधानम,17666,0.0011060185036782973
धानमं,17661,0.0011057054677608064
ानमंत,17633,0.0011039524666228582
नमंत्,17729,0.0011099627562386805
भारती,19843,0.0012423143421537673
ारतीय,18237,0.0011417672054557402
पिछले,17177,0.0010754035909477024
गिरफ्,21212,0.001328023576362733
िरफ्त,21212,0.001328023576362733
रफ्ता,22098,0.001383493540942093
फ्तार,22337,0.0013984566577981503
आरोपी,16940,0.0010605656884586413
कुमार,19628,0.0012288537977016652
जानका,17796,0.0011141574375330566
ानकार,17796,0.0011141574375330566
नकारी,16680,0.0010442878207491224
वीडिय,16408,0.001027258666837626
ीडियो,16395,0.00102644477345215
अलावा,15546,0.0009732912746622217
हालां,15456,0.0009676566281473883
ालांक,15456,0.0009676566281473883
लांकि,15452,0.0009674061994133957
गांधी,15997,0.0010015271144198869
मीडिय,15542,0.0009730408459282292
ीडिया,15401,0.0009642132330549901
परिवा,16073,0.001006285260365746
रिवार,16400,0.0010267578093696409
मामला,14165,0.0008868307542512782
पूर्व,18505,0.001158545930633244
जिसमे,13999,0.0008764379617905855
िसमें,13863,0.0008679233848348372
फीसदी,13851,0.0008671720986328594
उत्तर,16678,0.001044162606382126
अध्यक,14606,0.0009144405221739618
ध्यक्,16674,0.0010439121776481335
्यक्ष,17435,0.0010915562442902248
दिनों,13869,0.0008682990279358262
बिहार,14824,0.0009280888881765582
इसमें,13328,0.0008344285416633276
सिर्फ,13238,0.0008287938951484943
कोशिश,14287,0.0008944688306380523
क्यों,20699,0.0012959060912281827
