quadgram,frequency
हैं.,183008
नहीं,154928
किया,127836
करने,88606
पुलि,85130
ुलिस,85130
लेकि,64905
ेकिन,64905
अपने,64859
उन्ह,99235
न्हो,64576
्हों,64576
होंन,64576
ोंने,64576
सरका,70088
रकार,70088
दिया,82806
पहले,58047
फिल्,60630
िल्म,60630
लोगो,49354
ोगों,49354
दिल्,47421
िल्ल,47421
ल्ली,47421
अपनी,43756
इसके,43588
लेकर,43232
होने,42559
पार्,41866
ार्ट,41866
र्टी,41866
वाले,40064
बीजे,39538
ीजेप,39538
जेपी,39538
मोदी,39150
उनके,38695
मामल,56150
ामले,38390
सिंह,37866
कांग,37616
ांग्,37616
ंग्र,37616
ग्रे,37616
्रेस,46135
बताय,37442
ताया,37442
करते,35688
भारत,52659
न्हे,34659
्हें,34659
चुना,40369
ुनाव,40369
गया.,32050
दौरा,31515
ौरान,31515
किसी,31278
खिला,29715
िलाफ,29715
दोनो,29151
ोनों,29151
उनकी,27445
उसके,26632
कोर्,29276
ोर्ट,41229
जांच,25026
जाने,24685
शुरू,24098
िया.,54943
लिया,31968
वाली,22833
सामन,25604
ामने,22562
प्रद,29014
्रदे,22127
रदेश,22127
ज्या,21992
्याद,21992
यादा,21992
दर्ज,21602
सबसे,21341
मंत्,63299
ंत्र,63299
त्री,57480
यहां,20763
आरोप,47969
क्या,20694
पाकि,26047
ाकिस,26047
किस्,26047
िस्त,26047
स्ता,29974
्तान,26047
देने,20485
इससे,20427
नेता,29414
रुपय,20293
ुपये,20293
शामि,20022
ामिल,20022
जारी,19666
काफी,19431
महिल,27832
हिला,27832
करना,19215
सकता,19204
मुख्,25131
ुख्य,25131
ख्यम,19056
्यमं,19056
यमंत,19056
बारे,18909
बहुत,18841
राज्,28027
ाज्य,28027
हत्य,18223
त्या,18223
मुता,18143
ुताब,18143
ताबि,18143
ाबिक,18143
वहीं,18058
प्रध,17501
्रधा,17501
रधान,17501
धानम,17501
ानमं,17501
नमंत,17501
जहां,17497
ारती,17412
रतीय,17412
पिछल,17169
िछले,17169
गिरफ,20362
िरफ्,20362
रफ्त,20362
फ्ता,20362
्तार,20362
रोपी,16902
कुमा,16701
ुमार,16701
जाता,16696
अपना,16690
जानक,16107
ानका,16107
नकार,19209
कारी,29615
उसकी,15901
घटना,15866
वीडि,15767
ीडिय,30825
डियो,15767
सकते,15719
अलाव,15544
लावा,15544
हाला,19653
ालां,15394
लांक,15394
ांकि,15394
गांध,15375
ांधी,15375
मीडि,15058
डिया,23465
करीब,14948
पूरी,14805
वहां,14655
सवाल,14468
उनका,14429
परिव,14368
रिवा,14368
िवार,31341
होता,14202
ामला,14108
उसने,14096
