triagram,frequency,probability
हुआ,27246,0.005949604582545031
में,804779,0.17573650540761976
इंच,653,0.0001425931069662301
फोन,7866,0.001717668268600867
है.,441560,0.09642176464319842
से.,502,0.00010961981576883234
तरह,31201,0.006813242772516609
चार,10586,0.0023116242424877672
सभी,23922,0.00522375544386854
लिए,141029,0.03079596214753517
काम,30116,0.006576315481462459
खास,8255,0.0018026127075133683
रखा,7622,0.001664386923884542
गया,79283,0.017312724807968794
रही,74429,0.01625277543398092
ढंग,953,0.0002081029570272853
अगर,20636,0.004506204219533115
तौर,11434,0.002496798751993683
वोट,8186,0.0017875454419993258
बात,44280,0.009669253869011745
मिल,10563,0.0023066018206497527
दिख,3687,0.0008051160572503682
रहे,72610,0.015855567376444054
खात,2,4.3673233374036785e-07
किए,18233,0.0039814703205440635
पोल,1936,0.0004227568990606761
हाथ,7823,0.001708278523425449
नजर,19767,0.004316444020522926
रहा,62761,0.013704878998939614
बार,34676,0.007572065202390498
बीच,28669,0.006260339638001303
कुल,6389,0.0013951414401336053
जीत,8340,0.001821173831697334
हैं,69327,0.015138671250609241
महज,3026,0.0006607760209491766
लोग,25474,0.005562659734851066
रूप,13991,0.0030551610406807433
मान,1568,0.0003423981496524484
नया,5924,0.0012936011725389696
साथ,94329,0.02059826215469758
देश,31857,0.0069564909779834495
बाद,101753,0.022219412577541824
मैं,22333,0.004876771604711818
कुछ,45184,0.009866656883862391
आगे,11896,0.002597683921087708
था.,83862,0.018312623486067364
हूं,6140,0.0013407682645829293
ऐसे,21088,0.004604905726958439
खुद,13731,0.0029983858372944956
दूर,5384,0.0011756834424290702
उठे,388,8.472607274563137e-05
कही,3169,0.0006920023828116129
कहा,100400,0.021923963153766466
हुई,30444,0.0066479395841958795
ऐसा,16926,0.0036960657404447334
जून,4604,0.0010053578322703268
अंत,1758,0.00038388772135778337
इसे,14820,0.003236186593016126
नाम,26360,0.005756132158698048
कोई,38705,0.008451862488710469
शहर,5077,0.0011086450291999238
भला,416,9.084032541799652e-05
हाई,4306,0.000940284714543012
उठा,2256,0.000492634072459135
दिए,11569,0.0025262781845211578
हो.,4676,0.00102108019628498
अलग,8373,0.0018283799152040501
कौन,4386,0.0009577540078926268
फिर,26871,0.005867717269968713
बनी,5296,0.001156467219744494
उसे,23649,0.00516414148031298
हटा,1566,0.000341961417318708
अभी,15941,0.003480975066077602
पाई,2297,0.0005015870853008125
जोन,749,0.00016355625898576776
तक.,49,1.0699942176639013e-05
अमल,546,0.00011922792711112043
शेर,512,0.00011180347743753417
रूक,20,4.367323337403679e-06
साल,45461,0.009927144312085431
गिर,1608,0.00035113279632725575
बने,5049,0.0011025307765275586
हुए,65699,0.014346438797204214
सका,643,0.00014040944529752827
मौत,16779,0.003663965913914816
गई.,21017,0.004589401729110655
खाट,65,1.4193800846561956e-05
ऊपर,3587,0.0007832794405633498
चला,6639,0.0014497329818511512
दी.,14295,0.0031215443554092792
नईम,121,2.6422306191292256e-05
की.,17889,0.003906352359140721
गृह,6019,0.001314345958391637
चीफ,2878,0.0006284578282523893
पता,12346,0.002695948696179291
टीम,14205,0.003101891400390963
थे.,40672,0.008881388738944122
लगी,4982,0.0010879002433472563
नही,1218,0.00026596999124788403
वजह,18397,0.0040172823719107735
आने,15204,0.0033200392010942765
असर,4145,0.0009051277616769124
कमी,2910,0.0006354455455922352
दिन,27294,0.0059600861585548
हेड,790,0.00017250927182744532
यही,7809,0.0017052213970892662
पाक,1576,0.0003441450789874099
भेज,4521,0.0009872334404201016
पास,22585,0.0049317998787631045
समय,21526,0.004700550108047579
मदद,9884,0.002158331193344898
गए.,15289,0.003338600325278242
थी.,54554,0.011912747867436015
ढेर,1569,0.0003426165158193186
वही,2686,0.0005865315242133141
बता,17614,0.00384630166325142
दें,14251,0.003111936244066991
मार,5886,0.0012853032581979027
तीन,18163,0.003966184688863151
घेर,913,0.00019936831035247794
जिस,9356,0.002043033857237441
खुश,2717,0.0005933008753862898
सेब,227,4.9569119879531756e-05
पाए,2320,0.0005066095071388267
