word,frequency,probability
के,1057030,0.045341674134390025
में,804779,0.034521278646963915
की,660338,0.02832543108005907
को,509093,0.02183772353679557
ने,448586,0.01924225446132038
है.,441560,0.018940871716773656
से,439000,0.018831059615145473
और,373063,0.016002668777232384
का,329899,0.014151133794935938
पर,311144,0.013346631464452901
कि,302135,0.012960187236496532
भी,211223,0.009060484977425677
है,200214,0.008588250045072292
हैं.,183008,0.007850192615144745
इस,175741,0.0075384720907181796
एक,173695,0.007450708200120029
कर,167026,0.007164639096308173
नहीं,150532,0.006457123157145965
लिए,141029,0.0060494886252035335
ही,126516,0.0054269483787465714
किया,105192,0.004512247888465565
बाद,101753,0.004364730772254892
हो,100558,0.0043134708263776736
कहा,100400,0.004306693360730309
साथ,94329,0.00404627567753316
तो,94261,0.004043358793583662
करने,88606,0.003800785576901093
पुलिस,85130,0.0036516813326590756
था.,83862,0.003597290026071366
गया,79283,0.0034008722083543933
रही,74429,0.0031926581687828303
रहे,72610,0.003114631523133742
यह,70945,0.0030432107617232246
हैं,69327,0.0029738060818660372
हुए,65699,0.002818181744089846
लेकिन,64905,0.00278412283444423
अपने,64859,0.0027821496482430988
उन्होंने,64576,0.0027700102635709206
सरकार,64406,0.002762718053697174
ये,63840,0.002738439284352818
रहा,62761,0.0026921551993306266
जा,59297,0.002543565699314991
दिया,59222,0.002540348547900103
पहले,58047,0.002489946509066855
तक,56693,0.0024318662021900737
फिल्म,55452,0.002378633070111724
थी.,54554,0.0023401130438374627
अब,49817,0.0021369177604731253
लोगों,49354,0.0021170572124052157
गई,47690,0.002045679346346897
दिल्ली,47421,0.002034140496605498
साल,45461,0.00195006560629642
वह,45196,0.0019386983379638151
कुछ,45184,0.001938183593737433
बात,44280,0.0018994061953499807
अपनी,43756,0.001876929030797962
इसके,43588,0.0018697226116286127
लेकर,43232,0.0018544518662459433
होने,42559,0.0018255832942163468
पार्टी,41866,0.00179585681514278
कई,41184,0.001766602184943397
थे.,40672,0.0017446397646177603
वाले,40064,0.0017185593904810667
जो,39674,0.0017018302031236482
बीजेपी,39538,0.001695996435224651
मोदी,39150,0.0016793530385716294
कोई,38705,0.001660264606843293
उनके,38695,0.0016598356533213078
मामले,38390,0.0016467525709007625
सिंह,37866,0.0016242754063487438
था,37761,0.0016197713943679004
दी,37697,0.0016170260918271957
कांग्रेस,37616,0.0016135515682991165
बताया,37442,0.0016060877770165758
वो,36423,0.001562377413126295
करते,35688,0.001530849329260391
भारत,35247,0.0015119324789408485
बार,34676,0.0014874392328355
उन्हें,34659,0.0014867100118481252
जब,34227,0.0014681792196983693
गए,33943,0.0014559969396739927
चुनाव,32534,0.0013955573884262935
गया.,32050,0.0013747960379622151
देश,31857,0.0013665172349879029
दौरान,31515,0.0013518470245360127
किसी,31278,0.001341680826064966
तरह,31201,0.001338377883945681
दो,30733,0.0013183028591167787
हुई,30444,0.0013059061023314095
