vyanjan,frequency,probability
क,2.0,0.0058823529411764705
ख,0.0,0.0
ग,1.0,0.0029411764705882353
घ,0.0,0.0
ङ,0.0,0.0
च,4.0,0.011764705882352941
छ,0.0,0.0
ज,1.0,0.0029411764705882353
झ,0.0,0.0
ञ,0.0,0.0
ट,1.0,0.0029411764705882353
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,7.0,0.020588235294117647
थ,13.0,0.03823529411764706
द,4.0,0.011764705882352941
ध,1.0,0.0029411764705882353
न,2.0,0.0058823529411764705
प,3.0,0.008823529411764706
फ,0.0,0.0
ब,1.0,0.0029411764705882353
भ,1.0,0.0029411764705882353
म,23.0,0.06764705882352941
य,2.0,0.0058823529411764705
र,216.0,0.6352941176470588
ल,20.0,0.058823529411764705
व,9.0,0.026470588235294117
श,14.0,0.041176470588235294
ष,0.0,0.0
स,15.0,0.04411764705882353
ह,0.0,0.0
