vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,1.0,0.02702702702702703
त,2.0,0.05405405405405406
थ,0.0,0.0
द,8.0,0.21621621621621623
ध,0.0,0.0
न,0.0,0.0
प,1.0,0.02702702702702703
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,13.0,0.35135135135135137
य,1.0,0.02702702702702703
र,1.0,0.02702702702702703
ल,1.0,0.02702702702702703
व,0.0,0.0
श,1.0,0.02702702702702703
ष,0.0,0.0
स,7.0,0.1891891891891892
ह,1.0,0.02702702702702703
