vyanjan,frequency,probability
क,3.0,0.01327433628318584
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,22.0,0.09734513274336283
छ,0.0,0.0
ज,1.0,0.004424778761061947
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,3.0,0.01327433628318584
त,63.0,0.27876106194690264
थ,0.0,0.0
द,13.0,0.05752212389380531
ध,1.0,0.004424778761061947
न,9.0,0.03982300884955752
प,5.0,0.022123893805309734
फ,1.0,0.004424778761061947
ब,2.0,0.008849557522123894
भ,3.0,0.01327433628318584
म,23.0,0.10176991150442478
य,9.0,0.03982300884955752
र,9.0,0.03982300884955752
ल,1.0,0.004424778761061947
व,38.0,0.168141592920354
श,4.0,0.017699115044247787
ष,0.0,0.0
स,15.0,0.06637168141592921
ह,1.0,0.004424778761061947
