vyanjan,frequency,probability
क,12.0,0.12371134020618557
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.010309278350515464
झ,0.0,0.0
ञ,3.0,0.030927835051546393
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,7.0,0.07216494845360824
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,15.0,0.15463917525773196
प,0.0,0.0
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,4.0,0.041237113402061855
य,6.0,0.061855670103092786
र,32.0,0.32989690721649484
ल,15.0,0.15463917525773196
व,0.0,0.0
श,0.0,0.0
ष,0.0,0.0
स,2.0,0.020618556701030927
ह,0.0,0.0
