vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,20.0,0.0970873786407767
घ,1.0,0.0048543689320388345
ङ,1.0,0.0048543689320388345
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,14.0,0.06796116504854369
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,72.0,0.34951456310679613
प,2.0,0.009708737864077669
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,9.0,0.043689320388349516
य,34.0,0.1650485436893204
र,6.0,0.02912621359223301
ल,3.0,0.014563106796116505
व,5.0,0.024271844660194174
श,3.0,0.014563106796116505
ष,0.0,0.0
स,31.0,0.15048543689320387
ह,5.0,0.024271844660194174
