vyanjan,frequency,probability
क,2.0,0.09090909090909091
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,2.0,0.09090909090909091
थ,0.0,0.0
द,3.0,0.13636363636363635
ध,0.0,0.0
न,0.0,0.0
प,1.0,0.045454545454545456
फ,0.0,0.0
ब,0.0,0.0
भ,1.0,0.045454545454545456
म,1.0,0.045454545454545456
य,2.0,0.09090909090909091
र,0.0,0.0
ल,0.0,0.0
व,1.0,0.045454545454545456
श,4.0,0.18181818181818182
ष,0.0,0.0
स,5.0,0.22727272727272727
ह,0.0,0.0
