vyanjan,frequency,probability
क,2.0,0.07142857142857142
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,1.0,0.03571428571428571
थ,0.0,0.0
द,1.0,0.03571428571428571
ध,1.0,0.03571428571428571
न,0.0,0.0
प,2.0,0.07142857142857142
फ,0.0,0.0
ब,0.0,0.0
भ,3.0,0.10714285714285714
म,5.0,0.17857142857142858
य,0.0,0.0
र,1.0,0.03571428571428571
ल,0.0,0.0
व,3.0,0.10714285714285714
श,3.0,0.10714285714285714
ष,0.0,0.0
स,6.0,0.21428571428571427
ह,0.0,0.0
