vyanjan,frequency,probability
क,11.0,0.1506849315068493
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.0136986301369863
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,3.0,0.0410958904109589
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,2.0,0.0273972602739726
प,3.0,0.0410958904109589
फ,0.0,0.0
ब,0.0,0.0
भ,2.0,0.0273972602739726
म,24.0,0.3287671232876712
य,2.0,0.0273972602739726
र,1.0,0.0136986301369863
ल,0.0,0.0
व,3.0,0.0410958904109589
श,8.0,0.1095890410958904
ष,0.0,0.0
स,13.0,0.1780821917808219
ह,0.0,0.0
