vyanjan,frequency,probability
क,8.0,0.038834951456310676
ख,0.0,0.0
ग,4.0,0.019417475728155338
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,5.0,0.024271844660194174
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,1.0,0.0048543689320388345
त,17.0,0.0825242718446602
थ,1.0,0.0048543689320388345
द,3.0,0.014563106796116505
ध,9.0,0.043689320388349516
न,34.0,0.1650485436893204
प,7.0,0.03398058252427184
फ,0.0,0.0
ब,1.0,0.0048543689320388345
भ,1.0,0.0048543689320388345
म,34.0,0.1650485436893204
य,9.0,0.043689320388349516
र,29.0,0.1407766990291262
ल,1.0,0.0048543689320388345
व,9.0,0.043689320388349516
श,7.0,0.03398058252427184
ष,0.0,0.0
स,19.0,0.09223300970873786
ह,7.0,0.03398058252427184
