vyanjan,frequency,probability
क,2.0,0.01652892561983471
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,1.0,0.008264462809917356
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,23.0,0.19008264462809918
प,1.0,0.008264462809917356
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,10.0,0.08264462809917356
य,18.0,0.1487603305785124
र,45.0,0.371900826446281
ल,0.0,0.0
व,11.0,0.09090909090909091
श,2.0,0.01652892561983471
ष,0.0,0.0
स,8.0,0.06611570247933884
ह,0.0,0.0
