vyanjan,frequency,probability
क,11.0,0.031791907514450865
ख,0.0,0.0
ग,3.0,0.008670520231213872
घ,3.0,0.008670520231213872
ङ,1.0,0.002890173410404624
च,7.0,0.02023121387283237
छ,0.0,0.0
ज,2.0,0.005780346820809248
झ,0.0,0.0
ञ,1.0,0.002890173410404624
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,14.0,0.04046242774566474
थ,1.0,0.002890173410404624
द,5.0,0.014450867052023121
ध,0.0,0.0
न,41.0,0.11849710982658959
प,10.0,0.028901734104046242
फ,0.0,0.0
ब,0.0,0.0
भ,6.0,0.017341040462427744
म,77.0,0.22254335260115607
य,24.0,0.06936416184971098
र,29.0,0.0838150289017341
ल,3.0,0.008670520231213872
व,29.0,0.0838150289017341
श,19.0,0.05491329479768786
ष,6.0,0.017341040462427744
स,49.0,0.1416184971098266
ह,5.0,0.014450867052023121
