vyanjan,frequency,probability
क,7.0,0.017721518987341773
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,2.0,0.005063291139240506
छ,0.0,0.0
ज,5.0,0.012658227848101266
झ,0.0,0.0
ञ,5.0,0.012658227848101266
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,9.0,0.02278481012658228
त,17.0,0.043037974683544304
थ,2.0,0.005063291139240506
द,30.0,0.0759493670886076
ध,2.0,0.005063291139240506
न,12.0,0.030379746835443037
प,7.0,0.017721518987341773
फ,0.0,0.0
ब,1.0,0.002531645569620253
भ,1.0,0.002531645569620253
म,20.0,0.05063291139240506
य,7.0,0.017721518987341773
र,180.0,0.45569620253164556
ल,5.0,0.012658227848101266
व,9.0,0.02278481012658228
श,50.0,0.12658227848101267
ष,0.0,0.0
स,18.0,0.04556962025316456
ह,6.0,0.015189873417721518
