vyanjan,frequency,probability
क,37.0,0.167420814479638
ख,0.0,0.0
ग,30.0,0.13574660633484162
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,12.0,0.05429864253393665
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,8.0,0.03619909502262444
थ,0.0,0.0
द,2.0,0.00904977375565611
ध,0.0,0.0
न,2.0,0.00904977375565611
प,3.0,0.013574660633484163
फ,1.0,0.004524886877828055
ब,0.0,0.0
भ,0.0,0.0
म,2.0,0.00904977375565611
य,23.0,0.10407239819004525
र,14.0,0.06334841628959276
ल,0.0,0.0
व,78.0,0.35294117647058826
श,1.0,0.004524886877828055
ष,0.0,0.0
स,8.0,0.03619909502262444
ह,0.0,0.0
