vyanjan,frequency,probability
क,38.0,0.039337474120082816
ख,0.0,0.0
ग,6.0,0.006211180124223602
घ,0.0,0.0
ङ,0.0,0.0
च,18.0,0.018633540372670808
छ,0.0,0.0
ज,14.0,0.014492753623188406
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,52.0,0.053830227743271224
त,68.0,0.07039337474120083
थ,0.0,0.0
द,46.0,0.047619047619047616
ध,32.0,0.033126293995859216
न,170.0,0.17598343685300208
प,33.0,0.034161490683229816
फ,12.0,0.012422360248447204
ब,10.0,0.010351966873706004
भ,19.0,0.019668737060041408
म,57.0,0.059006211180124224
य,68.0,0.07039337474120083
र,41.0,0.042443064182194616
ल,10.0,0.010351966873706004
व,54.0,0.055900621118012424
श,19.0,0.019668737060041408
ष,5.0,0.005175983436853002
स,96.0,0.09937888198757763
ह,98.0,0.10144927536231885
