vyanjan,frequency,probability
क,69.0,0.06628242074927954
ख,0.0,0.0
ग,10.0,0.009606147934678195
घ,0.0,0.0
ङ,0.0,0.0
च,17.0,0.01633045148895293
छ,0.0,0.0
ज,78.0,0.07492795389048991
झ,0.0,0.0
ञ,1.0,0.0009606147934678194
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,7.0,0.0067243035542747355
त,287.0,0.2756964457252642
थ,33.0,0.03170028818443804
द,57.0,0.05475504322766571
ध,3.0,0.002881844380403458
न,96.0,0.09221902017291066
प,17.0,0.01633045148895293
फ,1.0,0.0009606147934678194
ब,1.0,0.0009606147934678194
भ,10.0,0.009606147934678195
म,102.0,0.09798270893371758
य,48.0,0.04610951008645533
र,7.0,0.0067243035542747355
ल,2.0,0.0019212295869356388
व,40.0,0.03842459173871278
श,24.0,0.023054755043227664
ष,1.0,0.0009606147934678194
स,112.0,0.10758885686839577
ह,18.0,0.01729106628242075
