vyanjan,frequency,probability
क,58.0,0.07435897435897436
ख,0.0,0.0
ग,5.0,0.00641025641025641
घ,0.0,0.0
ङ,0.0,0.0
च,3.0,0.0038461538461538464
छ,0.0,0.0
ज,40.0,0.05128205128205128
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,32.0,0.041025641025641026
त,85.0,0.10897435897435898
थ,11.0,0.014102564102564103
द,36.0,0.046153846153846156
ध,4.0,0.005128205128205128
न,34.0,0.04358974358974359
प,23.0,0.029487179487179487
फ,0.0,0.0
ब,2.0,0.002564102564102564
भ,24.0,0.03076923076923077
म,121.0,0.15512820512820513
य,36.0,0.046153846153846156
र,3.0,0.0038461538461538464
ल,12.0,0.015384615384615385
व,63.0,0.08076923076923077
श,15.0,0.019230769230769232
ष,13.0,0.016666666666666666
स,72.0,0.09230769230769231
ह,88.0,0.11282051282051282
