vyanjan,frequency,probability
क,4.0,0.044444444444444446
ख,0.0,0.0
ग,1.0,0.011111111111111112
घ,3.0,0.03333333333333333
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,7.0,0.07777777777777778
थ,0.0,0.0
द,1.0,0.011111111111111112
ध,3.0,0.03333333333333333
न,2.0,0.022222222222222223
प,6.0,0.06666666666666667
फ,0.0,0.0
ब,4.0,0.044444444444444446
भ,15.0,0.16666666666666666
म,14.0,0.15555555555555556
य,12.0,0.13333333333333333
र,0.0,0.0
ल,1.0,0.011111111111111112
व,5.0,0.05555555555555555
श,0.0,0.0
ष,0.0,0.0
स,10.0,0.1111111111111111
ह,2.0,0.022222222222222223
