vyanjan,frequency,probability
क,41.0,0.06346749226006192
ख,0.0,0.0
ग,6.0,0.009287925696594427
घ,1.0,0.0015479876160990713
ङ,1.0,0.0015479876160990713
च,13.0,0.020123839009287926
छ,0.0,0.0
ज,18.0,0.02786377708978328
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,1.0,0.0015479876160990713
त,99.0,0.15325077399380804
थ,2.0,0.0030959752321981426
द,34.0,0.05263157894736842
ध,8.0,0.01238390092879257
न,55.0,0.08513931888544891
प,13.0,0.020123839009287926
फ,0.0,0.0
ब,2.0,0.0030959752321981426
भ,41.0,0.06346749226006192
म,67.0,0.10371517027863777
य,27.0,0.04179566563467492
र,95.0,0.14705882352941177
ल,11.0,0.017027863777089782
व,10.0,0.015479876160990712
श,30.0,0.04643962848297214
ष,2.0,0.0030959752321981426
स,63.0,0.09752321981424149
ह,6.0,0.009287925696594427
