vyanjan,frequency,probability
क,12.0,0.08275862068965517
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,5.0,0.034482758620689655
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.006896551724137931
झ,0.0,0.0
ञ,1.0,0.006896551724137931
ट,0.0,0.0
ठ,1.0,0.006896551724137931
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,11.0,0.07586206896551724
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,22.0,0.15172413793103448
प,0.0,0.0
फ,0.0,0.0
ब,5.0,0.034482758620689655
भ,1.0,0.006896551724137931
म,11.0,0.07586206896551724
य,26.0,0.1793103448275862
र,18.0,0.12413793103448276
ल,3.0,0.020689655172413793
व,7.0,0.04827586206896552
श,9.0,0.06206896551724138
ष,0.0,0.0
स,12.0,0.08275862068965517
ह,0.0,0.0
