vyanjan,frequency,probability
क,1.0,0.007575757575757576
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,2.0,0.015151515151515152
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,7.0,0.05303030303030303
त,20.0,0.15151515151515152
थ,0.0,0.0
द,0.0,0.0
ध,2.0,0.015151515151515152
न,6.0,0.045454545454545456
प,2.0,0.015151515151515152
फ,0.0,0.0
ब,1.0,0.007575757575757576
भ,9.0,0.06818181818181818
म,14.0,0.10606060606060606
य,29.0,0.2196969696969697
र,21.0,0.1590909090909091
ल,0.0,0.0
व,6.0,0.045454545454545456
श,3.0,0.022727272727272728
ष,1.0,0.007575757575757576
स,8.0,0.06060606060606061
ह,0.0,0.0
