vyanjan,frequency,probability
क,17.0,0.03386454183266932
ख,6.0,0.01195219123505976
ग,1.0,0.00199203187250996
घ,0.0,0.0
ङ,29.0,0.05776892430278884
च,5.0,0.0099601593625498
छ,0.0,0.0
ज,2.0,0.00398406374501992
झ,0.0,0.0
ञ,7.0,0.013944223107569721
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,59.0,0.11752988047808766
थ,0.0,0.0
द,25.0,0.049800796812749
ध,0.0,0.0
न,29.0,0.05776892430278884
प,4.0,0.00796812749003984
फ,0.0,0.0
ब,1.0,0.00199203187250996
भ,2.0,0.00398406374501992
म,109.0,0.21713147410358566
य,6.0,0.01195219123505976
र,168.0,0.3346613545816733
ल,0.0,0.0
व,7.0,0.013944223107569721
श,1.0,0.00199203187250996
ष,0.0,0.0
स,8.0,0.01593625498007968
ह,16.0,0.03187250996015936
