vyanjan,frequency,probability
क,1.0,0.005847953216374269
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,2.0,0.011695906432748537
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,23.0,0.13450292397660818
थ,0.0,0.0
द,3.0,0.017543859649122806
ध,0.0,0.0
न,21.0,0.12280701754385964
प,0.0,0.0
फ,0.0,0.0
ब,0.0,0.0
भ,3.0,0.017543859649122806
म,57.0,0.3333333333333333
य,4.0,0.023391812865497075
र,22.0,0.1286549707602339
ल,0.0,0.0
व,6.0,0.03508771929824561
श,1.0,0.005847953216374269
ष,0.0,0.0
स,28.0,0.16374269005847952
ह,0.0,0.0
