digram,frequency,probability
तु,24,0.07100591715976332
तव,4,0.011834319526627219
एव,19,0.05621301775147929
ये,15,0.04437869822485207
मम,15,0.04437869822485207
ते,38,0.11242603550295859
हि,38,0.11242603550295859
सह,2,0.005917159763313609
मे,50,0.14792899408284024
नो,5,0.014792899408284023
वा,18,0.05325443786982249
नु,2,0.005917159763313609
बत,1,0.0029585798816568047
तं,12,0.03550295857988166
मा,7,0.020710059171597635
तौ,1,0.0029585798816568047
कं,1,0.0029585798816568047
का,3,0.008875739644970414
सा,9,0.026627218934911243
यं,3,0.008875739644970414
वद,1,0.0029585798816568047
वः,1,0.0029585798816568047
वो,1,0.0029585798816568047
यो,14,0.04142011834319527
सः,7,0.020710059171597635
यः,18,0.05325443786982249
अथ,2,0.005917159763313609
एष,3,0.008875739644970414
इह,2,0.005917159763313609
खं,1,0.0029585798816568047
इव,1,0.0029585798816568047
खे,1,0.0029585798816568047
वर,1,0.0029585798816568047
भव,5,0.014792899408284023
को,1,0.0029585798816568047
हे,3,0.008875739644970414
के,1,0.0029585798816568047
मन,1,0.0029585798816568047
अत,1,0.0029585798816568047
तत,1,0.0029585798816568047
तप,2,0.005917159763313609
या,3,0.008875739644970414
