digram,frequency,probability
ृत,197,0.021511246997160952
ाष,11,0.0012011356191308146
ाच,94,0.010264249836208779
ेत,140,0.015287180607119458
ुर,150,0.016379122079056563
ुक,89,0.009718279100240227
ुय,6,0.0006551648831622625
ुत,76,0.008298755186721992
ाम,302,0.03297663245250054
ाः,151,0.01648831622625027
ाण,136,0.014850404018344617
ाश,97,0.01059183227778991
ैव,97,0.01059183227778991
िम,90,0.009827473247433938
ृष,59,0.006442454684428915
ान,635,0.06933828346800612
ीक,18,0.0019654946494867876
ूढ,23,0.0025114653854553396
ोध,22,0.0024022712382616293
ार,259,0.028281284123170998
ुप,44,0.0048045424765232585
ाज,46,0.005022930770910679
ीत,44,0.0048045424765232585
ैत,24,0.00262065953264905
ां,241,0.02631578947368421
ीं,10,0.0010919414719371041
ूम,6,0.0006551648831622625
ेण,23,0.0025114653854553396
िष,128,0.013976850840794933
ीम,15,0.0016379122079056563
ूर,33,0.003603406857392444
ेष,124,0.013540074252020091
ास,175,0.019108975758899322
ुन,91,0.009936667394627648
ुध,16,0.0017471063550993666
िर,165,0.01801703428696222
ाट,2,0.00021838829438742082
ुश,17,0.001856300502293077
ेक,29,0.0031666302686176023
ित,319,0.03483293295479362
ीर,47,0.0051321249181043894
ुज,10,0.0010919414719371041
िभ,45,0.004913736623716969
ोज,6,0.0006551648831622625
ैब,2,0.00021838829438742082
ुङ,4,0.00043677658877484165
िक,58,0.0063332605372352045
ौज,1,0.00010919414719371041
ौभ,2,0.00021838829438742082
ौप,3,0.00032758244158113123
ेय,62,0.006770037126010046
ाक,44,0.0048045424765232585
िश,64,0.006988425420397466
िब,13,0.0014195239135182355
िज,44,0.0048045424765232585
ोत,44,0.0048045424765232585
ाय,118,0.01288490936885783
ैन,13,0.0014195239135182355
ंज,27,0.0029482419742301812
ीष,14,0.0015287180607119458
ृप,8,0.0008735531775496833
िं,75,0.008189561039528281
ौम,4,0.00043677658877484165
िस,37,0.0040401834461672856
ीव,15,0.0016379122079056563
ुद,115,0.012557326927276699
ाप,133,0.014522821576763486
ाभ,38,0.004149377593360996
िद,146,0.01594234549028172
ाग,64,0.006988425420397466
ेव,134,0.014632015723957196
ुव,51,0.0055689015068792315
ृद,20,0.0021838829438742082
ंह,2,0.00021838829438742082
ाद,125,0.013649268399213802
िन,130,0.014195239135182355
ोच,16,0.0017471063550993666
ैः,22,0.0024022712382616293
ेर,10,0.0010919414719371041
