digram,frequency,probability
उव,33,0.07333333333333333
आच,5,0.011111111111111112
अत,5,0.011111111111111112
उत,7,0.015555555555555555
एव,39,0.08666666666666667
अस,14,0.03111111111111111
अश,7,0.015555555555555555
अन,34,0.07555555555555556
अप,15,0.03333333333333333
अय,5,0.011111111111111112
अथ,9,0.02
अर,22,0.04888888888888889
एत,20,0.044444444444444446
इम,7,0.015555555555555555
अध,15,0.03333333333333333
अह,19,0.042222222222222223
उप,10,0.022222222222222223
इष,3,0.006666666666666667
अव,13,0.028888888888888888
इत,20,0.044444444444444446
आग,1,0.0022222222222222222
उभ,4,0.008888888888888889
एन,2,0.0044444444444444444
अज,6,0.013333333333333334
अच,1,0.0022222222222222222
आश,4,0.008888888888888889
अक,4,0.008888888888888889
एष,5,0.011111111111111112
आत,10,0.022222222222222223
उद,6,0.013333333333333334
उच,10,0.022222222222222223
इन,13,0.028888888888888888
आस,8,0.017777777777777778
आप,1,0.0022222222222222222
अघ,1,0.0022222222222222222
आव,1,0.0022222222222222222
अभ,9,0.02
इह,4,0.008888888888888889
एक,7,0.015555555555555555
आद,2,0.0044444444444444444
आर,3,0.006666666666666667
ईक,1,0.0022222222222222222
इव,1,0.0022222222222222222
इच,2,0.0044444444444444444
ओम,1,0.0022222222222222222
आब,1,0.0022222222222222222
अग,1,0.0022222222222222222
इद,7,0.015555555555555555
ऋक,1,0.0022222222222222222
अम,4,0.008888888888888889
आह,4,0.008888888888888889
ऐर,1,0.0022222222222222222
आय,2,0.0044444444444444444
आख,1,0.0022222222222222222
ऋत,1,0.0022222222222222222
अद,3,0.006666666666666667
आध,1,0.0022222222222222222
ऊर,3,0.006666666666666667
ऋष,1,0.0022222222222222222
ईश,3,0.006666666666666667
ईह,1,0.0022222222222222222
आढ,1,0.0022222222222222222
अफ,3,0.006666666666666667
इज,2,0.0044444444444444444
