digram,frequency,probability
धृ,18,0.0008569796229289659
तर,55,0.002618548847838507
रा,275,0.013092744239192535
वा,449,0.02137688059417254
धर,45,0.002142449057322415
मक,38,0.0018091792039611502
षे,33,0.0015711293087031042
रे,81,0.0038564083031803467
कु,54,0.002570938868786898
रु,110,0.005237097695677014
सम,109,0.005189487716625404
मव,54,0.002570938868786898
वे,139,0.006617787088173681
ता,345,0.01642544277280518
यु,144,0.006855836983431727
सव,7,0.00033326985336126454
वः,27,0.001285469434393449
मा,468,0.022281470196153112
का,175,0.008331746334031612
पा,133,0.006332127213864026
डव,11,0.0005237097695677014
चै,50,0.0023804989525804607
कि,37,0.001761569224909541
वत,99,0.004713387926109313
सञ,7,0.00033326985336126454
जय,34,0.0016187392877547134
दृ,36,0.0017139592458579318
तु,116,0.0055227575699866695
नी,26,0.0012378594553418395
कं,22,0.0010474195391354027
यू,3,0.00014282993715482764
ढं,1,4.760997905160922e-05
दु,67,0.0031898685964578174
यो,261,0.012426204532470005
धन,23,0.001095029518187012
नस,49,0.0023328889735288517
तद,71,0.0033803085126642546
दा,116,0.0055227575699866695
चा,93,0.004427728051799657
यम,102,0.00485621786326414
मु,112,0.005332317653780233
पस,18,0.0008569796229289659
सङ,29,0.0013806893924966674
गम,23,0.001095029518187012
जा,73,0.003475528470767473
वच,13,0.0006189297276709198
चन,15,0.0007141496857741383
नम,77,0.00366596838697391
मब,10,0.00047609979051609216
रव,63,0.0029994286802513806
वी,26,0.0012378594553418395
पश,50,0.0023804989525804607
यै,23,0.001095029518187012
डु,1,4.760997905160922e-05
पु,87,0.0041420681774900015
णा,102,0.00485621786326414
मह,98,0.004665777947057703
हत,23,0.001095029518187012
ती,31,0.0014759093505998858
चम,4,0.00019043991620643687
मू,24,0.0011426394972386211
ढा,10,0.00047609979051609216
पद,30,0.0014282993715482766
दप,7,0.00033326985336126454
तव,45,0.002142449057322415
शि,32,0.001523519329651495
ये,153,0.00728432679489621
धी,14,0.0006665397067225291
मत,68,0.003237478575509427
शू,5,0.00023804989525804608
हे,32,0.001523519329651495
सा,132,0.006284517234812417
भी,15,0.0007141496857741383
जु,56,0.0026661588268901163
धि,122,0.005808417444296324
धा,93,0.004427728051799657
नो,64,0.00304703865930299
वि,417,0.019853361264521044
टश,3,0.00014282993715482764
दश,7,0.00033326985336126454
हा,73,0.003475528470767473
रथ,11,0.0005237097695677014
थः,8,0.00038087983241287375
टक,2,9.521995810321844e-05
के,52,0.002475718910683679
चे,36,0.0017139592458579318
नः,64,0.00304703865930299
जश,3,0.00014282993715482764
यव,40,0.0019043991620643686
जि,27,0.001285469434393449
ति,475,0.02261474004951438
भो,25,0.0011902494762902303
शै,2,9.521995810321844e-05
यश,24,0.0011426394972386211
नर,29,0.0013806893924966674
रप,23,0.001095029518187012
गव,38,0.0018091792039611502
मन,170,0.008093696438773567
तम,142,0.006760617025328509
मौ,10,0.00047609979051609216
सौ,9,0.00042848981146448295
भद,2,9.521995810321844e-05
रो,78,0.003713578366025519
रौ,4,0.00019043991620643687
दे,106,0.005046657779470577
या,464,0.022091030279946678
सर,168,0.007998476480670348
था,96,0.0045705579889544845
टा,16,0.0007617596648257475
नि,290,0.013806893924966673
बो,8,0.00038087983241287375
जो,15,0.0007141496857741383
ना,293,0.0139497238621215
यक,69,0.003285088554561036
मम,57,0.0027137688059417253
सै,3,0.00014282993715482764
यस,112,0.005332317653780233
सं,172,0.008188916396876786
ञा,135,0.006427347171967244
थं,23,0.001095029518187012
मि,175,0.008331746334031612
ते,440,0.020948390782708055
भव,78,0.003713578366025519
मश,19,0.0009045896019805751
कर,216,0.010283755475147592
णश,8,0.00038087983241287375
कृ,110,0.005237097695677014
यः,98,0.004665777947057703
मद,46,0.002190059036374024
दत,17,0.0008093696438773567
तथ,47,0.0022376690154256333
थै,9,0.00042848981146448295
बह,21,0.0009998095600837935
हव,6,0.0002856598743096553
दर,29,0.0013806893924966674
थे,12,0.0005713197486193106
तज,10,0.00047609979051609216
जी,14,0.0006665397067225291
शस,12,0.0005713197486193106
रह,88,0.004189678156541611
