trigram,frequency,probability
ृतर,2,0.00037016472330186933
ुरु,53,0.009809365167499537
ेता,14,0.002591153063113085
ुयु,3,0.000555247084952804
ामक,8,0.0014806588932074773
िमक,2,0.00037016472330186933
ानी,14,0.002591153063113085
ीकं,1,0.00018508236165093466
ूढं,1,0.00018508236165093466
ोधन,1,0.00018508236165093466
ुपस,4,0.0007403294466037387
ाजा,2,0.00037016472330186933
ैता,7,0.0012955765315565426
ुपु,1,0.00018508236165093466
ाणा,33,0.006107717934480844
ामा,22,0.0040718119563205625
ाचा,5,0.0009254118082546734
ूढा,10,0.0018508236165093468
ुपद,3,0.000555247084952804
ीमत,3,0.000555247084952804
ूरा,2,0.00037016472330186933
ासा,12,0.002220988339811216
ीमा,3,0.000555247084952804
ुनस,4,0.0007403294466037387
ुधि,2,0.00037016472330186933
ुधा,7,0.0012955765315565426
ानो,7,0.0012955765315565426
िरा,16,0.0029613177864149546
ाटश,2,0.00037016472330186933
ारथ,4,0.0007403294466037387
ेतु,6,0.001110494169905608
ेकि,1,0.00018508236165093466
िता,64,0.011845271145659819
ानः,6,0.001110494169905608
ाशि,7,0.0012955765315565426
ाजश,1,0.00018508236165093466
ुजि,1,0.00018508236165093466
िभो,1,0.00018508236165093466
ोजश,1,0.00018508236165093466
ामन,10,0.0018508236165093468
ौजा,1,0.00018508236165093466
ौभद,2,0.00037016472330186933
ौपद,2,0.00037016472330186933
ेया,7,0.0012955765315565426
ाकं,2,0.00037016472330186933
िशि,7,0.0012955765315565426
िबो,3,0.000555247084952804
िजो,1,0.00018508236165093466
ायक,2,0.00037016472330186933
ीमि,1,0.00018508236165093466
ृपश,1,0.00018508236165093466
िति,21,0.003886729594669628
िंज,1,0.00018508236165093466
ंजय,18,0.003331482509716824
िकर,4,0.0007403294466037387
ौमद,1,0.00018508236165093466
ीवि,3,0.000555247084952804
ाना,75,0.0138811771238201
ाशस,3,0.000555247084952804
िशा,6,0.001110494169905608
ारद,3,0.000555247084952804
ाभि,17,0.003146400148065889
िरक,3,0.000555247084952804
ितम,24,0.004441976679622432
िदम,6,0.001110494169905608
ेते,6,0.001110494169905608
ेषा,23,0.004256894317971497
ेषु,58,0.01073477697575421
ाभा,6,0.001110494169905608
ागम,5,0.0009254118082546734
ेवा,28,0.00518230612622617
ुवृ,1,0.00018508236165093466
ामह,25,0.004627059041273367
िंह,1,0.00018508236165093466
ंहन,1,0.00018508236165093466
ादं,3,0.000555247084952804
िनद,1,0.00018508236165093466
ापव,1,0.00018508236165093466
ानक,4,0.0007403294466037387
ोमु,5,0.0009254118082546734
ुखा,6,0.001110494169905608
ैवा,12,0.002220988339811216
ुमु,4,0.0007403294466037387
ुलो,2,0.00037016472330186933
ेतै,2,0.00037016472330186933
ितौ,3,0.000555247084952804
ाधव,1,0.00018508236165093466
ृषी,8,0.0014806588932074773
ीके,8,0.0014806588932074773
ेशो,5,0.0009254118082546734
ेवद,4,0.0007403294466037387
ाशङ,1,0.00018508236165093466
ीमक,1,0.00018508236165093466
ृको,1,0.00018508236165093466
ोदर,1,0.00018508236165093466
िजय,3,0.000555247084952804
ीपु,1,0.00018508236165093466
िरः,2,0.00037016472330186933
ुलः,1,0.00018508236165093466
ेवश,1,0.00018508236165093466
ुघो,1,0.00018508236165093466
ोषम,2,0.00037016472330186933
िपु,2,0.00037016472330186933
ासः,6,0.001110494169905608
िखण,1,0.00018508236165093466
ापर,9,0.001665741254858412
ाजि,3,0.000555247084952804
ितः,29,0.005367388487877105
ृथि,5,0.0009254118082546734
िवी,2,0.00037016472330186933
ीपत,2,0.00037016472330186933
ाबा,15,0.00277623542476402
ाहु,12,0.002220988339811216
ृथक,8,0.0014806588932074773
ोषो,2,0.00037016472330186933
ृदय,2,0.00037016472330186933
ानि,77,0.014251341847121969
ारय,9,0.001665741254858412
ुना,4,0.0007403294466037387
ादय,4,0.0007403294466037387
ाते,3,0.000555247084952804
ेशं,2,0.00037016472330186933
ेनय,4,0.0007403294466037387
ोरु,4,0.0007403294466037387
ुभय,5,0.0009254118082546734
ापय,3,0.000555247084952804
ावद,2,0.00037016472330186933
िरी,5,0.0009254118082546734
ुका,1,0.00018508236165093466
ानव,15,0.00277623542476402
ागत,3,0.000555247084952804
ियच,1,0.00018508236165093466
िकी,8,0.0014806588932074773
ुडा,4,0.0007403294466037387
ाके,5,0.0009254118082546734
ेशे,4,0.0007403294466037387
ारत,23,0.004256894317971497
ोणप,1,0.00018508236165093466
ुखत,1,0.00018508236165093466
ुरू,4,0.0007403294466037387
ूनि,3,0.000555247084952804
ापश,1,0.00018508236165093466
ातु,10,0.0018508236165093468
ुला,4,0.0007403294466037387
ींस,1,0.00018508236165093466
ुरा,17,0.003146400148065889
ुहृ,4,0.0007403294466037387
ृदश,1,0.00018508236165093466
ोरप,2,0.00037016472330186933
ूनव,1,0.00018508236165093466
ृपय,2,0.00037016472330186933
ावि,19,0.0035165648713677586
िषी,3,0.000555247084952804
ीदन,3,0.000555247084952804
ेमं,2,0.00037016472330186933
ेपथ,1,0.00018508236165093466
ीरे,2,0.00037016472330186933
ोमह,2,0.00037016472330186933
ायत,18,0.003331482509716824
ीवं,3,0.000555247084952804
ंसत,2,0.00037016472330186933
िदह,2,0.00037016472330186933
ेयो,6,0.001110494169905608
ुपश,4,0.0007403294466037387
ामि,45,0.00832870627429206
ाहव,1,0.00018508236165093466
ोवि,2,0.00037016472330186933
ोगै,4,0.0007403294466037387
िते,7,0.0012955765315565426
ामर,10,0.0018508236165093468
ितं,17,0.003146400148065889
ोगा,14,0.002591153063113085
ांस,20,0.0037016472330186935
ितर,4,0.0007403294466037387
ाला,8,0.0014806588932074773
िनस,3,0.000555247084952804
ुमि,9,0.001665741254858412
ुसू,5,0.0009254118082546734
ूदन,7,0.0012955765315565426
ैलो,1,0.00018508236165093466
ेतो,2,0.00037016472330186933
ीकृ,1,0.00018508236165093466
ृते,9,0.001665741254858412
ापम,6,0.001110494169905608
ेदस,2,0.00037016472330186933
ातत,1,0.00018508236165093466
ायि,3,0.000555247084952804
िनः,12,0.002220988339811216
ोभो,1,0.00018508236165093466
ोपह,2,0.00037016472330186933
ेतस,17,0.003146400148065889
ुलक,3,0.000555247084952804
ृतं,9,0.001665741254858412
ोषं,3,0.000555247084952804
ोहे,2,0.00037016472330186933
ातक,1,0.00018508236165093466
ेयम,2,0.00037016472330186933
ापा,9,0.001665741254858412
ादस,3,0.000555247084952804
िवर,15,0.00277623542476402
ितु,9,0.001665741254858412
ुलध,3,0.000555247084952804
ातन,8,0.0014806588932074773
ुलं,1,0.00018508236165093466
िभव,2,0.00037016472330186933
ुलस,2,0.00037016472330186933
ियः,14,0.002591153063113085
ीषु,1,0.00018508236165093466
ासु,15,0.00277623542476402
ायै,2,0.00037016472330186933
ुलघ,2,0.00037016472330186933
ोदक,2,0.00037016472330186933
िया,36,0.006662965019433648
ोषै,1,0.00018508236165093466
ैरे,3,0.000555247084952804
ारक,1,0.00018508236165093466
ाति,29,0.005367388487877105
िधर,1,0.00018508236165093466
ियत,19,0.0035165648713677586
ासो,1,0.00018508236165093466
ुशु,1,0.00018508236165093466
ापं,5,0.0009254118082546734
ुखल,1,0.00018508236165093466
ोभे,1,0.00018508236165093466
ामप,10,0.0018508236165093468
ीका,1,0.00018508236165093466
ारम,15,0.00277623542476402
ाणय,1,0.00018508236165093466
ेमत,1,0.00018508236165093466
ुनः,9,0.001665741254858412
ोपस,1,0.00018508236165093466
िशत,2,0.00037016472330186933
िसृ,4,0.0007403294466037387
ोकस,6,0.001110494169905608
ंवि,3,0.000555247084952804
ानस,19,0.0035165648713677586
ुपू,1,0.00018508236165093466
ाकु,1,0.00018508236165093466
ुले,3,0.000555247084952804
िदं,15,0.00277623542476402
ुवा,31,0.005737553211178975
ीभग,28,0.00518230612622617
ानु,53,0.009809365167499537
ुतस,3,0.000555247084952804
िषम,5,0.0009254118082546734
ैतत,1,0.00018508236165093466
ुपप,2,0.00037016472330186933
ोणं,2,0.00037016472330186933
ुभि,2,0.00037016472330186933
ियो,14,0.002591153063113085
ूजा,2,0.00037016472330186933
ावर,6,0.001110494169905608
िसू,3,0.000555247084952804
ूनह,1,0.00018508236165093466
ुभा,8,0.0014806588932074773
ावा,14,0.002591153063113085
ोके,11,0.0020359059781602813
िहै,1,0.00018508236165093466
ैतद,4,0.0007403294466037387
ीयो,1,0.00018508236165093466
ेयु,2,0.00037016472330186933
ाने,22,0.0040718119563205625
िजी,1,0.00018508236165093466
िषा,5,0.0009254118082546734
ावः,2,0.00037016472330186933
ूढच,1,0.00018508236165093466
ेयः,4,0.0007403294466037387
ूहि,2,0.00037016472330186933
ापन,4,0.0007403294466037387
ोकम,5,0.0009254118082546734
ोषण,1,0.00018508236165093466
ूमा,1,0.00018508236165093466
ावस,9,0.001665741254858412
ेशः,2,0.00037016472330186933
ानन,14,0.002591153063113085
ोचस,1,0.00018508236165093466
ादा,12,0.002220988339811216
ांश,10,0.0018508236165093468
ाषस,1,0.00018508236165093466
ासू,2,0.00037016472330186933
ूनग,1,0.00018508236165093466
ूंश,1,0.00018508236165093466
ुशो,3,0.000555247084952804
ोचन,1,0.00018508236165093466
ाहं,15,0.00277623542476402
ासं,6,0.001110494169905608
ेमे,1,0.00018508236165093466
ाधि,16,0.0029613177864149546
िपा,5,0.0009254118082546734
ामः,5,0.0009254118082546734
ेहि,8,0.0014806588932074773
िनो,10,0.0018508236165093468
ेहे,12,0.002220988339811216
ौमा,1,0.00018508236165093466
ारं,9,0.001665741254858412
ौवन,1,0.00018508236165093466
ेहा,3,0.000555247084952804
ीरस,5,0.0009254118082546734
ीतो,7,0.0012955765315565426
ुखद,6,0.001110494169905608
ुःख,28,0.00518230612622617
ःखद,2,0.00037016472330186933
ुषं,9,0.001665741254858412
ुषर,1,0.00018508236165093466
ःखस,5,0.0009254118082546734
ुखं,14,0.002591153063113085
ीरं,5,0.0009254118082546734
ृतत,1,0.00018508236165093466
ासत,12,0.002220988339811216
ावो,8,0.0014806588932074773
िभि,9,0.001665741254858412
िना,24,0.004441976679622432
ाशम,1,0.00018508236165093466
ुमर,9,0.001665741254858412
ीरि,1,0.00018508236165093466
िणः,4,0.0007403294466037387
ेयस,3,0.000555247084952804
ैनं,9,0.001665741254858412
िजा,16,0.0029613177864149546
ायं,10,0.0018508236165093468
ाचि,1,0.00018508236165093466
ूयः,7,0.0012955765315565426
ाणो,3,0.000555247084952804
ेदा,7,0.0012955765315565426
िनं,7,0.0012955765315565426
ुषः,8,0.0014806588932074773
ातय,2,0.00037016472330186933
ंसि,12,0.002220988339811216
िहा,7,0.0012955765315565426
ाणि,47,0.008698870997593929
ीरा,3,0.000555247084952804
ंया,2,0.00037016472330186933
ावक,3,0.000555247084952804
ेदय,2,0.00037016472330186933
ापो,2,0.00037016472330186933
ोषय,2,0.00037016472330186933
ारु,2,0.00037016472330186933
ुतः,2,0.00037016472330186933
ाणु,1,0.00018508236165093466
ुरच,1,0.00018508236165093466
िका,12,0.002220988339811216
ादे,5,0.0009254118082546734
ेवं,9,0.001665741254858412
िदि,3,0.000555247084952804
ोचि,4,0.0007403294466037387
ातं,3,0.000555247084952804
ृतम,20,0.0037016472330186935
ापि,14,0.002591153063113085
ाहो,16,0.0029613177864149546
ैवं,6,0.001110494169905608
ातस,4,0.0007403294466037387
ुवो,3,0.000555247084952804
ुवं,1,0.00018508236165093466
ृतस,3,0.000555247084952804
ादप,3,0.000555247084952804
ादी,7,0.0012955765315565426
ीनि,5,0.0009254118082546734
ूता,42,0.007773459189339256
िधन,2,0.00037016472330186933
िदे,5,0.0009254118082546734
ेवन,1,0.00018508236165093466
ैनम,1,0.00018508236165093466
ृणो,1,0.00018508236165093466
ोति,19,0.0035165648713677586
ेनं,5,0.0009254118082546734
ेही,3,0.000555247084952804
ावे,9,0.001665741254858412
िकम,4,0.0007403294466037387
ियस,4,0.0007403294466037387
ोपप,4,0.0007403294466037387
ावृ,15,0.00277623542476402
ुखि,1,0.00018508236165093466
ीदृ,3,0.000555247084952804
ृशम,2,0.00037016472330186933
िमं,7,0.0012955765315565426
ामं,5,0.0009254118082546734
ितस,3,0.000555247084952804
ाकी,2,0.00037016472330186933
ादत,2,0.00037016472330186933
िरि,3,0.000555247084952804
ादु,3,0.000555247084952804
ुपर,2,0.00037016472330186933
ुमत,1,0.00018508236165093466
ाघव,1,0.00018508236165093466
ाहि,4,0.0007403294466037387
ःखत,1,0.00018508236165093466
ृतन,1,0.00018508236165093466
ःखे,5,0.0009254118082546734
ाभौ,1,0.00018508236165093466
ाजय,1,0.00018508236165093466
िहि,4,0.0007403294466037387
ांख,7,0.0012955765315565426
ोगे,16,0.0029613177864149546
िमा,22,0.0040718119563205625
ृणु,14,0.002591153063113085
ाशो,3,0.000555247084952804
ायो,6,0.001110494169905608
ाया,11,0.0020359059781602813
िरे,6,0.001110494169905608
ेके,2,0.00037016472330186933
ुनन,3,0.000555247084952804
ुशा,2,0.00037016472330186933
ाखा,2,0.00037016472330186933
ाचं,1,0.00018508236165093466
िपश,2,0.00037016472330186933
ेदव,3,0.000555247084952804
ादर,2,0.00037016472330186933
ीति,7,0.0012955765315565426
ादि,22,0.0040718119563205625
िशे,2,0.00037016472330186933
ेषब,1,0.00018508236165093466
ापह,2,0.00037016472330186933
ृतच,1,0.00018508236165093466
ाधौ,1,0.00018508236165093466
िधी,5,0.0009254118082546734
ीयत,10,0.0018508236165093468
ैगु,2,0.00037016472330186933
िषय,9,0.001665741254858412
ोगक,2,0.00037016472330186933
ानर,2,0.00037016472330186933
ुतो,3,0.000555247084952804
ेदे,4,0.0007403294466037387
ानत,10,0.0018508236165093468
ारस,6,0.001110494169905608
ाचन,2,0.00037016472330186933
ोगस,8,0.0014806588932074773
ूरे,2,0.00037016472330186933
ृपण,1,0.00018508236165093466
ेतव,2,0.00037016472330186933
ियु,5,0.0009254118082546734
ाती,3,0.000555247084952804
ुकृ,4,0.0007403294466037387
ृतद,1,0.00018508236165093466
ोगः,2,0.00037016472330186933
ौशल,1,0.00018508236165093466
ीषि,4,0.0007403294466037387
िनि,9,0.001665741254858412
ामय,7,0.0012955765315565426
ोहक,1,0.00018508236165093466
िलं,2,0.00037016472330186933
ासि,10,0.0018508236165093468
ेदं,9,0.001665741254858412
ोतव,1,0.00018508236165093466
ुति,7,0.0012955765315565426
िवि,24,0.004441976679622432
िपन,2,0.00037016472330186933
ाधा,6,0.001110494169905608
ावच,2,0.00037016472330186933
ोगम,10,0.0018508236165093468
ितप,2,0.00037016472330186933
ाषा,1,0.00018508236165093466
ेशव,6,0.001110494169905608
ितध,2,0.00037016472330186933
