trigram,frequency,probability
उवा,33,0.11870503597122302
आचा,4,0.014388489208633094
अपर,5,0.017985611510791366
अयन,1,0.0035971223021582736
अनन,7,0.025179856115107913
एते,1,0.0035971223021582736
एवम,5,0.017985611510791366
इमे,2,0.007194244604316547
एता,5,0.017985611510791366
अपि,3,0.01079136690647482
अधर,2,0.007194244604316547
अहो,1,0.0035971223021582736
उपा,5,0.017985611510791366
अना,7,0.025179856115107913
इषु,1,0.0035971223021582736
अवा,2,0.007194244604316547
इति,12,0.04316546762589928
अशो,1,0.0035971223021582736
आगम,1,0.0035971223021582736
उभय,1,0.0035971223021582736
अवि,3,0.01079136690647482
एनं,1,0.0035971223021582736
उभौ,1,0.0035971223021582736
अजो,2,0.007194244604316547
एनम,1,0.0035971223021582736
अकी,1,0.0035971223021582736
एषा,2,0.007194244604316547
उदप,1,0.0035971223021582736
उभे,1,0.0035971223021582736
आसी,2,0.007194244604316547
आपू,1,0.0035971223021582736
अने,6,0.02158273381294964
एवं,10,0.03597122302158273
अघा,1,0.0035971223021582736
असक,4,0.014388489208633094
अहं,11,0.039568345323741004
अनि,4,0.014388489208633094
आवृ,1,0.0035971223021582736
एतै,2,0.007194244604316547
इमं,3,0.01079136690647482
एवा,3,0.01079136690647482
अकर,1,0.0035971223021582736
अपा,1,0.0035971223021582736
उपद,2,0.007194244604316547
एतय,1,0.0035971223021582736
एकम,1,0.0035971223021582736
एकं,1,0.0035971223021582736
अयु,2,0.007194244604316547
इहै,2,0.007194244604316547
अभि,2,0.007194244604316547
आरु,1,0.0035971223021582736
एका,1,0.0035971223021582736
उपव,1,0.0035971223021582736
उपै,1,0.0035971223021582736
एतस,1,0.0035971223021582736
असं,4,0.014388489208633094
अयत,1,0.0035971223021582736
एतन,1,0.0035971223021582736
अथव,2,0.007194244604316547
एतद,6,0.02158273381294964
इती,1,0.0035971223021582736
एवे,1,0.0035971223021582736
आसु,4,0.014388489208633094
एकभ,1,0.0035971223021582736
उदा,4,0.014388489208633094
एवै,1,0.0035971223021582736
अधि,6,0.02158273381294964
ओमि,1,0.0035971223021582736
एकय,1,0.0035971223021582736
इदं,4,0.014388489208633094
अवज,1,0.0035971223021582736
एकत,1,0.0035971223021582736
अमृ,1,0.0035971223021582736
अहम,5,0.017985611510791366
अहि,2,0.007194244604316547
इमा,2,0.007194244604316547
आहु,1,0.0035971223021582736
असि,1,0.0035971223021582736
आदि,1,0.0035971223021582736
ऐरा,1,0.0035971223021582736
आयु,2,0.007194244604316547
अपश,1,0.0035971223021582736
अमी,2,0.007194244604316547
ऋते,1,0.0035971223021582736
एतच,1,0.0035971223021582736
अजा,1,0.0035971223021582736
एको,1,0.0035971223021582736
अदृ,1,0.0035971223021582736
इदा,1,0.0035971223021582736
आधत,1,0.0035971223021582736
अथै,1,0.0035971223021582736
अनप,1,0.0035971223021582736
ऋषि,1,0.0035971223021582736
एतत,1,0.0035971223021582736
अमा,1,0.0035971223021582736
एतज,1,0.0035971223021582736
उभा,1,0.0035971223021582736
उपज,1,0.0035971223021582736
अधो,1,0.0035971223021582736
अधश,2,0.007194244604316547
अतो,1,0.0035971223021582736
अभय,1,0.0035971223021582736
असत,2,0.007194244604316547
आशा,1,0.0035971223021582736
ईहन,1,0.0035971223021582736
इदम,2,0.007194244604316547
असौ,1,0.0035971223021582736
आचर,1,0.0035971223021582736
अशा,1,0.0035971223021582736
आहा,3,0.01079136690647482
अफल,3,0.01079136690647482
अनु,2,0.007194244604316547
अदे,1,0.0035971223021582736
असद,1,0.0035971223021582736
अतत,1,0.0035971223021582736
अयथ,1,0.0035971223021582736
