trigram,frequency,probability
धृत,15,0.0010888501742160278
तरा,14,0.0010162601626016261
राष,7,0.0005081300813008131
वाच,67,0.0048635307781649244
षेत,20,0.0014518002322880372
कुर,30,0.0021777003484320556
रुक,2,0.00014518002322880372
समव,3,0.00021777003484320557
मवे,3,0.00021777003484320557
वेत,22,0.001596980255516841
युय,3,0.00021777003484320557
युत,12,0.0008710801393728223
सवः,2,0.00014518002322880372
माम,40,0.0029036004645760743
मका,8,0.0005807200929152149
काः,4,0.00029036004645760743
पाण,16,0.0011614401858304297
डवा,3,0.00021777003484320557
वाश,5,0.0003629500580720093
चैव,36,0.002613240418118467
किम,9,0.0006533101045296168
मकु,1,7.259001161440186e-05
दृष,18,0.0013066202090592336
वान,83,0.006024970963995354
नीक,1,7.259001161440186e-05
यूढ,2,0.00014518002322880372
दुर,18,0.0013066202090592336
योध,2,0.00014518002322880372
धनस,1,7.259001161440186e-05
तदा,11,0.0007984901277584205
चार,17,0.0012340301974448316
यमु,3,0.00021777003484320557
मुप,15,0.0010888501742160278
पसङ,1,7.259001161440186e-05
राज,35,0.002540650406504065
वचन,3,0.00021777003484320557
चनम,1,7.259001161440186e-05
नमब,1,7.259001161440186e-05
रवी,5,0.0003629500580720093
वीत,6,0.00043554006968641115
यैत,5,0.0003629500580720093
तां,19,0.0013792102206736353
डुप,1,7.259001161440186e-05
पुत,9,0.0006533101045296168
राण,36,0.002613240418118467
णाम,21,0.001524390243902439
माच,7,0.0005081300813008131
महत,6,0.00043554006968641115
हती,1,7.259001161440186e-05
तीं,1,7.259001161440186e-05
चमू,1,7.259001161440186e-05
मूम,1,7.259001161440186e-05
ढां,2,0.00014518002322880372
रुप,7,0.0005081300813008131
पदप,1,7.259001161440186e-05
दपु,1,7.259001161440186e-05
रेण,12,0.0008710801393728223
शिष,11,0.0007984901277584205
येण,2,0.00014518002322880372
धीम,2,0.00014518002322880372
मता,9,0.0006533101045296168
शूर,2,0.00014518002322880372
महे,5,0.0003629500580720093
हेष,2,0.00014518002322880372
वास,16,0.0011614401858304297
भीम,3,0.00021777003484320557
मार,10,0.0007259001161440186
जुन,48,0.003484320557491289
नसम,5,0.0003629500580720093
समा,26,0.0018873403019744484
युध,10,0.0007259001161440186
धान,17,0.0012340301974448316
विर,7,0.0005081300813008131
राट,2,0.00014518002322880372
पदश,1,7.259001161440186e-05
महा,35,0.002540650406504065
हार,14,0.0010162601626016261
रथः,3,0.00021777003484320557
धृष,2,0.00014518002322880372
टके,1,7.259001161440186e-05
केत,2,0.00014518002322880372
तुश,1,7.259001161440186e-05
चेक,1,7.259001161440186e-05
कित,1,7.259001161440186e-05
तान,89,0.006460511033681765
काश,12,0.0008710801393728223
शिर,4,0.00029036004645760743
वीर,6,0.00043554006968641115
यवा,5,0.0003629500580720093
पुर,40,0.0029036004645760743
रुज,1,7.259001161440186e-05
जित,19,0.0013792102206736353
कुन,2,0.00014518002322880372
तिभ,3,0.00021777003484320557
भोज,3,0.00021777003484320557
शैब,1,7.259001161440186e-05
नरप,1,7.259001161440186e-05
रपु,1,7.259001161440186e-05
पुङ,1,7.259001161440186e-05
गवः,1,7.259001161440186e-05
धाम,8,0.0005807200929152149
युश,2,0.00014518002322880372
विक,28,0.0020325203252032522
रान,15,0.0010888501742160278
तमौ,1,7.259001161440186e-05
मौज,1,7.259001161440186e-05
जाश,1,7.259001161440186e-05
सौभ,2,0.00014518002322880372
रौप,2,0.00014518002322880372
पदे,3,0.00021777003484320557
देय,3,0.00021777003484320557
याश,6,0.00043554006968641115
रथा,2,0.00014518002322880372
थाः,2,0.00014518002322880372
माक,4,0.00029036004645760743
विश,38,0.0027584204413472705
निब,13,0.0009436701509872242
बोध,5,0.0003629500580720093
विज,22,0.001596980255516841
जोत,1,7.259001161440186e-05
नाय,5,0.0003629500580720093
यका,2,0.00014518002322880372
सैन,1,7.259001161440186e-05
संज,16,0.0011614401858304297
ञार,2,0.00014518002322880372
वीम,3,0.00021777003484320557
भवा,15,0.0010888501742160278
भीष,7,0.0005081300813008131
कृप,4,0.00029036004645760743
समि,3,0.00021777003484320557
मित,22,0.001596980255516841
तिं,33,0.002395470383275261
जयः,4,0.00029036004645760743
थाम,2,0.00014518002322880372
सौम,3,0.00021777003484320557
मदत,1,7.259001161440186e-05
तिस,9,0.0006533101045296168
तथै,6,0.00043554006968641115
थैव,6,0.00043554006968641115
बहव,3,0.00021777003484320557
हवः,1,7.259001161440186e-05
मदर,5,0.0003629500580720093
तजी,1,7.259001161440186e-05
जीव,8,0.0005807200929152149
वित,28,0.0020325203252032522
