digram,frequency,probability
को,43,0.00667805559869545
हि,860,0.133561111973909
मे,528,0.08200031060723714
ये,103,0.015996272713154215
इव,168,0.026091007920484546
तं,468,0.07268209349277838
ते,694,0.10778071129057307
तु,925,0.14365584718123933
सह,229,0.03556452865351763
सा,323,0.05016306879950303
मम,332,0.05156080136667184
वै,134,0.020810684888957914
मा,78,0.012113682248796397
एव,49,0.007609877310141326
वा,379,0.05886007143966454
तौ,127,0.019723559558937724
यं,19,0.0029507687529119427
या,62,0.009628824351607392
दश,22,0.0034166796086348814
यो,59,0.009162913495884453
तव,174,0.027022829631930423
अथ,84,0.013045503960242273
ता,18,0.00279546513433763
वो,17,0.0026401615157633173
तो,1,0.00015530361857431278
भव,42,0.006522751980121136
के,3,0.00046591085572293835
एष,61,0.00947352073303308
इह,25,0.0038825904643578196
मथ,2,0.00031060723714862557
नो,42,0.006522751980121136
तप,7,0.0010871253300201895
वर,1,0.00015530361857431278
रत,2,0.00031060723714862557
का,17,0.0026401615157633173
कं,8,0.0012424289485945023
तत,48,0.007454573691567014
नौ,8,0.0012424289485945023
गत,3,0.00046591085572293835
पत,1,0.00015530361857431278
वस,2,0.00031060723714862557
वच,11,0.0017083398043174407
नु,61,0.00947352073303308
नः,27,0.004193197701506445
बत,15,0.002329554278614692
यौ,3,0.00046591085572293835
नव,9,0.001397732567168815
जन,1,0.00015530361857431278
एक,3,0.00046591085572293835
तम,3,0.00046591085572293835
चर,5,0.0007765180928715639
यत,1,0.00015530361857431278
यः,25,0.0038825904643578196
कः,9,0.001397732567168815
भर,1,0.00015530361857431278
हा,43,0.00667805559869545
भय,1,0.00015530361857431278
खं,4,0.0006212144742972511
भो,3,0.00046591085572293835
चे,2,0.00031060723714862557
वः,6,0.0009318217114458767
वन,2,0.00031060723714862557
नय,3,0.00046591085572293835
इत,2,0.00031060723714862557
तै,2,0.00031060723714862557
खर,1,0.00015530361857431278
कौ,5,0.0007765180928715639
भज,4,0.0006212144742972511
खे,4,0.0006212144742972511
गज,2,0.00031060723714862557
हर,1,0.00015530361857431278
दह,1,0.00015530361857431278
चा,1,0.00015530361857431278
चन,1,0.00015530361857431278
से,1,0.00015530361857431278
ति,1,0.00015530361857431278
सः,2,0.00031060723714862557
लभ,1,0.00015530361857431278
लल,1,0.00015530361857431278
रा,1,0.00015530361857431278
कि,1,0.00015530361857431278
ऐव,1,0.00015530361857431278
