digram,frequency,probability
ाध,800,0.004083299305839118
ाय,2475,0.012632707227439772
िर,3020,0.01541445487954267
ाग,1616,0.008248264597795018
िद,1646,0.008401388321763984
ां,6122,0.03124744793793385
ार,5580,0.028481012658227847
िप,1614,0.00823805634953042
ाल,1887,0.00963148223764802
ीक,570,0.0029093507554103716
ुन,1331,0.006793589220089833
ुङ,148,0.0007554103715802368
ोन,117,0.000597182523478971
िन,3162,0.016139240506329113
ाम,8653,0.04416598611678236
ोक,1281,0.006538383013474888
ुण,707,0.0036086157615353204
ान,10303,0.05258779093507554
ीर,1654,0.008442221314822376
ृत,3047,0.01555226623111474
ाक,2941,0.015011229073091057
ृढ,65,0.00033176806859942836
ित,8867,0.045258268681094324
ेण,1068,0.005451204573295222
ुक,1414,0.007217231523070641
ूत,661,0.003373826051449571
ेष,1886,0.00962637811351572
ैक,370,0.001888525928950592
िय,1347,0.0068752552062066145
ोध,473,0.0024142507145773783
ुत,3065,0.01564414046549612
िम,1520,0.007758268681094325
ूय,287,0.0014648836259697835
िभ,858,0.004379338505512454
ेव,1920,0.009799918334013884
ाश,2333,0.011907921600653328
ात,5387,0.02749591670069416
ोष,395,0.0020161290322580645
ंय,159,0.0008115557370355247
ुग,711,0.0036290322580645163
िच,695,0.0035473662719477336
ोत,691,0.003526949775418538
ुं,535,0.0027307064107799104
ौत,59,0.00030114332380563495
ूह,81,0.0004134340547162107
ुम,1869,0.00953960800326664
ंव,263,0.0013423846467946101
िध,714,0.003644344630461413
ैत,199,0.0010157207023274806
ेर,228,0.0011637403021641487
ृष,1466,0.007482645977950184
ीत,2116,0.010800326663944468
ुर,3574,0.01824213964883626
ैव,1105,0.0056400571661902816
ुद,1531,0.007814414046549612
ैर,1514,0.007727643936300531
ुव,1032,0.005267456104532462
ंश,725,0.0037004899959167006
ैश,559,0.0028532053899550836
ाव,2385,0.01217333605553287
ीम,1048,0.005349122090649245
िब,160,0.0008166598611678236
ुल,736,0.0037566353613719887
ंस,873,0.004455900367496938
ाब,543,0.0027715394038383013
ाह,1487,0.0075898325847284604
ीव,1071,0.0054665169456921195
ोर,612,0.0031237239689669255
ास,4151,0.021187219273172724
ूढ,53,0.0002705185790118416
ुब,133,0.0006788485095957534
ुस,625,0.003190077582686811
