digram,frequency,probability
आत,57,0.00888819585217527
एत,206,0.03212225167628255
इक,49,0.007640729767659442
आज,41,0.006393263683143614
इव,314,0.04896304381724622
आर,90,0.014033993450803056
अय,137,0.02136285669733354
इत,356,0.05551224076095431
अग,87,0.01356619366910962
ऋष,94,0.01465772649306097
अन,402,0.06268517074692032
आद,32,0.004989864338063309
उत,143,0.022298456260720412
अस,209,0.032590051457975985
अम,75,0.01169499454233588
अभ,229,0.035708716669265554
अश,93,0.014501793232496491
इद,109,0.016996725401528145
आप,38,0.005925463901450179
अक,48,0.007484796507094963
एव,437,0.06814283486667706
उप,168,0.02619678777483237
अथ,222,0.0346171838453142
उद,92,0.014345859971932013
ऋश,17,0.002650865429596133
अङ,62,0.009667862154997662
ऋक,21,0.0032745984718540464
एक,81,0.01263059410572275
आस,73,0.011383128021206923
अह,197,0.030718852331202244
आश,68,0.010603461718384532
आय,34,0.005301730859192266
उव,160,0.024949321690316544
इम,100,0.01559332605644784
उच,22,0.003430531732418525
इन,28,0.0043661312958053955
ऐर,5,0.000779666302822392
अञ,9,0.0014033993450803055
अष,9,0.0014033993450803055
ऋत,33,0.005145797598627788
ईद,14,0.0021830656479026977
अव,158,0.024637455169187587
ऊच,19,0.0029627319507250895
आन,46,0.0071729299859660065
इह,71,0.011071261500077966
अद,140,0.021830656479026978
और,5,0.000779666302822392
आग,50,0.00779666302822392
एह,7,0.0010915328239513489
अर,91,0.014189926711367535
आह,26,0.004054264774676439
अब,94,0.01465772649306097
ओढ,1,0.0001559332605644784
इष,20,0.003118665211289568
आव,39,0.0060813971620146574
ऐन,2,0.0003118665211289568
आच,24,0.0037423982535474817
उर,6,0.0009355995633868704
उक,17,0.002650865429596133
अध,57,0.00888819585217527
अत,112,0.017464525183221582
अप,224,0.034929050366443164
अज,28,0.0043661312958053955
इच,17,0.002650865429596133
ऊन,1,0.0001559332605644784
इय,35,0.0054576641197567445
एष,110,0.017152658662092625
ऊष,3,0.0004677997816934352
अल,50,0.00779666302822392
एन,8,0.0012474660845158273
ऐष,2,0.0003118665211289568
उभ,19,0.0029627319507250895
आक,26,0.004054264774676439
आम,20,0.003118665211289568
ऐक,2,0.0003118665211289568
ऊर,26,0.004054264774676439
ऋच,5,0.000779666302822392
उम,5,0.000779666302822392
उग,12,0.0018711991267737408
अं,5,0.000779666302822392
अच,28,0.0043661312958053955
आख,10,0.001559332605644784
ईश,2,0.0003118665211289568
उष,15,0.002338998908467176
अफ,4,0.0006237330422579137
ऊध,1,0.0001559332605644784
ओङ,1,0.0001559332605644784
औप,5,0.000779666302822392
ऊह,1,0.0001559332605644784
आभ,5,0.000779666302822392
आब,8,0.0012474660845158273
औद,3,0.0004677997816934352
एभ,4,0.0006237330422579137
ओष,4,0.0006237330422579137
ईर,1,0.0001559332605644784
उज,1,0.0001559332605644784
ऐश,10,0.001559332605644784
उञ,1,0.0001559332605644784
आल,5,0.000779666302822392
अअ,1,0.0001559332605644784
उन,11,0.0017152658662092624
ईष,3,0.0004677997816934352
ऐण,2,0.0003118665211289568
उध,1,0.0001559332605644784
अट,4,0.0006237330422579137
ऐल,2,0.0003118665211289568
इङ,5,0.000779666302822392
आञ,1,0.0001559332605644784
उट,1,0.0001559332605644784
आघ,1,0.0001559332605644784
ऐङ,1,0.0001559332605644784
अा,1,0.0001559332605644784
ऋण,3,0.0004677997816934352
आध,3,0.0004677997816934352
अख,2,0.0003118665211289568
उल,3,0.0004677997816934352
ऋज,2,0.0003118665211289568
औष,2,0.0003118665211289568
इं,1,0.0001559332605644784
ईप,1,0.0001559332605644784
आढ,1,0.0001559332605644784
औत,1,0.0001559332605644784
आष,1,0.0001559332605644784
ऋद,2,0.0003118665211289568
ईह,2,0.0003118665211289568
ऐव,1,0.0001559332605644784
अघ,1,0.0001559332605644784
