digram,frequency,probability
तप,840,0.0019271138029526137
पस,593,0.001360450577560595
वा,9894,0.022698647579063286
या,9299,0.021333608635305184
यन,1465,0.0033609782396733083
नि,5317,0.012198171536070293
रत,2472,0.005671220620117692
तं,2926,0.006712779746951604
वी,1777,0.004076763366484279
वि,7735,0.017745506268855318
दा,2330,0.00534544662009475
वर,2549,0.005847872718721681
रम,2988,0.006855019099074297
ना,6032,0.013838512451678768
रद,618,0.001417805155029423
दं,759,0.0017412849719536116
पर,2639,0.0060543491976094614
रि,4325,0.009922341902107208
पप,234,0.0005368388451082281
रच,182,0.0004175413239730663
मी,393,0.0009016139578099728
कि,848,0.0019454672677426386
मु,3014,0.006914667859641878
पु,2966,0.006804547070901728
गव,384,0.0008809663099211948
वम,1138,0.002610780366381041
को,551,0.0012640948874129644
वस,1459,0.0033472131410807898
मि,4287,0.009835162944354589
सा,3104,0.007121144338529658
लो,1042,0.0023905387889007423
के,959,0.002200121591704234
गु,655,0.001502689929683288
णव,176,0.0004037762253805476
कश,171,0.00039230530988678205
यव,730,0.0016747536620897714
धर,1435,0.003292152746710715
मज,513,0.0011769159296603463
ञश,31,7.111967606134645e-05
कृ,1892,0.004340594422840887
तज,106,0.00024318340846782982
सत,885,0.002030352042396504
यो,1739,0.0039895844087316605
दृ,1178,0.0027025476903311655
ढव,27,6.194294366633401e-05
चा,1670,0.0038312857749176962
रे,2262,0.005189442169379538
यु,1788,0.004101999380570563
तस,2907,0.006669190268075295
सर,2137,0.0049026692820353995
वभ,186,0.00042671805636807875
भू,1148,0.002633722197368572
ते,4817,0.011051079986693737
षु,915,0.002099177535359097
हि,2097,0.0048109019580852746
कस,493,0.001131032267685284
सम,2988,0.006855019099074297
मर,1048,0.0024043038874932607
थश,24,5.5060394370074674e-05
चै,581,0.0013329203803755577
कप,506,0.0011608566479690745
यद,844,0.001936290535347626
दर,982,0.0022528878029755553
शन,658,0.0015095724789795473
मव,577,0.0013237436479805454
जि,558,0.0012801541691042362
तक,400,0.0009176732395012446
रो,1804,0.004138706310150613
धो,212,0.00048636681693565965
ति,5716,0.013113550592472786
मा,8408,0.01928949149431616
नस,887,0.00203494040859401
सू,412,0.0009452034366862819
यक,574,0.001316861098684286
बि,181,0.0004152471408743132
यत,2766,0.006345710451151106
दे,1844,0.004230473634100737
जा,1926,0.004418596648198493
तर,1117,0.0025626025213072254
षस,1072,0.0024593642818633355
सं,1304,0.0029916147607740575
गे,337,0.0007731397042797986
तद,1370,0.0031430308452917626
दि,2088,0.004790254310196497
छा,216,0.0004955435493306721
यह,217,0.0004978377324294252
हं,823,0.0018881126902738107
तु,3776,0.00866283538089175
रं,1882,0.004317652591853356
कौ,277,0.0006354887183546119
तू,117,0.00026841942255411403
हल,70,0.0001605928169127178
लं,581,0.0013329203803755577
मे,2391,0.00548539178911869
मह,3587,0.00822923477522741
हर,910,0.0020877066198653313
षे,550,0.0012618007043142113
वं,1614,0.003702811521387522
थो,282,0.0006469596338483774
सि,1639,0.00376016609885635
ञा,560,0.0012847425353017423
धं,285,0.0006538421831446368
नर,1401,0.0032141505213531094
रु,3283,0.007531803113206465
तत,2735,0.00627459077508976
रल,92,0.00021106484508528627
कज,29,6.653130986384024e-05
ञो,123,0.00028218452114663273
दो,227,0.0005207795634169563
वच,935,0.002145061197334159
