ending,frequency,probability
,63,0.07473309608540925
यथाविधि,5,0.005931198102016607
च,66,0.07829181494661921
चेतसा,2,0.002372479240806643
वै,4,0.004744958481613286
भवानिति,1,0.0011862396204033216
रवौ,1,0.0011862396204033216
विना,4,0.004744958481613286
यथा,20,0.02372479240806643
तदा,8,0.009489916963226572
ह,18,0.021352313167259787
विनाशने,1,0.0011862396204033216
नय,1,0.0011862396204033216
मायया,2,0.002372479240806643
विनेदुषी,1,0.0011862396204033216
राघवे,4,0.004744958481613286
निवेदय,1,0.0011862396204033216
राजसूनुना,1,0.0011862396204033216
मम,11,0.013048635824436536
तथा,9,0.010676156583629894
नामतः,2,0.002372479240806643
मृगानपि,1,0.0011862396204033216
पृथिवीमपि,1,0.0011862396204033216
ये,1,0.0011862396204033216
तव,6,0.0071174377224199285
पुरा,3,0.0035587188612099642
महाबलौ,1,0.0011862396204033216
सह,10,0.011862396204033215
कौशिक,1,0.0011862396204033216
मुने,1,0.0011862396204033216
तौ,1,0.0011862396204033216
राघव,13,0.01542111506524318
मे,17,0.020166073546856466
धीमता,2,0.002372479240806643
नृप,2,0.002372479240806643
देवलोकजिगीषया,1,0.0011862396204033216
नराधिप,1,0.0011862396204033216
ददौ,1,0.0011862396204033216
इमे,1,0.0011862396204033216
बहु,2,0.002372479240806643
विषीदति,1,0.0011862396204033216
पुनः,9,0.010676156583629894
सुरासुरैः,1,0.0011862396204033216
शचीपतेः,1,0.0011862396204033216
इवांशुभिः,1,0.0011862396204033216
मेदिनी,1,0.0011862396204033216
जीवति,1,0.0011862396204033216
नृपः,2,0.002372479240806643
नृपाः,1,0.0011862396204033216
मानदैः,1,0.0011862396204033216
महीपतेः,1,0.0011862396204033216
नराधिपः,2,0.002372479240806643
राघवः,12,0.014234875444839857
पितुः,5,0.005931198102016607
रविः,1,0.0011862396204033216
समाचर,1,0.0011862396204033216
राजसे,1,0.0011862396204033216
ते,6,0.0071174377224199285
गते,1,0.0011862396204033216
मुखे,1,0.0011862396204033216
नभः,1,0.0011862396204033216
वशी,1,0.0011862396204033216
निशाकरः,1,0.0011862396204033216
कदाचन,1,0.0011862396204033216
पांसुषु,1,0.0011862396204033216
भामिनी,3,0.0035587188612099642
शपे,1,0.0011862396204033216
वचः,8,0.009489916963226572
तापसः,1,0.0011862396204033216
वा,6,0.0071174377224199285
चेतना,2,0.002372479240806643
मनुजाधिप,1,0.0011862396204033216
वने,3,0.0035587188612099642
