ngram,frequency,probability
।।,27537,0.02327484124643
ं ,24614,0.02080426126446701
्य,23901,0.020201618935647436
्र,22394,0.01892787140474828
त्,19821,0.016753118652921124
स्,17716,0.014973929168818458
र्,16542,0.013981640116877112
्त,15527,0.01312374114948319
न्,14063,0.011886338106857866
्व,13405,0.011330182914202496
रा,12764,0.010788396472725151
ा ,12687,0.010723314482095268
 स,11230,0.009491827984072661
 प,10534,0.008903554406431115
ान,10303,0.008708308434541463
क्,10217,0.008635619457993801
 व,9912,0.008377827157446859
वा,9894,0.008362613185611302
या,9299,0.007859706894380382
ता,9251,0.007819136302818896
प्,9115,0.007704186293394685
म्,8962,0.007574867532792448
ित,8867,0.007494571570327007
ाम,8653,0.007313694349615383
श्,8453,0.007144650218109191
मा,8408,0.007106615288520297
 म,8319,0.007031390650000042
्।,8150,0.00688854835887731
ि ,8122,0.006864882180466443
 त,8071,0.006821775926932365
वि,7735,0.006537781786001963
ः।,7574,0.006401701260139479
ष्,7513,0.0063501428000300895
े ,7286,0.006158277710770562
्म,7182,0.006070374762387342
द्,6849,0.005788916283429533
्ष,6614,0.005590289428909758
य ,6584,0.005564932809183829
 क,6527,0.005516755231704565
 र,6308,0.005331651907705285
ां,6122,0.0051744408654045265
ना,6032,0.0050983710062267405
ो ,5842,0.004937779081295859
ति,5716,0.004831281278446958
ार,5580,0.0047163312690227475
 च,5396,0.004560810668037051
 न,5391,0.004556584564749396
ात,5387,0.004553203682119272
नि,5317,0.004494038236092106
च ,5048,0.004266673879216277
ते,4817,0.004071427907326626
 द,4768,0.00403001209510761
्च,4480,0.0037865885457386934
्स,4463,0.003772219794560667
ः ,4378,0.0037003760386705355
रि,4325,0.003655579343821395
मि,4287,0.0036234609588352185
ास,4151,0.003508510949411008
का,4074,0.003443428958781124
न ,3871,0.00327184916530234
तु,3776,0.0031915532028368985
 श,3609,0.0030504013530292286
मह,3587,0.0030318064985635474
ुर,3574,0.003020818630015645
 भ,3362,0.002841631850619082
हा,3328,0.0028128943482630293
रु,3283,0.0027748594186741363
िन,3162,0.00267258771911289
सु,3132,0.0026472310993869617
्न,3126,0.0026421597754417757
सा,3104,0.0026235649209760945
ु ,3076,0.002599898742565228
व ,3073,0.002597363080592635
 ह,3068,0.0025931369773049802
ुत,3065,0.002590601315332387
ृत,3047,0.00257538734349683
िर,3020,0.002552566385743494
मु,3014,0.0025474950617983085
िव,3014,0.0025474950617983085
ेन,3003,0.0025381976345654677
रम,2988,0.0025255193247025035
सम,2988,0.0025255193247025035
पु,2966,0.0025069244702368224
ाक,2941,0.0024857939537985484
िष,2939,0.0024841035124834863
तं,2926,0.0024731156439355842
तस,2907,0.002457056451442496
मन,2891,0.0024435329209220005
्द,2836,0.002397045784757798
्ध,2832,0.002393664902127674
तम,2822,0.0023852126955523642
 य,2772,0.0023429516626758164
यत,2766,0.002337880338730631
तत,2735,0.002311678498347171
ाद,2694,0.002277024451388402
ा।,2656,0.0022449060664022254
पर,2639,0.002230537315224199
्प,2595,0.0021933476062928367
ाप,2585,0.0021848953997175274
पा,2578,0.0021789788551148104
यं,2575,0.0021764431931422176
वर,2549,0.0021544674560464126
्थ,2546,0.00215193179407382
पि,2519,0.002129110836320484
ाय,2475,0.002091921127389122
भि,2475,0.002091921127389122
रत,2472,0.002089385465416529
ाज,2447,0.002068254948978255
था,2421,0.00204627921188245
्ट,2391,0.0020209225921565214
मे,2391,0.0020209225921565214
ाव,2385,0.0020158512682113354
तो,2384,0.002015006047553805
तः,2336,0.0019744354559923186
वे,2336,0.0019744354559923186
ाश,2333,0.001971899794019726
दा,2330,0.0019693641320471327
ाः,2300,0.001944007512321204
ज्,2291,0.0019364005264034254
