pattern,frequency,probability
VVV,22986,0.11375265996931756
VVM,43871,0.2171079328945415
VVS,2,9.89756025139803e-06
VMV,106451,0.5268025931607858
VMM,2349,0.011624684515266987
VMS,4,1.979512050279606e-05
VSV,5,2.4743900628495074e-05
VSM,0,0.0
VSS,0,0.0
MVV,9721,0.04810709160192013
MVM,13393,0.06627901222348691
MVS,0,0.0
MMV,324,0.0016034047607264808
MMM,0,0.0
MMS,0,0.0
MSV,2,9.89756025139803e-06
MSM,0,0.0
MSS,0,0.0
SVV,1264,0.006255258078883556
SVM,1691,0.008368387192557034
SVS,0,0.0
SMV,6,2.969268075419409e-05
SMM,0,0.0
SMS,0,0.0
SSV,1,4.948780125699015e-06
SSM,0,0.0
SSS,0,0.0
