triagram,frequency,probability
परं,46,0.00773369199731002
नाम,204,0.03429724277067922
वशी,2,0.0003362474781439139
रतः,1,0.00016812373907195696
वनं,104,0.017484868863483525
यथा,242,0.04068594485541358
वने,91,0.015299260255548083
गते,36,0.00605245460659045
इति,153,0.025722932078009415
ततो,251,0.042199058507061196
तथा,199,0.033456624075319435
तेन,128,0.02151983860121049
चैव,216,0.0363147276395427
तदा,185,0.031102891728312036
बलं,41,0.006893073301950235
नलं,1,0.00016812373907195696
सती,5,0.0008406186953597848
वरं,21,0.0035305985205110963
ययौ,16,0.0026899798251513113
भयं,42,0.0070611970410221925
धनं,16,0.0026899798251513113
इदं,57,0.009583053127101547
मया,284,0.04774714189643578
कथय,4,0.0006724949562878278
यदि,192,0.03227975790181574
वधं,17,0.0028581035642232682
अहो,25,0.004203093476798924
एवं,122,0.02051109616677875
इमौ,6,0.0010087424344317419
येन,69,0.01160053799596503
तां,231,0.038836583725622056
वयं,48,0.008069939475453935
किं,164,0.02757229320780094
शंस,15,0.0025218560860793544
सुत,3,0.0005043712172158709
फलं,11,0.0018493611297915266
गतो,25,0.004203093476798924
बहु,13,0.0021856086079354406
हयं,2,0.0003362474781439139
वपा,1,0.00016812373907195696
भाग,1,0.00016812373907195696
ददौ,37,0.006220578345662408
वरो,8,0.0013449899125756557
जहि,15,0.0025218560860793544
किल,25,0.004203093476798924
देव,22,0.003698722259583053
वधे,11,0.0018493611297915266
वधो,8,0.0013449899125756557
नरं,6,0.0010087424344317419
अथो,3,0.0005043712172158709
कलं,2,0.0003362474781439139
यदा,35,0.005884330867518494
मां,311,0.052286482851378616
अपि,30,0.005043712172158709
हतौ,2,0.0003362474781439139
अहं,64,0.010759919300605245
इमे,18,0.003026227303295225
कथं,131,0.02202420981842636
नैव,29,0.0048755884330867515
जया,2,0.0003362474781439139
शतं,15,0.0025218560860793544
ववौ,3,0.0005043712172158709
राम,238,0.04001344989912576
समो,8,0.0013449899125756557
पथि,23,0.00386684599865501
जलं,12,0.0020174848688634837
हतं,14,0.0023537323470073975
एतौ,5,0.0008406186953597848
मलं,2,0.0003362474781439139
शृण,1,0.00016812373907195696
जयं,3,0.0005043712172158709
रजो,1,0.00016812373907195696
करौ,1,0.00016812373907195696
गता,17,0.0028581035642232682
अलं,6,0.0010087424344317419
वीर,97,0.016308002689979825
गदे,1,0.00016812373907195696
ततः,148,0.02488231338264963
वरय,2,0.0003362474781439139
मतो,4,0.0006724949562878278
वरद,4,0.0006724949562878278
अयं,40,0.006724949562878279
तात,69,0.01160053799596503
मखे,1,0.00016812373907195696
एषा,15,0.0025218560860793544
नदी,9,0.0015131136516476126
चलं,2,0.0003362474781439139
तपो,8,0.0013449899125756557
केन,26,0.004371217215870881
नभो,4,0.0006724949562878278
पथा,5,0.0008406186953597848
एते,19,0.003194351042367182
पथो,2,0.0003362474781439139
शैल,4,0.0006724949562878278
तेज,3,0.0005043712172158709
एका,2,0.0003362474781439139
एको,4,0.0006724949562878278
जले,8,0.0013449899125756557
मते,4,0.0006724949562878278
खनत,2,0.0003362474781439139
मही,13,0.0021856086079354406
इयं,22,0.003698722259583053
हरो,1,0.00016812373907195696
यतो,4,0.0006724949562878278
तलं,1,0.00016812373907195696
नैष,2,0.0003362474781439139
रसं,2,0.0003362474781439139
गतं,10,0.0016812373907195697
गां,6,0.0010087424344317419
चेह,8,0.0013449899125756557
तया,26,0.004371217215870881
चाह,4,0.0006724949562878278
वचो,22,0.003698722259583053
सृज,1,0.00016812373907195696
भूय,3,0.0005043712172158709
सदा,30,0.005043712172158709
मूढ,1,0.00016812373907195696
पशौ,1,0.00016812373907195696
लभे,2,0.0003362474781439139
मयि,59,0.00991930060524546
धनु,1,0.00016812373907195696
नरा,12,0.0020174848688634837
जने,2,0.0003362474781439139
