trigram,frequency,probability
एतद,40,0.009507962918944617
आजा,3,0.0007130972189208462
इवा,98,0.02329450915141431
अया,5,0.001188495364868077
इति,184,0.043736629427145235
अगस,20,0.004753981459472308
ऋषय,15,0.0035654860946042312
ऋषी,19,0.004516282386498692
अना,37,0.00879486570002377
आदि,24,0.0057047777513667694
अनु,107,0.025433800808176848
अमृ,12,0.0028523888756833847
अभि,157,0.03731875445685762
अयो,51,0.012122652721654385
असं,17,0.004040884240551462
इदं,84,0.019966722129783693
आपृ,11,0.002614689802709769
अकर,6,0.0014261944378416924
इदम,13,0.0030900879486570002
एवम,230,0.054670786783931544
ऋषे,9,0.0021392916567625386
उपव,26,0.0061801758973140004
आजग,19,0.004516282386498692
अथो,17,0.004040884240551462
उदा,9,0.0021392916567625386
उपस,28,0.0066555740432612314
अनस,10,0.002376990729736154
एकस,11,0.002614689802709769
आपा,5,0.001188495364868077
अशो,29,0.0068932731162348465
अगृ,2,0.0004753981459472308
आसी,19,0.004516282386498692
अहो,40,0.009507962918944617
एवं,146,0.03470406465414785
आयु,11,0.002614689802709769
उपो,6,0.0014261944378416924
उवा,159,0.03779415260280485
इमौ,6,0.0014261944378416924
आयत,10,0.002376990729736154
ऋषि,39,0.009270263845971
उदि,3,0.0007130972189208462
ऐरा,5,0.001188495364868077
अहि,4,0.0009507962918944616
ईदृ,14,0.0033277870216306157
उपप,10,0.002376990729736154
अवे,16,0.0038031851675778463
ऊचु,16,0.0038031851675778463
अमा,14,0.0033277870216306157
एतच,19,0.004516282386498692
एतस,18,0.004278583313525077
आना,2,0.0004753981459472308
इहा,17,0.004040884240551462
आने,6,0.0014261944378416924
आनी,5,0.001188495364868077
उपा,40,0.009507962918944617
अनभ,3,0.0007130972189208462
अदृ,27,0.0064178749702876155
औरस,3,0.0007130972189208462
आगत,18,0.004278583313525077
अनप,4,0.0009507962918944616
आहर,4,0.0009507962918944616
आसा,13,0.0030900879486570002
ओढव,1,0.0002376990729736154
उपक,9,0.0021392916567625386
आवा,11,0.002614689802709769
अवज,5,0.001188495364868077
उपय,3,0.0007130972189208462
अनि,14,0.0033277870216306157
एवै,2,0.0004753981459472308
एकव,10,0.002376990729736154
उरग,1,0.0002376990729736154
अवस,8,0.0019015925837889231
अथर,2,0.0004753981459472308
अति,36,0.008557166627050155
अवध,11,0.002614689802709769
अयज,1,0.0002376990729736154
अजा,9,0.0021392916567625386
ऋतू,2,0.0004753981459472308
अती,11,0.002614689802709769
अदद,2,0.0004753981459472308
अपि,58,0.013786546232469693
अहं,109,0.02590919895412408
ऊनष,1,0.0002376990729736154
इयम,6,0.0014261944378416924
अनय,9,0.0021392916567625386
इमे,23,0.005467078678393154
अहम,32,0.007606370335155693
एषो,5,0.001188495364868077
अपू,5,0.001188495364868077
ऊषु,2,0.0004753981459472308
ऊचत,3,0.0007130972189208462
अवद,4,0.0009507962918944616
अशर,3,0.0007130972189208462
अनङ,1,0.0002376990729736154
आरो,16,0.0038031851675778463
अरि,7,0.0016638935108153079
अवि,19,0.004516282386498692
एतौ,6,0.0014261944378416924
एतत,31,0.0073686712621820775
आपत,5,0.001188495364868077
एना,5,0.001188495364868077
अधर,13,0.0030900879486570002
एतै,8,0.0019015925837889231
अवा,17,0.004040884240551462
अलं,11,0.002614689802709769
ऐषी,2,0.0004753981459472308
उभे,3,0.0007130972189208462
अशन,2,0.0004753981459472308
असि,6,0.0014261944378416924
एता,28,0.0066555740432612314
उपत,7,0.0016638935108153079
असम,11,0.002614689802709769
इतस,6,0.0014261944378416924
अदि,11,0.002614689802709769
इवौ,2,0.0004753981459472308
अयं,49,0.011647254575707155
एतम,3,0.0007130972189208462
आका,13,0.0030900879486570002
आगम,18,0.004278583313525077
इमा,53,0.012598050867601617
ऊषत,1,0.0002376990729736154
आया,4,0.0009507962918944616
आमन,11,0.002614689802709769
अधू,2,0.0004753981459472308
एषा,21,0.004991680532445923
एते,37,0.00879486570002377
आमो,1,0.0002376990729736154
अमर,9,0.0021392916567625386
अपह,3,0.0007130972189208462
अशु,6,0.0014261944378416924
ऐकम,1,0.0002376990729736154
अलङ,10,0.002376990729736154
अपत,6,0.0014261944378416924
अपु,2,0.0004753981459472308
ऋची,5,0.001188495364868077
उमा,5,0.001188495364868077
अवन,3,0.0007130972189208462
आति,8,0.0019015925837889231
अशक,12,0.0028523888756833847
अथा,39,0.009270263845971
अजय,1,0.0002376990729736154
एका,17,0.004040884240551462
अपर,18,0.004278583313525077
एको,9,0.0021392916567625386
अंश,4,0.0009507962918944616
एकै,4,0.0009507962918944616
आसम,1,0.0002376990729736154
अकृ,6,0.0014261944378416924
अगत,2,0.0004753981459472308
इयं,28,0.0066555740432612314
अचि,21,0.004991680532445923
अने,43,0.010221060137865463
अजर,1,0.0002376990729736154
असङ,5,0.001188495364868077
असु,8,0.0019015925837889231
उदत,3,0.0007130972189208462
एकत,2,0.0004753981459472308
अवश,20,0.004753981459472308
अलम,8,0.0019015925837889231
आवस,1,0.0002376990729736154
ऋतु,3,0.0007130972189208462
इमम,4,0.0009507962918944616
अफल,4,0.0009507962918944616
अहल,2,0.0004753981459472308
आसन,12,0.0028523888756833847
आजु,2,0.0004753981459472308
अदो,1,0.0002376990729736154
एवा,9,0.0021392916567625386
ऊधस,1,0.0002376990729736154
इवो,26,0.0061801758973140004
उपर,10,0.002376990729736154
उदी,4,0.0009507962918944616
अमो,6,0.0014261944378416924
एके,5,0.001188495364868077
अवम,3,0.0007130972189208462
आयस,5,0.001188495364868077
अनव,3,0.0007130972189208462
अनृ,11,0.002614689802709769
आनय,20,0.004753981459472308
अयम,12,0.0028523888756833847
अरक,1,0.0002376990729736154
अका,10,0.002376990729736154
अथव,38,0.009032564772997385
आवि,11,0.002614689802709769
अवी,1,0.0002376990729736154
औपक,1,0.0002376990729736154
अनर,13,0.0030900879486570002
उदप,3,0.0007130972189208462
उभय,5,0.001188495364868077
उभौ,7,0.0016638935108153079
अलञ,1,0.0002376990729736154
ऊहु,1,0.0002376990729736154
आशी,8,0.0019015925837889231
असौ,8,0.0019015925837889231
अधि,18,0.004278583313525077
अरो,5,0.001188495364868077
आयक,1,0.0002376990729736154
आशं,4,0.0009507962918944616
अहत,6,0.0014261944378416924
आबध,3,0.0007130972189208462
अवत,9,0.0021392916567625386
आरु,16,0.0038031851675778463
अतो,12,0.0028523888756833847
अतस,3,0.0007130972189208462
अवष,6,0.0014261944378416924
आवे,2,0.0004753981459472308
एकय,2,0.0004753981459472308
आचच,9,0.0021392916567625386
एकम,3,0.0007130972189208462
एतन,8,0.0019015925837889231
अरे,1,0.0002376990729736154
असा,2,0.0004753981459472308
अगच,2,0.0004753981459472308
अपव,4,0.0009507962918944616
उरस,4,0.0009507962918944616
अधस,2,0.0004753981459472308
अथै,7,0.0016638935108153079
अपश,29,0.0068932731162348465
अपा,18,0.004278583313525077
आवल,1,0.0002376990729736154
इती,21,0.004991680532445923
अलर,1,0.0002376990729736154
इदा,11,0.002614689802709769
अपथ,2,0.0004753981459472308
अकी,2,0.0004753981459472308
अतद,2,0.0004753981459472308
अदु,6,0.0014261944378416924
आहु,2,0.0004753981459472308
उपग,6,0.0014261944378416924
औदु,1,0.0002376990729736154
आचा,3,0.0007130972189208462
उपे,5,0.001188495364868077
अमन,3,0.0007130972189208462
अशी,3,0.0007130972189208462
अली,1,0.0002376990729736154
उचि,5,0.001188495364868077
इतो,6,0.0014261944378416924
अबु,2,0.0004753981459472308
आसे,4,0.0009507962918944616
अमि,5,0.001188495364868077
अदी,2,0.0004753981459472308
एतय,2,0.0004753981459472308
एभि,4,0.0009507962918944616
अरण,7,0.0016638935108153079
अपी,3,0.0007130972189208462
ऋतव,4,0.0009507962918944616
ओषध,2,0.0004753981459472308
आनम,1,0.0002376990729736154
आवृ,7,0.0016638935108153079
आरा,5,0.001188495364868077
अतश,4,0.0009507962918944616
अनन,11,0.002614689802709769
उपह,1,0.0002376990729736154
आदे,1,0.0002376990729736154
इहल,1,0.0002376990729736154
इमं,14,0.0033277870216306157
आरभ,1,0.0002376990729736154
अभे,1,0.0002376990729736154
अलस,1,0.0002376990729736154
अशू,1,0.0002376990729736154
आपञ,1,0.0002376990729736154
आतस,1,0.0002376990729736154
औदक,1,0.0002376990729736154
एकद,1,0.0002376990729736154
अपे,3,0.0007130972189208462
आलो,4,0.0009507962918944616
अपक,11,0.002614689802709769
अपग,2,0.0004753981459472308
आलि,1,0.0002376990729736154
आचर,1,0.0002376990729736154
असद,1,0.0002376990729736154
अजी,1,0.0002376990729736154
औपव,4,0.0009507962918944616
असत,5,0.001188495364868077
अअन,1,0.0002376990729736154
असक,6,0.0014261944378416924
अकु,5,0.001188495364868077
अकस,2,0.0004753981459472308
आहा,4,0.0009507962918944616
अपस,2,0.0004753981459472308
उदग,2,0.0004753981459472308
एकप,5,0.001188495364868077
असन,3,0.0007130972189208462
एतध,1,0.0002376990729736154
उदङ,3,0.0007130972189208462
इहै,10,0.002376990729736154
आवर,3,0.0007130972189208462
आपग,6,0.0014261944378416924
एकः,2,0.0004753981459472308
उपद,3,0.0007130972189208462
उपश,2,0.0004753981459472308
अचक,2,0.0004753981459472308
आसस,10,0.002376990729736154
आवश,1,0.0002376990729736154
आशो,1,0.0002376990729736154
आचम,1,0.0002376990729736154
आदा,4,0.0009507962918944616
उषि,6,0.0014261944378416924
अवक,6,0.0014261944378416924
एतछ,1,0.0002376990729736154
ईषत,2,0.0004753981459472308
अवल,3,0.0007130972189208462
आजह,4,0.0009507962918944616
ऐणे,2,0.0004753981459472308
आगि,1,0.0002376990729736154
आसि,1,0.0002376990729736154
उभा,4,0.0009507962918944616
आशय,2,0.0004753981459472308
अवग,3,0.0007130972189208462
अलक,4,0.0009507962918944616
आबभ,5,0.001188495364868077
आकु,2,0.0004753981459472308
अमु,1,0.0002376990729736154
इषु,2,0.0004753981459472308
उधृ,1,0.0002376990729736154
अधी,1,0.0002376990729736154
अपद,1,0.0002376990729736154
आनि,2,0.0004753981459472308
