trigram,frequency,probability
तपस,197,0.0006563078850228542
वाध,23,7.66247784544449e-05
याय,269,0.0008961767567063338
यनि,41,0.00013659199637531484
निर,692,0.002305406377846777
रतं,96,0.0003198251622446396
वाग,113,0.0003764608680587945
विद,508,0.0016924081502112179
दां,62,0.00020655375061632975
वरम,118,0.0003931184285923695
नार,261,0.000869524659852614
रदं,13,4.3309657387294945e-05
परि,904,0.003011686944470356
रिप,206,0.0006862914939832892
वाल,286,0.0009528124625204889
मीक,135,0.00044975413440652445
किर,19,6.329873002758492e-05
मुन,398,0.0013259418184725683
निप,210,0.0006996175424101492
पुङ,125,0.0004164390133393745
गवम,16,5.330419370743993e-05
कोन,5,1.665756053357498e-05
मिन,429,0.0014292186937807333
साम,180,0.0005996721792086992
लोक,629,0.0020955211151237325
गुण,241,0.000802894417718314
णवा,18,5.9967217920869925e-05
वान,1506,0.005017257232712784
वीर,675,0.002248770672032622
यवा,211,0.0007029490545168641
कृत,1644,0.0054770059034394535
वाक,801,0.0026685411974787117
दृढ,65,0.00021654828693647472
चार,368,0.0012259964552711184
रित,634,0.002112178675657307
रेण,442,0.001472528351168028
युक,453,0.001509174984341893
वभू,76,0.0002531949201103397
भूत,355,0.0011826867978838235
तेष,266,0.0008861822203861889
हित,744,0.002478645007395957
समर,126,0.00041977052544608944
चैक,11,3.664663317386496e-05
रिय,1057,0.0035214082967977506
यदर,78,0.0002598579443237697
मवा,118,0.0003931184285923695
जित,344,0.0011460401647099586
रोध,213,0.0007096120787302941
युत,232,0.000772910808757879
तिम,373,0.0012426540158046934
मान,1738,0.005790168041470663
नसू,22,7.329326634772991e-05
सूय,30,9.994536320144988e-05
बिभ,41,0.00013659199637531484
यति,690,0.0022987433536333472
देव,874,0.0029117415812689065
वाश,79,0.00026318945643048465
जात,221,0.000736264175584014
तरो,34,0.00011327141162830985
रोष,116,0.0003864554043789395
संय,155,0.0005163843765408244
युग,90,0.0002998360896043496
तदि,34,0.00011327141162830985
दिच,14,4.664116949400994e-05
छाम,129,0.00042976506176623446
यहं,79,0.00026318945643048465
रोत,171,0.0005696885702482642
तुं,353,0.0011760237736703936
परं,69,0.0002298743353633347
कौत,21,6.996175424101492e-05
तूह,19,6.329873002758492e-05
हलं,8,2.6652096853719965e-05
महर,133,0.00044309111019309445
ञात,146,0.0004864007675803894
तुम,557,0.0018556522434402527
मेव,378,0.0012593115763382685
वंव,20,6.663024213429992e-05
विध,557,0.0018556522434402527
नरम,32,0.00010660838741487986
रुत,874,0.0029117415812689065
चैत,58,0.00019322770218946976
रलो,32,0.00010660838741487986
केर,4,1.3326048426859982e-05
रदो,14,4.664116949400994e-05
रूय,83,0.00027651550485734464
यता,445,0.0014825228874881732
ताम,1057,0.0035214082967977506
मित,946,0.003151610452952386
चाम,41,0.00013659199637531484
रहृ,112,0.00037312935595207954
हृष,267,0.0008895137324929039
यमब,87,0.00028984155328420463
रवी,700,0.002332058474700497
वीत,519,0.0017290547833850828
बहव,39,0.00012992897216188484
हवो,25,8.328780266787489e-05
दुर,442,0.001472528351168028
लभा,26,8.661931477458989e-05
भाश,9,2.9983608960434962e-05
चैव,457,0.001522501032768753
वया,349,0.0011626977252435335
कीर,243,0.0008095574419317439
तित,256,0.0008528670993190389
याम,1355,0.004514198904598819
बुद,276,0.0009194973414533388
तैर,198,0.0006596393971295692
तान,1062,0.0035380658573313257
कुव,14,4.664116949400994e-05
वंश,56,0.00018656467797603977
रभव,36,0.00011993443584173985
भवो,10,3.331512106714996e-05
राम,2443,0.008138884076704735
नाम,807,0.0026885302701190016
जनै,28,9.328233898801988e-05
नैश,44,0.00014658653269545983
निय,162,0.0005397049612878293
तात,296,0.0009861275835876388
महा,2347,0.007819058914460095
हाव,145,0.00048306925547367437
धृत,85,0.00028317852907077464
वशी,15,4.997268160072494e-05
धिम,73,0.0002432003837901947
नीत,116,0.0003864554043789395
रीम,265,0.0008828507082794739
रुन,34,0.00011327141162830985
निब,35,0.00011660292373502485
विप,293,0.0009761330472674938
पुल,90,0.0002998360896043496
लां,134,0.0004464226222998094
हाब,412,0.0013725829879665784
बाह,286,0.0009528124625204889
बुग,2,6.663024213429991e-06
रीव,496,0.001652430004930638
हाह,26,8.661931477458989e-05
हनु,232,0.000772910808757879
महो,91,0.0003031676017110646
होर,38,0.00012659746005516984
महे,151,0.0005030583281139644
हेष,30,9.994536320144988e-05
वास,777,0.0025885849069175516
गूढ,13,4.3309657387294945e-05
ढजत,3,9.994536320144987e-06
रुर,118,0.0003931184285923695
ररि,8,2.6652096853719965e-05
रिन,88,0.00029317306539091966
दमः,16,5.330419370743993e-05
जान,482,0.001605788835436628
नुब,16,5.330419370743993e-05
हुस,26,8.661931477458989e-05
सुश,33,0.00010993989952159486
शिर,163,0.0005430364733945443
रास,350,0.0011660292373502485
सुल,10,3.331512106714996e-05
लला,37,0.00012326594794845485
लाट,10,3.331512106714996e-05
सुव,124,0.0004131075012326595
विक,458,0.001525832544875468
रमः,126,0.00041977052544608944
समस,31,0.00010327687530816488
समव,34,0.00011327141162830985
मवि,141,0.00046974320704681443
विभ,204,0.0006796284697698591
ताङ,37,0.00012326594794845485
निग,106,0.00035314028331178955
धवर,3,9.994536320144987e-06
रता,192,0.0006396503244892792
ताप,247,0.0008228834903586039
