word,frequency,probability
च,2512,0.07066302849587892
न,1358,0.03820079327125939
स,1031,0.029002222284733748
तु,925,0.02602042251540128
हि,860,0.024191960392697404
ते,694,0.019522349433176742
मे,528,0.01485273847365608
तं,468,0.01316492728346789
वा,379,0.01066134068468874
मम,332,0.009339221919041324
सा,323,0.009086050240513094
राजा,319,0.008973529494500549
मां,311,0.008748488002475456
मया,284,0.007988972966890771
रामं,263,0.007398239050324904
ततो,251,0.007060676812287265
यथा,242,0.006807505133759037
राम,238,0.0066949843877464905
तां,231,0.006498073082224535
सह,229,0.006441812709218262
रामो,221,0.00621677121719317
चैव,216,0.006076120284677487
नाम,204,0.0057385580466398495
तथा,199,0.005597907114124167
यदि,192,0.005400995808602211
वचनं,185,0.005204084503080256
तदा,185,0.005204084503080256
तव,174,0.004894652451545754
इव,168,0.004725871332526934
किं,164,0.004613350586514389
सीता,154,0.004332048721483023
इति,153,0.004303918534979887
ततः,148,0.004163267602464204
वै,134,0.003769444991420293
चापि,133,0.0037413148049171567
कथं,131,0.0036850544319108835
तेन,128,0.003600663872401474
तौ,127,0.0035725336858983374
एवं,122,0.003431882753382655
रामेण,118,0.003319362007370109
सीतां,113,0.0031787110748544263
महातेजा,110,0.003094320515345017
वनं,104,0.0029255393963261976
ये,103,0.002897409209823061
रामः,101,0.002841148836816788
वीर,97,0.002728628090804242
देवि,93,0.002616107344791696
वने,91,0.002559846971785423
लोके,87,0.002447326225772877
तेषां,86,0.0024191960392697404
अथ,84,0.002362935666263467
भूमौ,79,0.002222284733747785
मा,78,0.0021941545472446483
वैदेहीं,74,0.002081633801232102
नूनं,73,0.0020535036147289656
पुनः,71,0.0019972432417226928
वैदेही,71,0.0019972432417226928
पिता,69,0.0019409828687164195
तात,69,0.0019409828687164195
येन,69,0.0019409828687164195
कृतं,67,0.0018847224957101465
जगाम,66,0.00185659230920701
देवी,65,0.0018284621227038734
खलु,65,0.0018284621227038734
अहं,64,0.001800331936200737
भरतं,62,0.001744071563194464
या,62,0.001744071563194464
वाली,61,0.0017159413766913276
एष,61,0.0017159413766913276
नु,61,0.0017159413766913276
मयि,59,0.0016596810036850545
यो,59,0.0016596810036850545
इदं,57,0.0016034206306787815
रामे,56,0.0015752904441756449
पितरं,55,0.0015471602576725084
सहसा,55,0.0015471602576725084
विना,55,0.0015471602576725084
काले,53,0.0014908998846662354
महता,53,0.0014908998846662354
कैकेयी,53,0.0014908998846662354
सीतया,52,0.0014627696981630988
पुरीं,51,0.0014346395116599624
रावणं,50,0.0014065093251568257
बभूव,50,0.0014065093251568257
एव,49,0.0013783791386536893
भरतो,49,0.0013783791386536893
तत,48,0.0013502489521505527
वयं,48,0.0013502489521505527
महाबाहो,46,0.0012939885791442797
परं,46,0.0012939885791442797
तथैव,45,0.0012658583926411433
कुरु,45,0.0012658583926411433
राघवं,45,0.0012658583926411433
पुरा,45,0.0012658583926411433
हा,43,0.0012095980196348702
को,43,0.0012095980196348702
कामं,43,0.0012095980196348702
राजानं,42,0.0011814678331317336
भयं,42,0.0011814678331317336
भव,42,0.0011814678331317336
नो,42,0.0011814678331317336
सीते,41,0.0011533376466285972
साधु,41,0.0011533376466285972
रूपं,41,0.0011533376466285972
बलं,41,0.0011533376466285972
माता,41,0.0011533376466285972
घोरं,40,0.0011252074601254605
अयं,40,0.0011252074601254605
दुःखं,40,0.0011252074601254605
तपसा,40,0.0011252074601254605
राघव,39,0.0010970772736223241
दशरथो,39,0.0010970772736223241
रामाय,38,0.0010689470871191875
वापि,38,0.0010689470871191875
ददौ,37,0.001040816900616051
वाचा,36,0.0010126867141129145
गते,36,0.0010126867141129145
मनसा,36,0.0010126867141129145
देशं,35,0.000984556527609778
यदा,35,0.000984556527609778
जीवितं,34,0.0009564263411066415
पापं,34,0.0009564263411066415
रणे,34,0.0009564263411066415
सुखं,34,0.0009564263411066415
चकार,33,0.000928296154603505
रावणो,33,0.000928296154603505
तानि,33,0.000928296154603505
परमं,33,0.000928296154603505
राघवो,33,0.000928296154603505
रावणेन,32,0.0009001659681003685
वीरौ,32,0.0009001659681003685
वेगेन,32,0.0009001659681003685
लोकेषु,32,0.0009001659681003685
भरतः,32,0.0009001659681003685
वैदेहि,30,0.0008439055950940955
सदा,30,0.0008439055950940955
यानि,30,0.0008439055950940955
अपि,30,0.0008439055950940955
भवति,30,0.0008439055950940955
नैव,29,0.000815775408590959
समरे,29,0.000815775408590959
