vyanjan,frequency,probability
क,10.0,0.012919896640826873
ख,0.0,0.0
ग,6.0,0.007751937984496124
घ,0.0,0.0
ङ,3.0,0.003875968992248062
च,19.0,0.02454780361757106
छ,0.0,0.0
ज,9.0,0.011627906976744186
झ,0.0,0.0
ञ,3.0,0.003875968992248062
ट,4.0,0.00516795865633075
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,13.0,0.016795865633074936
त,5.0,0.006459948320413436
थ,68.0,0.08785529715762273
द,27.0,0.03488372093023256
ध,0.0,0.0
न,36.0,0.046511627906976744
प,29.0,0.037467700258397935
फ,0.0,0.0
ब,22.0,0.028423772609819122
भ,2.0,0.002583979328165375
म,76.0,0.09819121447028424
य,13.0,0.016795865633074936
र,272.0,0.35142118863049093
ल,34.0,0.04392764857881137
व,26.0,0.03359173126614987
श,21.0,0.027131782945736434
ष,2.0,0.002583979328165375
स,72.0,0.09302325581395349
ह,2.0,0.002583979328165375
