vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,4.0,0.017699115044247787
घ,0.0,0.0
ङ,15.0,0.06637168141592921
च,1.0,0.004424778761061947
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,8.0,0.035398230088495575
ढ,0.0,0.0
ण,2.0,0.008849557522123894
त,1.0,0.004424778761061947
थ,0.0,0.0
द,4.0,0.017699115044247787
ध,0.0,0.0
न,7.0,0.030973451327433628
प,1.0,0.004424778761061947
फ,0.0,0.0
ब,0.0,0.0
भ,1.0,0.004424778761061947
म,33.0,0.14601769911504425
य,1.0,0.004424778761061947
र,123.0,0.5442477876106194
ल,9.0,0.03982300884955752
व,0.0,0.0
श,2.0,0.008849557522123894
ष,0.0,0.0
स,14.0,0.061946902654867256
ह,0.0,0.0
