vyanjan,frequency,probability
क,1.0,0.0012674271229404308
ख,0.0,0.0
ग,11.0,0.01394169835234474
घ,0.0,0.0
ङ,2.0,0.0025348542458808617
च,67.0,0.08491761723700887
छ,0.0,0.0
ज,17.0,0.021546261089987327
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,33.0,0.04182509505703422
त,221.0,0.28010139416983526
थ,0.0,0.0
द,26.0,0.032953105196451206
ध,1.0,0.0012674271229404308
न,70.0,0.08871989860583017
प,14.0,0.017743979721166033
फ,0.0,0.0
ब,0.0,0.0
भ,1.0,0.0012674271229404308
म,129.0,0.1634980988593156
य,14.0,0.017743979721166033
र,72.0,0.09125475285171103
ल,10.0,0.012674271229404309
व,33.0,0.04182509505703422
श,9.0,0.011406844106463879
ष,0.0,0.0
स,52.0,0.06590621039290241
ह,6.0,0.0076045627376425855
