vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,0.0,0.0
घ,2.0,0.009852216748768473
ङ,0.0,0.0
च,1.0,0.0049261083743842365
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,0.0,0.0
थ,0.0,0.0
द,1.0,0.0049261083743842365
ध,0.0,0.0
न,13.0,0.06403940886699508
प,5.0,0.024630541871921183
फ,0.0,0.0
ब,3.0,0.014778325123152709
भ,0.0,0.0
म,8.0,0.03940886699507389
य,1.0,0.0049261083743842365
र,0.0,0.0
ल,0.0,0.0
व,158.0,0.7783251231527094
श,2.0,0.009852216748768473
ष,0.0,0.0
स,9.0,0.04433497536945813
ह,0.0,0.0
