vyanjan,frequency,probability
क,71.0,0.1256637168141593
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,1.0,0.0017699115044247787
च,14.0,0.024778761061946902
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,1.0,0.0017699115044247787
त,55.0,0.09734513274336283
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,164.0,0.2902654867256637
प,8.0,0.01415929203539823
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,13.0,0.023008849557522124
य,27.0,0.047787610619469026
र,149.0,0.26371681415929205
ल,10.0,0.017699115044247787
व,15.0,0.02654867256637168
श,13.0,0.023008849557522124
ष,0.0,0.0
स,24.0,0.04247787610619469
ह,0.0,0.0
