vyanjan,frequency,probability
क,2.0,0.014492753623188406
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.007246376811594203
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,34.0,0.2463768115942029
थ,0.0,0.0
द,14.0,0.10144927536231885
ध,0.0,0.0
न,29.0,0.21014492753623187
प,2.0,0.014492753623188406
फ,0.0,0.0
ब,1.0,0.007246376811594203
भ,0.0,0.0
म,1.0,0.007246376811594203
य,6.0,0.043478260869565216
र,14.0,0.10144927536231885
ल,2.0,0.014492753623188406
व,0.0,0.0
श,0.0,0.0
ष,0.0,0.0
स,32.0,0.2318840579710145
ह,0.0,0.0
