vyanjan,frequency,probability
क,6.0,0.008862629246676515
ख,0.0,0.0
ग,93.0,0.13737075332348597
घ,14.0,0.0206794682422452
ङ,2.0,0.0029542097488921715
च,0.0,0.0
छ,0.0,0.0
ज,10.0,0.014771048744460856
झ,0.0,0.0
ञ,1.0,0.0014771048744460858
ट,27.0,0.03988183161004431
ठ,0.0,0.0
ड,1.0,0.0014771048744460858
ढ,0.0,0.0
ण,0.0,0.0
त,25.0,0.03692762186115214
थ,0.0,0.0
द,3.0,0.004431314623338257
ध,0.0,0.0
न,207.0,0.30576070901033975
प,12.0,0.01772525849335303
फ,0.0,0.0
ब,2.0,0.0029542097488921715
भ,0.0,0.0
म,35.0,0.051698670605613
य,49.0,0.0723781388478582
र,24.0,0.03545051698670606
ल,42.0,0.0620384047267356
व,14.0,0.0206794682422452
श,3.0,0.004431314623338257
ष,1.0,0.0014771048744460858
स,79.0,0.11669128508124077
ह,27.0,0.03988183161004431
