vyanjan,frequency,probability
क,15.0,0.15463917525773196
ख,0.0,0.0
ग,1.0,0.010309278350515464
घ,0.0,0.0
ङ,0.0,0.0
च,2.0,0.020618556701030927
छ,0.0,0.0
ज,3.0,0.030927835051546393
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,4.0,0.041237113402061855
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,6.0,0.061855670103092786
प,10.0,0.10309278350515463
फ,0.0,0.0
ब,1.0,0.010309278350515464
भ,6.0,0.061855670103092786
म,17.0,0.17525773195876287
य,3.0,0.030927835051546393
र,4.0,0.041237113402061855
ल,1.0,0.010309278350515464
व,5.0,0.05154639175257732
श,2.0,0.020618556701030927
ष,0.0,0.0
स,16.0,0.16494845360824742
ह,1.0,0.010309278350515464
