vyanjan,frequency,probability
क,49.0,0.47572815533980584
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,1.0,0.009708737864077669
थ,0.0,0.0
द,0.0,0.0
ध,1.0,0.009708737864077669
न,2.0,0.019417475728155338
प,0.0,0.0
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,5.0,0.04854368932038835
य,3.0,0.02912621359223301
र,2.0,0.019417475728155338
ल,30.0,0.2912621359223301
व,4.0,0.038834951456310676
श,1.0,0.009708737864077669
ष,0.0,0.0
स,4.0,0.038834951456310676
ह,1.0,0.009708737864077669
