vyanjan,frequency,probability
क,10.0,0.02557544757033248
ख,21.0,0.05370843989769821
ग,1.0,0.0025575447570332483
घ,2.0,0.005115089514066497
ङ,0.0,0.0
च,7.0,0.017902813299232736
छ,0.0,0.0
ज,10.0,0.02557544757033248
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,13.0,0.03324808184143223
थ,0.0,0.0
द,15.0,0.03836317135549872
ध,4.0,0.010230179028132993
न,11.0,0.028132992327365727
प,10.0,0.02557544757033248
फ,0.0,0.0
ब,2.0,0.005115089514066497
भ,6.0,0.015345268542199489
म,120.0,0.3069053708439898
य,6.0,0.015345268542199489
र,1.0,0.0025575447570332483
ल,0.0,0.0
व,25.0,0.0639386189258312
श,34.0,0.08695652173913043
ष,4.0,0.010230179028132993
स,88.0,0.22506393861892582
ह,1.0,0.0025575447570332483
