vyanjan,frequency,probability
क,97.0,0.03631598652190191
ख,1.0,0.00037439161362785476
ग,22.0,0.008236615499812805
घ,1.0,0.00037439161362785476
ङ,11.0,0.0041183077499064025
च,52.0,0.019468363908648447
छ,0.0,0.0
ज,12.0,0.004492699363534257
झ,0.0,0.0
ञ,0.0,0.0
ट,5.0,0.0018719580681392737
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,1.0,0.00037439161362785476
त,432.0,0.16173717708723326
थ,100.0,0.037439161362785474
द,196.0,0.07338075627105953
ध,7.0,0.002620741295394983
न,76.0,0.02845376263571696
प,148.0,0.055409958816922504
फ,0.0,0.0
ब,11.0,0.0041183077499064025
भ,9.0,0.0033695245226506927
म,394.0,0.14751029576937477
य,135.0,0.05054286783976039
र,177.0,0.06626731561213028
ल,37.0,0.013852489704230626
व,155.0,0.058030700112317486
श,91.0,0.03406963684013478
ष,1.0,0.00037439161362785476
स,488.0,0.18270310745039312
ह,12.0,0.004492699363534257
